System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:24:10:110, 1097537753830398,    0.107,    3.000, 1200,   1.920,   0.206,   0.057,   0.299,   0.032,   0.009, 46,  0,   0.000,   0.000,   0.000,   0.009,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:218, 1097538056442077,    0.215,    2.000, 1200,   1.691,   0.389,   0.108,   0.418,   0.077,   0.021, 44,  0,   0.000,   0.000,   0.000,   0.008,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:327, 1097538361520724,    0.324,    2.000, 1200,   1.650,   0.568,   0.158,   0.452,   0.126,   0.035, 44,  0,   0.000,   0.000,   0.000,   0.012,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:434, 1097538661905833,    0.431,    2.000, 1200,   1.434,   0.722,   0.201,   0.284,   0.157,   0.044, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:542, 1097538964938481,    0.539,    7.000, 4100,   2.681,   1.012,   0.281,   1.314,   0.299,   0.083, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:652, 1097539271446714,    0.649,    3.000, 1300,   1.893,   1.219,   0.339,   0.646,   0.370,   0.103, 45,  0,   0.000,   0.000,   0.000,   0.002,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:760, 1097539575450629,    0.757,    1.000, 1200,   3.192,   1.565,   0.435,   0.653,   0.440,   0.122, 44,  0,   0.000,   0.000,   0.000,   0.006,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:869, 1097539881231177,    0.866,    2.000, 1200,   1.578,   1.737,   0.483,   0.424,   0.487,   0.135, 44,  0,   0.000,   0.000,   0.000,   0.009,   0.005,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:10:977, 1097540183371150,    0.974,    1.000, 1200,   1.197,   1.866,   0.518,   0.216,   0.510,   0.142, 45,  0,   0.000,   0.000,   0.000,   0.002,   0.005,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:11:085, 1097540487142233,    1.082,    2.000, 1200,   1.775,   2.058,   0.572,   0.395,   0.553,   0.154, 45,  0,   0.000,   0.000,   0.000,   0.012,   0.007,   0.002,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:24:11:085, 1097540489200466,    1.083,   34.000, 1200,   0.000,   2.058,   0.572,   0.000,   0.553,   0.154, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.007,   0.002,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.083188
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 2.058411
Cumulative Processor Energy_0 (mWh) = 0.571781
Average Processor Power_0 (Watt) = 1.900325

Cumulative IA Energy_0 (Joules) = 0.552856
Cumulative IA Energy_0 (mWh) = 0.153571
Average IA Power_0 (Watt) = 0.510397

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.006592
Cumulative GT Energy_0 (mWh) = 0.001831
Average GT Power_0 (Watt) = 0.006086
