System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:20:11:902, 1086778345525769,    1.014,   23.000, 4100,  13.792,  13.989,   3.886,  11.304,  11.465,   3.185, 74,  0,   0.000,   0.000,   0.000,   0.011,   0.012,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,   17,  91.206
01:20:12:946, 1086781270637817,    2.058,   19.000, 4500,  13.094,  27.653,   7.681,  10.656,  22.584,   6.273, 66,  0,   0.000,   0.000,   0.000,   0.045,   0.059,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  79.304
01:20:13:960, 1086784114089839,    3.072,   17.000, 4100,  15.232,  43.104,  11.973,  13.050,  35.822,   9.951, 74,  0,   0.000,   0.000,   0.000,   0.016,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.636
01:20:15:023, 1086787094439925,    4.135,   14.000, 4100,  15.314,  59.386,  16.496,  13.192,  49.848,  13.847, 58,  0,   0.000,   0.000,   0.000,   0.000,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.440
01:20:16:055, 1086789986061247,    5.167,   17.000, 4100,  14.629,  74.476,  20.688,  12.316,  62.553,  17.376, 67,  0,   0.000,   0.000,   0.000,   0.001,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.493
01:20:17:117, 1086792963584976,    6.229,   15.000, 3500,  14.364,  89.734,  24.926,  12.112,  75.418,  20.949, 62,  0,   0.000,   0.000,   0.000,   0.015,   0.091,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  91.039
01:20:18:145, 1086795844819921,    7.257,   26.000, 4100,  15.430, 105.593,  29.331,  12.848,  88.623,  24.618, 56,  0,   0.000,   0.000,   0.000,   0.034,   0.125,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  80.814
01:20:19:192, 1086798780015656,    8.304,   15.000, 4100,  15.240, 121.551,  33.764,  13.058, 102.296,  28.416, 67,  0,   0.000,   0.000,   0.000,   0.000,   0.125,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.433
01:20:20:221, 1086801666675088,    9.334,   19.000, 4400,  14.936, 136.932,  38.037,  12.553, 115.223,  32.006, 71,  0,   0.000,   0.000,   0.000,   0.000,   0.125,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.627
01:20:21:288, 1086804656846861,   10.400,   16.000, 4100,  14.773, 152.691,  42.414,  12.340, 128.387,  35.663, 74,  0,   0.000,   0.000,   0.000,   0.001,   0.126,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.755
01:20:22:351, 1086807637183635,   11.464,   18.000, 4100,  14.280, 167.873,  46.631,  11.906, 141.045,  39.179, 71,  0,   0.000,   0.000,   0.000,   0.000,   0.127,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.779
01:20:23:414, 1086810615440763,   12.526,   16.000, 4100,  14.264, 183.028,  50.841,  11.994, 153.788,  42.719, 66,  0,   0.000,   0.000,   0.000,   0.001,   0.128,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.214
01:20:24:478, 1086813597670435,   13.590,   18.000, 4100,  14.695, 198.661,  55.184,  12.386, 166.966,  46.379, 65,  0,   0.000,   0.000,   0.000,   0.010,   0.138,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  70.278
01:20:25:509, 1086816489405682,   14.622,   18.000, 4100,  15.331, 214.477,  59.577,  12.837, 180.208,  50.058, 66,  0,   0.000,   0.000,   0.000,   0.000,   0.138,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  64.976
01:20:26:537, 1086819369603026,   15.649,   19.000, 4100,  14.677, 229.557,  63.766,  12.158, 192.700,  53.528, 62,  0,   0.000,   0.000,   0.000,   0.005,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.828
01:20:27:567, 1086822258823991,   16.680,   17.000, 3600,  14.841, 244.854,  68.015,  12.306, 205.384,  57.051, 64,  0,   0.000,   0.000,   0.000,   0.003,   0.147,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.911
01:20:28:600, 1086825153335855,   17.712,   19.000, 2800,   9.685, 254.855,  70.793,   7.414, 213.039,  59.178, 53,  0,   0.000,   0.000,   0.000,   0.001,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.967
01:20:29:613, 1086827993555423,   18.725,   17.000,  900,   7.106, 262.055,  72.793,   4.783, 217.886,  60.524, 51,  0,   0.000,   0.000,   0.000,   0.000,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.876
01:20:30:692, 1086831017674404,   19.804,   21.000, 2400,   7.238, 269.863,  74.962,   4.762, 223.023,  61.951, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.198
01:20:31:706, 1086833861746756,   20.819,   17.000, 2700,   6.856, 276.819,  76.894,   4.406, 227.494,  63.193, 54,  0,   0.000,   0.000,   0.000,   0.005,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  70.369
01:20:32:765, 1086836829148160,   21.877,   20.000, 2500,   7.181, 284.421,  79.006,   4.825, 232.601,  64.611, 49,  0,   0.000,   0.000,   0.000,   0.000,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.881
01:20:33:794, 1086839714556187,   22.907,   17.000, 2800,   6.652, 291.268,  80.908,   4.317, 237.045,  65.846, 51,  0,   0.000,   0.000,   0.000,   0.000,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.354
01:20:34:885, 1086842771782842,   23.997,   20.000, 2600,   7.586, 299.541,  83.206,   5.175, 242.689,  67.414, 51,  0,   0.000,   0.000,   0.000,   0.001,   0.156,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.531
01:20:35:949, 1086845754140470,   25.061,   18.000, 2700,   7.373, 307.385,  85.385,   4.912, 247.915,  68.865, 48,  0,   0.000,   0.000,   0.000,   0.003,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.891
01:20:37:009, 1086848727040800,   26.122,   20.000, 2700,   7.841, 315.701,  87.695,   5.450, 253.695,  70.471, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.105
01:20:38:047, 1086851637049455,   27.160,   14.000, 1200,   4.942, 320.831,  89.120,   2.960, 256.768,  71.324, 46,  0,   0.000,   0.000,   0.000,   0.001,   0.160,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.748
01:20:39:051, 1086854449098382,   28.163,    9.000, 4100,   4.013, 324.857,  90.238,   2.449, 259.225,  72.007, 47,  0,   0.000,   0.000,   0.000,   0.010,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.533
01:20:40:060, 1086857279022681,   29.173,    7.000, 1300,   4.722, 329.623,  91.562,   3.098, 262.352,  72.876, 46,  0,   0.000,   0.000,   0.000,   0.014,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.880
01:20:41:068, 1086860103861436,   30.180,    3.000, 1100,   2.156, 331.796,  92.165,   0.647, 263.005,  73.057, 44,  0,   0.000,   0.000,   0.000,   0.009,   0.193,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.993
01:20:42:076, 1086862930945913,   31.189,   12.000, 1200,   6.062, 337.909,  93.864,   4.128, 267.168,  74.213, 46,  0,   0.000,   0.000,   0.000,   0.027,   0.220,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  91.769
01:20:43:081, 1086865747256919,   32.194,    2.000, 1200,   1.904, 339.822,  94.395,   0.621, 267.792,  74.387, 44,  0,   0.000,   0.000,   0.000,   0.014,   0.235,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.127
01:20:44:085, 1086868561915277,   33.198,    4.000, 1200,   3.154, 342.989,  95.275,   1.638, 269.436,  74.843, 44,  0,   0.000,   0.000,   0.000,   0.010,   0.245,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.465
01:20:45:099, 1086871404484960,   34.212,    1.000, 1200,   1.366, 344.374,  95.659,   0.315, 269.756,  74.932, 44,  0,   0.000,   0.000,   0.000,   0.005,   0.250,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.682
01:20:46:101, 1086874213688496,   35.214,    4.000, 1200,   2.675, 347.054,  96.404,   1.289, 271.047,  75.291, 44,  0,   0.000,   0.000,   0.000,   0.006,   0.255,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.661
01:20:47:110, 1086877043044510,   36.223,    8.000, 1200,   3.590, 350.678,  97.411,   2.029, 273.095,  75.860, 45,  0,   0.000,   0.000,   0.000,   0.017,   0.273,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  92.591
01:20:48:127, 1086879893307379,   37.240,    4.000, 1200,   2.917, 353.644,  98.234,   1.534, 274.655,  76.293, 43,  0,   0.000,   0.000,   0.000,   0.025,   0.298,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  85.473
01:20:49:142, 1086882738609128,   38.255,    1.000, 1200,   1.341, 355.005,  98.613,   0.280, 274.939,  76.372, 43,  0,   0.000,   0.000,   0.000,   0.006,   0.305,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.605
01:20:50:158, 1086885585462640,   39.271,    3.000, 1200,   3.040, 358.092,  99.470,   1.818, 276.786,  76.885, 43,  0,   0.000,   0.000,   0.000,   0.009,   0.314,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.932
01:20:51:162, 1086888399225975,   40.274,    1.000, 1200,   1.448, 359.546,  99.874,   0.290, 277.077,  76.966, 42,  0,   0.000,   0.000,   0.000,   0.009,   0.323,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.564
01:20:52:165, 1086891211712249,   41.278,    5.000, 1200,   3.251, 362.808, 100.780,   1.841, 278.924,  77.479, 42,  0,   0.000,   0.000,   0.000,   0.006,   0.329,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.325
01:20:53:170, 1086894030585345,   42.283,    2.000, 1200,   1.601, 364.418, 101.227,   0.359, 279.285,  77.579, 42,  0,   0.000,   0.000,   0.000,   0.013,   0.342,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.150
01:20:54:177, 1086896852043833,   43.290,    3.000, 1300,   2.723, 367.159, 101.988,   1.520, 280.815,  78.004, 42,  0,   0.000,   0.000,   0.000,   0.010,   0.352,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.899
01:20:55:182, 1086899670757944,   44.295,    2.000, 1200,   1.522, 368.689, 102.414,   0.361, 281.178,  78.105, 41,  0,   0.000,   0.000,   0.000,   0.012,   0.364,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.847
