System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:47:54:334, 940063743132026,    1.006,   21.000, 4100,  18.118,  18.232,   5.064,  15.148,  15.243,   4.234, 90,  0,   0.000,   0.000,   0.000,   0.103,   0.104,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:47:55:376, 940066664614967,    2.048,   15.000, 4100,  16.552,  35.483,   9.856,  13.853,  29.681,   8.245, 88,  0,   0.000,   0.000,   0.000,   0.104,   0.213,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:47:56:438, 940069641267412,    3.110,   21.000, 4100,  19.250,  55.924,  15.534,  16.351,  47.043,  13.068, 92,  0,   0.000,   0.000,   0.000,   0.237,   0.464,   0.129,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:47:57:451, 940072482203634,    4.124,   21.000, 4100,  19.248,  75.431,  20.953,  16.313,  63.576,  17.660, 93,  0,   0.000,   0.000,   0.000,   0.374,   0.844,   0.234,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:47:58:497, 940075414479099,    5.170,   16.000, 4100,  16.385,  92.570,  25.714,  13.774,  77.984,  21.662, 69,  0,   0.000,   0.000,   0.000,   0.031,   0.876,   0.243,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:47:59:512, 940078258411836,    6.184,   18.000, 1700,  18.188, 111.022,  30.839,  15.695,  93.907,  26.085, 93,  0,   0.000,   0.000,   0.000,   0.005,   0.881,   0.245,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:00:527, 940081104012271,    7.200,   16.000, 3700,  15.032, 126.281,  35.078,  12.353, 106.447,  29.568, 81,  0,   0.000,   0.000,   0.000,   0.008,   0.889,   0.247,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:01:540, 940083944980775,    8.213,   24.000, 1700,  18.125, 144.651,  40.181,  15.034, 121.683,  33.801, 93,  0,   0.000,   0.000,   0.000,   0.385,   1.280,   0.355,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:02:551, 940086778845992,    9.224,   34.000, 4100,  23.864, 168.776,  46.882,  20.267, 142.172,  39.492, 81,  0,   0.000,   0.000,   0.000,   0.266,   1.549,   0.430,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:03:561, 940089609397531,   10.234,   22.000, 1600,  19.020, 187.981,  52.217,  15.941, 158.268,  43.963, 83,  0,   0.000,   0.000,   0.000,   0.094,   1.644,   0.457,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:04:607, 940092543152330,   11.280,   17.000, 1700,  16.442, 205.190,  56.997,  13.813, 172.724,  47.979, 84,  0,   0.000,   0.000,   0.000,   0.037,   1.683,   0.467,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:05:622, 940095388729323,   12.295,   19.000, 4100,  16.579, 222.019,  61.672,  13.839, 186.772,  51.881, 84,  0,   0.000,   0.000,   0.000,   0.018,   1.701,   0.472,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:06:640, 940098240228478,   13.313,   17.000, 1700,  16.302, 238.602,  66.278,  13.676, 200.683,  55.745, 86,  0,   0.000,   0.000,   0.000,   0.011,   1.712,   0.475,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:07:651, 940101075928314,   14.324,   20.000, 1700,  17.749, 256.556,  71.265,  14.986, 215.843,  59.956, 82,  0,   0.000,   0.000,   0.000,   0.028,   1.740,   0.483,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:08:686, 940103976028780,   15.359,   24.000, 2100,  19.982, 277.229,  77.008,  16.591, 233.007,  64.724, 77,  0,   0.000,   0.000,   0.000,   0.042,   1.783,   0.495,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:09:721, 940106879011939,   16.394,   24.000, 4100,  19.158, 297.069,  82.519,  15.918, 249.492,  69.303, 80,  0,   0.000,   0.000,   0.000,   0.038,   1.823,   0.506,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:10:738, 940109728427164,   17.411,   17.000, 3300,  15.674, 313.002,  86.945,  12.931, 262.636,  72.954, 83,  0,   0.000,   0.000,   0.000,   0.010,   1.833,   0.509,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:11:817, 940112753405214,   18.490,   22.000, 4100,  18.913, 333.411,  92.614,  16.052, 279.958,  77.766, 84,  0,   0.000,   0.000,   0.000,   0.029,   1.864,   0.518,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:12:848, 940115642444346,   19.521,   22.000, 1800,  20.501, 354.540,  98.483,  17.400, 297.891,  82.747, 87,  0,   0.000,   0.000,   0.000,   0.068,   1.934,   0.537,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:13:876, 940118525746627,   20.549,   18.000, 4100,  18.512, 373.581, 103.772,  15.828, 314.171,  87.270, 80,  0,   0.000,   0.000,   0.000,   0.026,   1.960,   0.545,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:14:935, 940121494255959,   21.608,   22.000, 4100,  20.601, 395.397, 109.832,  17.801, 333.022,  92.506, 92,  0,   0.000,   0.000,   0.000,   0.021,   1.983,   0.551,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:15:964, 940124378089390,   22.637,   17.000, 1800,  17.086, 412.975, 114.715,  14.374, 347.810,  96.614, 87,  0,   0.000,   0.000,   0.000,   0.000,   1.983,   0.551,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:17:007, 940127302320089,   23.680,   19.000, 4100,  17.909, 431.657, 119.905,  15.350, 363.822, 101.062, 68,  0,   0.000,   0.000,   0.000,   0.013,   1.997,   0.555,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:18:054, 940130236153717,   24.727,   17.000, 1800,  16.645, 449.078, 124.744,  13.921, 378.392, 105.109, 93,  0,   0.000,   0.000,   0.000,   0.027,   2.025,   0.563,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:48:19:084, 940133123346657,   25.757,   19.000, 2500,  17.525, 467.128, 129.758,  14.879, 393.716, 109.366, 67,  0,   0.000,   0.000,   0.000,   0.001,   2.026,   0.563,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
