System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:29:16:440, 957113325261734,    1.004,   20.000, 1800,  17.578,  17.655,   4.904,  14.739,  14.804,   4.112, 91,  0,   0.000,   0.000,   0.000,   0.035,   0.035,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:17:495, 957116281031505,    2.059,   13.000, 1300,  14.140,  32.565,   9.046,  12.027,  27.485,   7.635, 56,  0,   0.000,   0.000,   0.000,   0.009,   0.044,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:18:502, 957119104946242,    3.066,    3.000, 2400,   1.869,  34.448,   9.569,   0.502,  27.991,   7.775, 56,  0,   0.000,   0.000,   0.000,   0.016,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:19:508, 957121922762748,    4.071,    5.000, 1700,   3.970,  38.440,  10.678,   2.389,  30.393,   8.443, 55,  0,   0.000,   0.000,   0.000,   0.022,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:20:523, 957124769259256,    5.087,   41.000, 1600,  19.484,  58.224,  16.173,  17.112,  47.769,  13.269, 91,  0,   0.000,   0.000,   0.000,   0.006,   0.088,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:21:572, 957127709354954,    6.136,   52.000, 3600,  29.437,  89.099,  24.750,  26.906,  75.989,  21.108, 92,  0,   0.000,   0.000,   0.000,   0.000,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:22:603, 957130599786505,    7.167,   50.000, 1600,  27.700, 117.661,  32.684,  25.214, 101.987,  28.330, 90,  0,   0.000,   0.000,   0.000,   0.004,   0.093,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:23:634, 957133488931885,    8.197,   52.000, 1500,  29.441, 148.005,  41.112,  26.785, 129.593,  35.998, 90,  0,   0.000,   0.000,   0.000,   0.000,   0.093,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:24:681, 957136423934257,    9.244,   50.000, 1500,  24.072, 173.208,  48.113,  21.566, 152.173,  42.270, 92,  0,   0.000,   0.000,   0.000,   0.001,   0.094,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:29:25:728, 957139360267591,   10.292,   52.000, 1500,  22.853, 197.147,  54.763,  20.216, 173.350,  48.153, 91,  0,   0.000,   0.000,   0.000,   0.009,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
