System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:54:56:959, 951340111980567,    1.009,   21.000, 1500,  13.571,  13.690,   3.803,  11.106,  11.204,   3.112, 76,  0,   0.000,   0.000,   0.000,   0.031,   0.031,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:54:58:017, 951343080588641,    2.068,   18.000, 1700,  11.681,  26.060,   7.239,   9.662,  21.436,   5.954, 50,  0,   0.000,   0.000,   0.000,   0.008,   0.039,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:54:59:034, 951345929667135,    3.084,   51.000, 2400,  15.308,  41.619,  11.561,  12.408,  34.047,   9.457, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.039,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:00:060, 951348804273563,    4.110,   52.000, 2100,  12.968,  54.917,  15.255,   9.943,  44.243,  12.290, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.039,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:01:074, 951351648712705,    5.124,   50.000, 2000,  14.288,  69.415,  19.282,  11.183,  55.590,  15.442, 51,  0,   0.000,   0.000,   0.000,   0.000,   0.039,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:02:084, 951354482544954,    6.135,   52.000, 1600,  13.075,  82.633,  22.954,   9.889,  65.587,  18.219, 50,  0,   0.000,   0.000,   0.000,   0.025,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:03:099, 951357324492292,    7.149,   49.000, 2000,  13.508,  96.327,  26.758,  10.452,  76.184,  21.162, 49,  0,   0.000,   0.000,   0.000,   0.001,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:04:123, 951360195027110,    8.173,   55.000, 3000,  14.197, 110.866,  30.796,  10.968,  87.415,  24.282, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:05:135, 951363032280685,    9.185,   63.000, 1300,  14.291, 125.330,  34.814,  10.702,  98.247,  27.291, 49,  0,   0.000,   0.000,   0.000,   0.001,   0.066,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:06:164, 951365918429392,   10.215,   51.000, 1900,  13.690, 139.425,  38.729,  10.745, 109.310,  30.364, 52,  0,   0.000,   0.000,   0.000,   0.001,   0.067,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:07:189, 951368790276090,   11.239,   52.000, 2600,  14.172, 153.945,  42.762,  11.080, 120.661,  33.517, 54,  0,   0.000,   0.000,   0.000,   0.000,   0.067,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:08:203, 951371632805799,   12.253,   54.000, 2800,  14.764, 168.916,  46.921,  11.696, 132.522,  36.812, 53,  0,   0.000,   0.000,   0.000,   0.001,   0.068,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:09:219, 951374481419432,   13.270,   50.000, 1800,  12.975, 182.101,  50.584,   9.940, 142.622,  39.617, 52,  0,   0.000,   0.000,   0.000,   0.003,   0.071,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:10:237, 951377335490583,   14.288,   51.000, 2300,  14.694, 197.062,  54.739,  11.765, 154.601,  42.945, 54,  0,   0.000,   0.000,   0.000,   0.000,   0.071,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:11:246, 951380163671221,   15.297,   50.000, 1200,  12.947, 210.124,  58.368,   9.736, 164.424,  45.673, 54,  0,   0.000,   0.000,   0.000,   0.001,   0.072,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:12:260, 951383003874031,   16.310,   50.000, 2300,  12.435, 222.723,  61.868,   9.342, 173.889,  48.302, 53,  0,   0.000,   0.000,   0.000,   0.001,   0.073,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:13:274, 951385847819052,   17.324,   50.000, 1600,  12.359, 235.262,  65.350,   9.153, 183.175,  50.882, 56,  0,   0.000,   0.000,   0.000,   0.004,   0.077,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:14:303, 951388732068379,   18.353,   50.000, 1600,  13.295, 248.941,  69.150,  10.392, 193.867,  53.852, 52,  0,   0.000,   0.000,   0.000,   0.003,   0.080,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:15:327, 951391602756658,   19.377,   51.000, 2900,  12.912, 262.164,  72.823,   9.858, 203.963,  56.656, 56,  0,   0.000,   0.000,   0.000,   0.000,   0.080,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:16:342, 951394447431970,   20.392,   49.000, 2500,  12.847, 275.202,  76.445,   9.681, 213.787,  59.385, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.080,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:17:367, 951397321850945,   21.418,   49.000, 1500,  11.929, 287.434,  79.843,   8.811, 222.822,  61.895, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.081,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:18:398, 951400209872657,   22.448,   46.000, 1500,   8.350, 296.036,  82.232,   5.543, 228.533,  63.481, 51,  0,   0.000,   0.000,   0.000,   0.013,   0.094,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:19:405, 951403034703388,   23.456,    9.000, 1400,   4.202, 300.271,  83.409,   2.187, 230.736,  64.093, 57,  0,   0.000,   0.000,   0.000,   0.017,   0.110,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:20:421, 951405882210268,   24.471,    4.000, 1100,   2.586, 302.898,  84.138,   1.080, 231.833,  64.398, 48,  0,   0.000,   0.000,   0.000,   0.009,   0.120,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:21:423, 951408690143876,   25.473,    3.000, 1200,   2.559, 305.461,  84.850,   0.962, 232.797,  64.666, 47,  0,   0.000,   0.000,   0.000,   0.011,   0.131,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:22:425, 951411500506072,   26.476,    4.000, 1200,   3.148, 308.617,  85.727,   1.859, 234.661,  65.184, 47,  0,   0.000,   0.000,   0.000,   0.006,   0.137,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:23:434, 951414328563174,   27.484,    1.000, 1200,   1.402, 310.031,  86.120,   0.292, 234.956,  65.266, 47,  0,   0.000,   0.000,   0.000,   0.008,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:24:437, 951417138812604,   28.487,    4.000, 1300,   2.792, 312.830,  86.897,   1.351, 236.310,  65.642, 47,  0,   0.000,   0.000,   0.000,   0.006,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:25:441, 951419953636797,   29.491,    2.000, 1300,   1.810, 314.647,  87.402,   0.424, 236.735,  65.760, 46,  0,   0.000,   0.000,   0.000,   0.013,   0.164,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:26:450, 951422783482189,   30.501,    4.000, 1200,   2.757, 317.430,  88.175,   1.281, 238.029,  66.119, 46,  0,   0.000,   0.000,   0.000,   0.008,   0.172,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:27:456, 951425603671629,   31.507,    2.000, 1200,   1.485, 318.924,  88.590,   0.347, 238.379,  66.216, 46,  0,   0.000,   0.000,   0.000,   0.007,   0.179,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:28:473, 951428452343545,   32.523,    4.000, 1200,   2.658, 321.626,  89.340,   1.415, 239.816,  66.616, 46,  0,   0.000,   0.000,   0.000,   0.007,   0.187,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:29:488, 951431298339433,   33.538,    1.000, 1200,   1.589, 323.239,  89.789,   0.357, 240.179,  66.716, 44,  0,   0.000,   0.000,   0.000,   0.005,   0.192,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:30:493, 951434116362226,   34.543,    3.000, 1200,   2.762, 326.016,  90.560,   1.568, 241.755,  67.154, 44,  0,   0.000,   0.000,   0.000,   0.012,   0.204,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:31:498, 951436933904287,   35.549,    1.000, 1200,   1.382, 327.404,  90.946,   0.280, 242.037,  67.232, 44,  0,   0.000,   0.000,   0.000,   0.013,   0.217,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:32:503, 951439752260626,   36.554,    3.000, 1200,   2.532, 329.950,  91.653,   1.322, 243.366,  67.602, 44,  0,   0.000,   0.000,   0.000,   0.003,   0.220,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:33:516, 951442589350959,   37.566,   15.000, 1300,   6.937, 336.971,  93.603,   4.402, 247.821,  68.839, 44,  0,   0.000,   0.000,   0.000,   0.149,   0.371,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:34:530, 951445431781479,   38.580,   12.000, 1300,   4.997, 342.038,  95.011,   2.570, 250.428,  69.563, 45,  0,   0.000,   0.000,   0.000,   0.095,   0.467,   0.130,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:35:541, 951448266539406,   39.591,    7.000, 1300,   2.810, 344.880,  95.800,   0.991, 251.430,  69.842, 45,  0,   0.000,   0.000,   0.000,   0.049,   0.516,   0.143,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:36:552, 951451102004955,   40.603,   11.000, 2500,   5.072, 350.010,  97.225,   2.917, 254.380,  70.661, 47,  0,   0.000,   0.000,   0.000,   0.042,   0.559,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:37:568, 951453948967785,   41.618,    9.000, 1200,   3.467, 353.532,  98.203,   1.242, 255.642,  71.012, 44,  0,   0.000,   0.000,   0.000,   0.033,   0.592,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:38:573, 951456765436802,   42.623,    2.000, 2300,   1.819, 355.360,  98.711,   0.524, 256.168,  71.158, 50,  0,   0.000,   0.000,   0.000,   0.009,   0.602,   0.167,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:39:593, 951459624771271,   43.643,    2.000, 1200,   2.574, 357.986,  99.440,   1.406, 257.603,  71.556, 44,  0,   0.000,   0.000,   0.000,   0.005,   0.607,   0.169,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:40:607, 951462467332778,   44.657,    1.000, 1100,   1.376, 359.381,  99.828,   0.294, 257.900,  71.639, 44,  0,   0.000,   0.000,   0.000,   0.009,   0.616,   0.171,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:41:613, 951465287732282,   45.663,    4.000, 1300,   3.102, 362.503, 100.695,   1.703, 259.614,  72.115, 44,  0,   0.000,   0.000,   0.000,   0.007,   0.624,   0.173,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:42:616, 951468100649016,   46.667,    3.000, 1200,   1.784, 364.292, 101.192,   0.405, 260.020,  72.228, 44,  0,   0.000,   0.000,   0.000,   0.008,   0.632,   0.176,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:43:620, 951470913177661,   47.670,    4.000, 1300,   3.521, 367.825, 102.174,   1.893, 261.919,  72.755, 44,  0,   0.000,   0.000,   0.000,   0.012,   0.644,   0.179,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:44:624, 951473729387220,   48.675,    1.000, 1200,   1.514, 369.346, 102.596,   0.292, 262.213,  72.837, 43,  0,   0.000,   0.000,   0.000,   0.009,   0.653,   0.181,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:45:629, 951476546290430,   49.680,    4.000, 1200,   3.036, 372.396, 103.443,   1.688, 263.910,  73.308, 42,  0,   0.000,   0.000,   0.000,   0.009,   0.661,   0.184,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:46:633, 951479360661644,   50.684,    1.000, 1200,   1.419, 373.821, 103.839,   0.332, 264.243,  73.401, 42,  0,   0.000,   0.000,   0.000,   0.009,   0.671,   0.186,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:47:639, 951482181394310,   51.690,    4.000, 1200,   3.008, 376.847, 104.680,   1.758, 266.012,  73.892, 43,  0,   0.000,   0.000,   0.000,   0.012,   0.683,   0.190,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:48:645, 951485000574303,   52.696,    2.000, 1200,   1.622, 378.479, 105.133,   0.366, 266.380,  73.994, 42,  0,   0.000,   0.000,   0.000,   0.008,   0.690,   0.192,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:49:650, 951487818108241,   53.701,    4.000, 1200,   2.670, 381.162, 105.878,   1.318, 267.704,  74.362, 42,  0,   0.000,   0.000,   0.000,   0.009,   0.700,   0.194,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:50:653, 951490631282298,   54.704,    1.000, 1200,   1.508, 382.675, 106.299,   0.303, 268.008,  74.447, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.706,   0.196,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:51:657, 951493443518878,   55.708,    4.000, 1200,   2.475, 385.158, 106.988,   1.252, 269.264,  74.796, 42,  0,   0.000,   0.000,   0.000,   0.004,   0.711,   0.197,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:52:670, 951496283961024,   56.721,    1.000, 1200,   1.310, 386.486, 107.357,   0.288, 269.556,  74.877, 42,  0,   0.000,   0.000,   0.000,   0.005,   0.715,   0.199,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
11:55:53:672, 951499092280961,   57.723,    4.000, 1300,   2.705, 389.196, 108.110,   1.476, 271.034,  75.287, 42,  0,   0.000,   0.000,   0.000,   0.004,   0.719,   0.200,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
