System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:43:23:068, 939303322159666,    1.004,   23.000, 4100,  17.971,  18.040,   5.011,  15.480,  15.540,   4.317, 71,  0,   0.000,   0.000,   0.000,   0.041,   0.041,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:24:094, 939306197042975,    2.029,   18.000, 4100,  17.398,  35.883,   9.967,  15.125,  31.052,   8.626, 45,  0,   0.000,   0.000,   0.000,   0.059,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:25:099, 939309014883762,    3.035,    4.000, 1200,   3.450,  39.351,  10.931,   2.002,  33.065,   9.185, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:26:100, 939311822724619,    4.036,    3.000, 1200,   1.891,  41.245,  11.457,   0.525,  33.591,   9.331, 38,  0,   0.000,   0.000,   0.000,   0.014,   0.123,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:27:105, 939314640596550,    5.042,    5.000, 1200,   3.919,  45.184,  12.551,   2.268,  35.871,   9.964, 39,  0,   0.000,   0.000,   0.000,   0.016,   0.139,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:28:110, 939317456728261,    6.046,    3.000, 1200,   1.881,  47.074,  13.076,   0.673,  36.547,  10.152, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:29:119, 939320285558423,    7.055,   14.000, 1200,   8.502,  55.654,  15.459,   6.798,  43.407,  12.058, 39,  0,   0.000,   0.000,   0.000,   0.049,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:30:121, 939323093454929,    8.057,    2.000, 1200,   1.766,  57.423,  15.951,   0.471,  43.880,  12.189, 37,  0,   0.000,   0.000,   0.000,   0.012,   0.206,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:31:134, 939325934362709,    9.070,    4.000, 4100,   3.211,  60.678,  16.855,   1.995,  45.902,  12.750, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:32:139, 939328749510784,   10.075,    2.000, 1300,   1.536,  62.220,  17.283,   0.320,  46.223,  12.840, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.220,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:33:141, 939331559802030,   11.077,    2.000, 1300,   1.636,  63.861,  17.739,   0.381,  46.606,  12.946, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.233,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:34:144, 939334369729999,   12.080,    3.000, 1200,   2.959,  66.827,  18.563,   1.714,  48.324,  13.423, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.237,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:35:147, 939337181835949,   13.083,    1.000, 1200,   1.375,  68.206,  18.946,   0.303,  48.628,  13.508, 37,  0,   0.000,   0.000,   0.000,   0.014,   0.251,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:36:151, 939339996102884,   14.087,    4.000, 1200,   3.223,  71.442,  19.845,   1.987,  50.623,  14.062, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.259,   0.072,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:37:169, 939342849701076,   15.105,    2.000, 1200,   1.651,  73.122,  20.312,   0.377,  51.006,  14.168, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.266,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:38:175, 939345670611214,   16.111,    4.000, 1200,   3.058,  76.200,  21.167,   1.822,  52.840,  14.678, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.276,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:39:180, 939348488849020,   17.116,    1.000, 1200,   1.408,  77.616,  21.560,   0.331,  53.172,  14.770, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.285,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:40:184, 939351302669879,   18.120,    3.000, 1200,   3.372,  81.001,  22.500,   1.954,  55.134,  15.315, 36,  0,   0.000,   0.000,   0.000,   0.013,   0.297,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:41:189, 939354119969253,   19.125,    2.000, 1200,   1.443,  82.451,  22.903,   0.341,  55.477,  15.410, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.302,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:42:191, 939356928545521,   20.127,    3.000, 1200,   2.781,  85.238,  23.677,   1.376,  56.855,  15.793, 37,  0,   0.000,   0.000,   0.000,   0.014,   0.316,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:43:193, 939359736097513,   21.129,    1.000, 1200,   1.520,  86.759,  24.100,   0.378,  57.234,  15.898, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.323,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:44:194, 939362543621605,   22.130,    3.000, 1200,   2.933,  89.697,  24.916,   1.703,  58.939,  16.372, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.331,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:45:196, 939365352045864,   23.132,    2.000, 1200,   1.541,  91.240,  25.345,   0.337,  59.277,  16.466, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.339,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:46:199, 939368162683445,   24.135,    4.000, 1200,   3.021,  94.270,  26.186,   1.684,  60.965,  16.935, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.349,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:47:214, 939371010473611,   25.151,    1.000, 1200,   1.517,  95.811,  26.614,   0.332,  61.303,  17.029, 37,  0,   0.000,   0.000,   0.000,   0.004,   0.352,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:48:220, 939373828410143,   26.156,    4.000, 1200,   3.033,  98.860,  27.461,   1.671,  62.982,  17.495, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.357,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:49:225, 939376645564314,   27.161,    2.000, 1200,   1.409, 100.276,  27.854,   0.354,  63.339,  17.594, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.365,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:50:228, 939379458200929,   28.164,    3.000, 4700,   2.426, 102.710,  28.531,   1.267,  64.610,  17.947, 43,  0,   0.000,   0.000,   0.000,   0.004,   0.370,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:51:232, 939382272542777,   29.168,    2.000, 1200,   1.780, 104.497,  29.027,   0.656,  65.269,  18.130, 37,  0,   0.000,   0.000,   0.000,   0.012,   0.382,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:52:236, 939385086221834,   30.172,    1.000, 1200,   1.564, 106.067,  29.463,   0.338,  65.608,  18.225, 36,  0,   0.000,   0.000,   0.000,   0.004,   0.386,   0.107,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:53:238, 939387897124638,   31.175,    4.000, 1200,   2.678, 108.752,  30.209,   1.446,  67.058,  18.627, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.393,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:54:254, 939390744678114,   32.191,    1.000, 1200,   1.372, 110.146,  30.596,   0.295,  67.358,  18.711, 36,  0,   0.000,   0.000,   0.000,   0.013,   0.407,   0.113,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:55:260, 939393564339619,   33.196,    4.000, 1200,   3.167, 113.331,  31.481,   1.743,  69.112,  19.198, 37,  0,   0.000,   0.000,   0.000,   0.011,   0.417,   0.116,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
10:43:56:263, 939396374739034,   34.199,    1.000, 1200,   1.577, 114.912,  31.920,   0.359,  69.471,  19.298, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.427,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
