System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:50:08:223, 1061538895840252,    1.013,   22.000, 4100,  17.174,  17.390,   4.831,  14.318,  14.499,   4.027, 78,  0,   0.000,   0.000,   0.000,   0.057,   0.058,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,    7,  84.313
22:50:09:248, 1061541768880916,    2.038,   17.000, 4100,  16.777,  34.585,   9.607,  14.471,  29.330,   8.147, 81,  0,   0.000,   0.000,   0.000,   0.058,   0.117,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,    7,  88.191
22:50:10:294, 1061544703083003,    3.084,   16.000, 4100,  17.787,  53.203,  14.779,  15.435,  45.486,  12.635, 82,  0,   0.000,   0.000,   0.000,   0.018,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.538
22:50:11:326, 1061547595920252,    4.116,   14.000, 4100,  17.508,  71.271,  19.798,  15.198,  61.171,  16.992, 61,  0,   0.000,   0.000,   0.000,   0.039,   0.176,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  84.202
22:50:12:356, 1061550483695952,    5.146,   16.000, 4100,  18.241,  90.062,  25.017,  15.833,  77.481,  21.523, 71,  0,   0.000,   0.000,   0.000,   0.027,   0.204,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.971
22:50:13:385, 1061553367910117,    6.175,   15.000, 4100,  19.532, 110.158,  30.599,  17.215,  95.194,  26.443, 72,  0,   0.000,   0.000,   0.000,   0.023,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  83.511
22:50:14:413, 1061556248817822,    7.203,   23.000, 4100,  20.096, 130.811,  36.336,  17.607, 113.289,  31.469, 73,  0,   0.000,   0.000,   0.000,   0.036,   0.264,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  86.883
22:50:15:475, 1061559226198258,    8.265,   16.000, 4100,  16.706, 148.555,  41.265,  14.282, 128.458,  35.683, 89,  0,   0.000,   0.000,   0.000,   0.021,   0.287,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.451
22:50:16:537, 1061562202119441,    9.327,   18.000, 4700,  19.694, 169.463,  47.073,  17.282, 146.806,  40.779, 69,  0,   0.000,   0.000,   0.000,   0.018,   0.306,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  75.972
22:50:17:571, 1061565100724805,   10.361,   16.000, 4100,  18.026, 188.103,  52.251,  15.589, 162.926,  45.257, 70,  0,   0.000,   0.000,   0.000,   0.018,   0.324,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  81.549
22:50:18:601, 1061567988019779,   11.391,   18.000, 4100,  19.466, 208.153,  57.820,  16.979, 180.414,  50.115, 70,  0,   0.000,   0.000,   0.000,   0.018,   0.343,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.211
22:50:19:665, 1061570972635650,   12.456,   16.000, 4100,  17.719, 227.018,  63.061,  15.293, 196.697,  54.638, 91,  0,   0.000,   0.000,   0.000,   0.029,   0.373,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.379
22:50:20:728, 1061573950196309,   13.518,   18.000, 4100,  18.536, 246.707,  68.530,  16.037, 213.731,  59.370, 90,  0,   0.000,   0.000,   0.000,   0.017,   0.392,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.590
22:50:21:773, 1061576880055612,   14.563,   16.000, 4100,  19.366, 266.948,  74.152,  16.791, 231.280,  64.245, 76,  0,   0.000,   0.000,   0.000,   0.013,   0.405,   0.112,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.311
