System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:53:43:768, 1072234770278933,    1.012,   20.000, 4100,  13.092,  13.256,   3.682,  10.512,  10.643,   2.956, 71,  0,   0.000,   0.000,   0.000,   0.027,   0.027,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,   12,  83.309
23:53:44:823, 1072237729003031,    2.068,   25.000, 1400,  12.133,  26.062,   7.239,   9.755,  20.939,   5.816, 69,  0,   0.000,   0.000,   0.000,   0.028,   0.057,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.827
23:53:45:840, 1072240580127038,    3.085,   15.000, 4100,  14.318,  40.625,  11.285,  11.177,  32.307,   8.974, 69,  0,   0.000,   0.000,   0.000,   0.009,   0.066,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.418
23:53:46:902, 1072243555193286,    4.146,   16.000, 4100,  16.048,  57.656,  16.016,  12.979,  46.083,  12.801, 64,  0,   0.000,   0.000,   0.000,   0.003,   0.069,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.538
23:53:47:952, 1072246500272651,    5.197,   14.000, 3600,  13.614,  71.959,  19.989,  10.563,  57.180,  15.883, 51,  0,   0.000,   0.000,   0.000,   0.001,   0.070,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.209
23:53:48:979, 1072249379375346,    6.224,   23.000, 2500,  10.021,  82.252,  22.848,   7.012,  64.382,  17.884, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.070,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.915
23:53:50:013, 1072252278068883,    7.258,   18.000,  700,   7.583,  90.093,  25.026,   4.642,  69.181,  19.217, 49,  0,   0.000,   0.000,   0.000,   0.014,   0.084,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  71.811
23:53:51:035, 1072255142272651,    8.280,   34.000, 1700,   7.144,  97.392,  27.053,   4.089,  73.359,  20.378, 49,  0,   0.000,   0.000,   0.000,   0.041,   0.126,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,   15,  88.236
23:53:52:067, 1072258034767709,    9.312,   20.000, 2200,   6.062, 103.648,  28.791,   3.146,  76.606,  21.279, 48,  0,   0.000,   0.000,   0.000,   0.001,   0.127,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.967
23:53:53:133, 1072261022235698,   10.377,   21.000, 2500,   7.602, 111.750,  31.042,   4.654,  81.566,  22.657, 53,  0,   0.000,   0.000,   0.000,   0.001,   0.128,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.477
23:53:54:192, 1072263992637629,   11.437,   19.000, 2500,   6.950, 119.114,  33.087,   4.134,  85.946,  23.874, 48,  0,   0.000,   0.000,   0.000,   0.009,   0.137,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.018
23:53:55:240, 1072266930235660,   12.485,   18.000, 2500,   7.789, 127.276,  35.355,   4.725,  90.898,  25.249, 48,  0,   0.000,   0.000,   0.000,   0.000,   0.137,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.639
23:53:56:316, 1072269944631013,   13.560,   21.000, 2500,   8.167, 136.058,  37.794,   5.193,  96.482,  26.801, 48,  0,   0.000,   0.000,   0.000,   0.005,   0.142,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.397
23:53:57:399, 1072272980717511,   14.643,   18.000, 2600,   7.380, 144.051,  40.014,   4.429, 101.279,  28.133, 48,  0,   0.000,   0.000,   0.000,   0.001,   0.143,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.265
23:53:58:424, 1072275854978404,   15.669,   21.000, 2600,   7.757, 152.005,  42.224,   4.904, 106.307,  29.530, 48,  0,   0.000,   0.000,   0.000,   0.001,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.031
23:53:59:490, 1072278843866965,   16.735,   18.000,  900,   7.743, 160.261,  44.517,   4.684, 111.302,  30.917, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.913
23:54:00:516, 1072281719027875,   17.761,   23.000, 2500,   8.157, 168.627,  46.841,   5.112, 116.544,  32.373, 49,  0,   0.000,   0.000,   0.000,   0.001,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.390
23:54:01:580, 1072284702028576,   18.825,   19.000, 2800,   7.049, 176.128,  48.924,   4.543, 121.379,  33.716, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  68.584
23:54:02:612, 1072287594734379,   19.857,   19.000, 2800,   7.998, 184.382,  51.217,   5.669, 127.229,  35.341, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.347
23:54:03:647, 1072290496141599,   20.892,   17.000, 2800,   7.899, 192.557,  53.488,   5.737, 133.167,  36.991, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.544
23:54:04:677, 1072293384824644,   21.922,   20.000, 2800,   8.023, 200.825,  55.785,   5.688, 139.029,  38.619, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.127
23:54:05:738, 1072296358469477,   22.983,   17.000, 2800,   7.845, 209.147,  58.096,   5.001, 144.334,  40.093, 49,  0,   0.000,   0.000,   0.000,   0.000,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.747
23:54:06:797, 1072299327278568,   24.042,   21.000, 2600,   8.684, 218.344,  60.651,   5.722, 150.395,  41.776, 49,  0,   0.000,   0.000,   0.000,   0.001,   0.146,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.181
23:54:07:861, 1072302308124020,   25.106,   18.000, 2800,   7.740, 226.575,  62.937,   4.794, 155.492,  43.192, 52,  0,   0.000,   0.000,   0.000,   0.004,   0.150,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  70.922
23:54:08:909, 1072305247762180,   26.154,   27.000,  900,   7.529, 234.470,  65.130,   4.560, 160.274,  44.521, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.150,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.848
23:54:09:974, 1072308233399231,   27.219,   19.000, 2700,   7.303, 242.248,  67.291,   4.240, 164.790,  45.775, 52,  0,   0.000,   0.000,   0.000,   0.001,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  75.242
23:54:11:004, 1072311119879994,   28.249,   21.000, 2600,   7.750, 250.229,  69.508,   4.784, 169.715,  47.143, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.977
23:54:12:054, 1072314063310691,   29.299,   18.000, 2700,   7.895, 258.518,  71.811,   5.046, 175.014,  48.615, 52,  0,   0.000,   0.000,   0.000,   0.003,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.327
23:54:13:128, 1072317074148424,   30.373,   20.000, 2600,   7.687, 266.775,  74.104,   4.634, 179.991,  49.997, 50,  0,   0.000,   0.000,   0.000,   0.004,   0.158,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.770
23:54:14:145, 1072319925241701,   31.390,   18.000, 2700,   7.976, 274.887,  76.358,   4.994, 185.070,  51.408, 48,  0,   0.000,   0.000,   0.000,   0.004,   0.161,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.492
23:54:15:185, 1072322839244205,   32.430,   20.000, 2500,   8.324, 283.541,  78.761,   5.229, 190.506,  52.918, 48,  0,   0.000,   0.000,   0.000,   0.004,   0.166,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.207
23:54:16:279, 1072325906156821,   33.524,   19.000, 1200,   7.598, 291.854,  81.070,   4.655, 195.599,  54.333, 50,  0,   0.000,   0.000,   0.000,   0.004,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.829
23:54:17:340, 1072328880637638,   34.585,   20.000, 2500,   7.900, 300.236,  83.399,   5.039, 200.945,  55.818, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.985
23:54:18:401, 1072331855349976,   35.646,   18.000, 2700,   7.855, 308.572,  85.714,   4.876, 206.120,  57.255, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.238
23:54:19:459, 1072334822237401,   36.705,   19.000, 2600,   8.115, 317.161,  88.100,   5.147, 211.568,  58.769, 50,  0,   0.000,   0.000,   0.000,   0.001,   0.171,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.809
