System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:20:57:195, 1490571693166894,    0.108,    3.000, 1300,   2.318,   0.249,   0.069,   1.084,   0.117,   0.032, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:57:302, 1490571994902970,    0.215,    5.000, 1300,   1.911,   0.455,   0.126,   0.685,   0.190,   0.053, 38,  0,   0.000,   0.000,   0.000,   0.000,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:57:411, 1490572299411637,    0.324,    2.000, 1200,   1.355,   0.602,   0.167,   0.260,   0.219,   0.061, 38,  0,   0.000,   0.000,   0.000,   0.015,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:57:520, 1490572604562861,    0.433,   32.000, 3200,   3.434,   0.976,   0.271,   1.700,   0.404,   0.112, 43,  0,   0.000,   0.000,   0.000,   0.009,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:57:643, 1490572951042443,    0.556,   47.000, 3200,  11.005,   2.336,   0.649,   8.396,   1.441,   0.400, 42,  0,   0.000,   0.000,   0.000,   0.000,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:57:752, 1490573255078721,    0.665,    5.000, 1300,   2.795,   2.640,   0.733,   0.950,   1.544,   0.429, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:57:878, 1490573608426660,    0.791,   43.000, 1300,   8.652,   3.730,   1.036,   6.597,   2.376,   0.660, 39,  0,   0.000,   0.000,   0.000,   0.065,   0.012,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:57:987, 1490573913104982,    0.900,    3.000, 1200,   1.970,   3.944,   1.096,   0.726,   2.455,   0.682, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.013,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:58:095, 1490574217168396,    1.008,    5.000, 1200,   2.997,   4.270,   1.186,   0.682,   2.529,   0.702, 39,  0,   0.000,   0.000,   0.000,   0.138,   0.028,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:20:58:098, 1490574225695090,    1.011,   49.000, 1400,   9.551,   4.299,   1.194,   3.050,   2.538,   0.705, 39,  0,   0.000,   0.000,   0.000,   0.000,   0.028,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.011034
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 4.298584
Cumulative Processor Energy_0 (mWh) = 1.194051
Average Processor Power_0 (Watt) = 4.251670

Cumulative IA Energy_0 (Joules) = 2.537964
Cumulative IA Energy_0 (mWh) = 0.704990
Average IA Power_0 (Watt) = 2.510265

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.027710
Cumulative GT Energy_0 (mWh) = 0.007697
Average GT Power_0 (Watt) = 0.027408
