System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:09:41:860, 782262191686467,    1.002,   23.000, 4300,  12.612,  12.638,   3.511,  10.033,  10.054,   2.793, 68,  0,   0.000,   0.000,   0.000,   0.027,   0.027,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:42:869, 782265020994832,    2.011,   19.000, 4100,  12.225,  24.976,   6.938,  10.003,  20.150,   5.597, 68,  0,   0.000,   0.000,   0.000,   0.033,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:43:892, 782267889221713,    3.035,   11.000, 1200,  10.659,  35.883,   9.967,   8.783,  29.137,   8.094, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:44:898, 782270708454531,    4.040,    4.000, 1200,   2.128,  38.023,  10.562,   0.881,  30.024,   8.340, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.083,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:45:903, 782273526745146,    5.046,    5.000, 4100,   4.064,  42.109,  11.697,   2.542,  32.579,   9.050, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.092,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:46:908, 782276344043810,    6.051,    2.000, 1200,   2.040,  44.159,  12.267,   0.712,  33.295,   9.249, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.101,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:47:919, 782279178373441,    7.062,    9.000, 1700,   3.954,  48.157,  13.377,   2.450,  35.773,   9.937, 40,  0,   0.000,   0.000,   0.000,   0.052,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:48:930, 782282010530708,    8.072,    4.000, 1100,   2.976,  51.164,  14.212,   1.545,  37.334,  10.370, 39,  0,   0.000,   0.000,   0.000,   0.022,   0.177,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:49:935, 782284827620186,    9.077,    1.000, 1200,   1.367,  52.538,  14.594,   0.322,  37.657,  10.460, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.186,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:50:942, 782287653001645,   10.085,    4.000, 1200,   2.687,  55.246,  15.346,   1.313,  38.981,  10.828, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.200,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:51:950, 782290477427388,   11.093,    1.000, 1200,   1.317,  56.573,  15.715,   0.287,  39.270,  10.908, 37,  0,   0.000,   0.000,   0.000,   0.005,   0.206,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:52:954, 782293290785888,   12.096,    4.000, 1200,   2.810,  59.394,  16.498,   1.568,  40.844,  11.346, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.213,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:53:970, 782296139634990,   13.113,    1.000, 1200,   1.404,  60.821,  16.895,   0.317,  41.167,  11.435, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.221,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:54:975, 782298957408272,   14.118,    3.000, 1200,   3.049,  63.886,  17.746,   1.818,  42.994,  11.943, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.230,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:55:980, 782301773779556,   15.122,    1.000, 1200,   1.504,  65.397,  18.166,   0.302,  43.297,  12.027, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.236,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:56:982, 782304583571052,   16.125,    3.000, 1200,   2.604,  68.007,  18.891,   1.437,  44.738,  12.427, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.244,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:57:997, 782307427707640,   17.139,    1.000, 1200,   1.310,  69.336,  19.260,   0.269,  45.010,  12.503, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.250,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:09:59:001, 782310243384599,   18.144,    4.000, 1200,   2.955,  72.305,  20.085,   1.661,  46.679,  12.966, 39,  0,   0.000,   0.000,   0.000,   0.018,   0.268,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
19:10:00:021, 782313103077436,   19.164,    2.000, 2300,   1.694,  74.033,  20.565,   0.426,  47.114,  13.087, 44,  0,   0.000,   0.000,   0.000,   0.015,   0.283,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
