System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:58:24:349, 780362973517576,    1.001,   23.000, 1400,  13.783,  13.802,   3.834,  11.353,  11.369,   3.158, 55,  0,   0.000,   0.000,   0.000,   0.039,   0.039,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:25:368, 780365830032676,    2.020,   17.000, 4100,  10.949,  24.958,   6.933,   8.890,  20.428,   5.675, 56,  0,   0.000,   0.000,   0.000,   0.031,   0.070,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:26:415, 780368766024127,    3.068,   16.000, 3500,  16.057,  41.776,  11.604,  13.677,  34.754,   9.654, 49,  0,   0.000,   0.000,   0.000,   0.003,   0.073,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:27:462, 780371700132873,    4.114,   14.000, 4100,  15.335,  57.827,  16.063,  13.178,  48.547,  13.485, 74,  0,   0.000,   0.000,   0.000,   0.004,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:28:511, 780374640138688,    5.163,   16.000, 3200,  14.530,  73.066,  20.296,  12.218,  61.362,  17.045, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:29:542, 780377530371041,    6.194,   19.000, 4100,  15.826,  89.384,  24.829,  13.445,  75.225,  20.896, 63,  0,   0.000,   0.000,   0.000,   0.019,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:30:571, 780380416938088,    7.224,   21.000, 4100,  14.737, 104.560,  29.044,  12.293,  87.883,  24.412, 73,  0,   0.000,   0.000,   0.000,   0.039,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:31:616, 780383345979856,    8.269,   19.000, 4100,  15.651, 120.913,  33.587,  13.310, 101.790,  28.275, 62,  0,   0.000,   0.000,   0.000,   0.000,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:32:630, 780386187416063,    9.283,   16.000, 4100,  15.372, 136.495,  37.915,  13.039, 115.007,  31.947, 61,  0,   0.000,   0.000,   0.000,   0.008,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:33:646, 780389035909051,   10.299,   18.000, 4100,  14.327, 151.054,  41.959,  12.065, 127.268,  35.352, 66,  0,   0.000,   0.000,   0.000,   0.000,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:34:679, 780391930587539,   11.331,   18.000, 3300,  14.947, 166.489,  46.247,  12.483, 140.158,  38.933, 61,  0,   0.000,   0.000,   0.000,   0.003,   0.148,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:35:690, 780394765794301,   12.343,   17.000, 4100,  15.092, 181.753,  50.487,  12.696, 152.999,  42.500, 61,  0,   0.000,   0.000,   0.000,   0.001,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:36:705, 780397611035008,   13.358,   17.000, 4100,  14.643, 196.616,  54.616,  12.261, 165.444,  45.957, 57,  0,   0.000,   0.000,   0.000,   0.000,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:37:765, 780400583120384,   14.418,   20.000, 4100,  14.795, 212.302,  58.973,  12.491, 178.688,  49.636, 55,  0,   0.000,   0.000,   0.000,   0.000,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:38:783, 780403435916063,   15.436,   16.000, 4100,  13.816, 226.362,  62.878,  11.445, 190.335,  52.871, 73,  0,   0.000,   0.000,   0.000,   0.000,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:39:845, 780406411825729,   16.497,   14.000, 1300,  11.531, 238.604,  66.279,   9.271, 200.178,  55.605, 46,  0,   0.000,   0.000,   0.000,   0.019,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:40:853, 780409239239416,   17.506,    5.000, 2000,   2.942, 241.571,  67.103,   1.468, 201.659,  56.016, 46,  0,   0.000,   0.000,   0.000,   0.009,   0.177,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:41:860, 780412061675382,   18.513,    5.000, 1400,   4.378, 245.979,  68.328,   2.913, 204.592,  56.831, 45,  0,   0.000,   0.000,   0.000,   0.009,   0.186,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:42:866, 780414880519294,   19.518,    2.000, 1200,   1.692, 247.681,  68.800,   0.406, 205.000,  56.944, 44,  0,   0.000,   0.000,   0.000,   0.007,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:43:876, 780417712362121,   20.529,   15.000, 1200,   5.295, 253.030,  70.286,   3.460, 208.495,  57.915, 44,  0,   0.000,   0.000,   0.000,   0.023,   0.217,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:44:894, 780420567103666,   21.547,    2.000, 1200,   1.733, 254.795,  70.776,   0.461, 208.965,  58.046, 44,  0,   0.000,   0.000,   0.000,   0.007,   0.224,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:45:900, 780423386932713,   22.553,    3.000, 1200,   2.256, 257.065,  71.407,   1.034, 210.005,  58.335, 42,  0,   0.000,   0.000,   0.000,   0.013,   0.236,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:46:916, 780426235481067,   23.569,    2.000, 1100,   1.430, 258.519,  71.811,   0.330, 210.341,  58.428, 43,  0,   0.000,   0.000,   0.000,   0.016,   0.252,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:47:920, 780429049150867,   24.573,    4.000, 1200,   2.737, 261.266,  72.574,   1.422, 211.768,  58.824, 43,  0,   0.000,   0.000,   0.000,   0.005,   0.257,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:48:922, 780431859410920,   25.575,    2.000, 1200,   1.358, 262.628,  72.952,   0.296, 212.064,  58.907, 43,  0,   0.000,   0.000,   0.000,   0.011,   0.268,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:49:925, 780434670845933,   26.578,    3.000, 4100,   2.283, 264.917,  73.588,   0.935, 213.002,  59.167, 51,  0,   0.000,   0.000,   0.000,   0.005,   0.273,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:50:944, 780437525637481,   27.597,    3.000, 1200,   2.271, 267.230,  74.231,   0.936, 213.955,  59.432, 41,  0,   0.000,   0.000,   0.000,   0.011,   0.284,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:51:946, 780440335446708,   28.599,    1.000, 1200,   1.356, 268.589,  74.608,   0.276, 214.232,  59.509, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.292,   0.081,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:52:951, 780443153492393,   29.604,    4.000, 1200,   2.995, 271.600,  75.444,   1.752, 215.993,  59.998, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.299,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:53:956, 780445970907892,   30.609,    1.000, 1200,   1.527, 273.135,  75.871,   0.431, 216.425,  60.118, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.306,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:54:961, 780448786743001,   31.614,    4.000, 1200,   2.907, 276.054,  76.682,   1.442, 217.873,  60.520, 41,  0,   0.000,   0.000,   0.000,   0.023,   0.329,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:55:965, 780451600500504,   32.618,    1.000, 1200,   1.422, 277.482,  77.078,   0.305, 218.180,  60.606, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.339,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:56:970, 780454417790937,   33.623,    3.000, 1100,   2.666, 280.161,  77.823,   1.223, 219.409,  60.947, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.354,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:57:973, 780457230294082,   34.626,    2.000, 1200,   1.754, 281.921,  78.311,   0.362, 219.772,  61.048, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.359,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:58:976, 780460041690290,   35.629,    4.000, 1200,   3.118, 285.048,  79.180,   1.838, 221.616,  61.560, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.367,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:58:59:978, 780462852268304,   36.632,    1.000, 1200,   1.416, 286.467,  79.574,   0.307, 221.924,  61.646, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.378,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:59:01:000, 780465714924994,   37.653,    5.000, 1100,   3.071, 289.604,  80.445,   1.630, 223.589,  62.108, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.393,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:59:02:008, 780468540327924,   38.661,    2.000, 1200,   1.413, 291.028,  80.841,   0.341, 223.933,  62.204, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.399,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:59:03:027, 780471396728186,   39.680,    4.000, 1200,   2.892, 293.974,  81.659,   1.602, 225.566,  62.657, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.408,   0.113,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:59:04:031, 780474211532617,   40.684,    2.000, 1200,   1.607, 295.588,  82.108,   0.330, 225.897,  62.749, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.413,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:59:05:041, 780477043165039,   41.694,    4.000, 1200,   3.002, 298.620,  82.950,   1.582, 227.495,  63.193, 39,  0,   0.000,   0.000,   0.000,   0.022,   0.435,   0.121,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:59:06:044, 780479856590492,   42.698,    1.000, 1100,   1.369, 299.994,  83.332,   0.310, 227.806,  63.279, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.440,   0.122,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:59:07:048, 780482668648041,   43.701,    3.000, 1300,   2.871, 302.874,  84.132,   1.648, 229.459,  63.739, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.448,   0.125,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
