System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:32:56:400, 776079782972378,    1.007,   25.000, 2600,   7.974,   8.029,   2.230,   5.397,   5.434,   1.509, 50,  0,   0.000,   0.000,   0.000,   0.027,   0.027,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:32:57:411, 776082618974598,    2.019,   24.000, 1300,   7.136,  15.248,   4.236,   4.777,  10.266,   2.852, 45,  0,   0.000,   0.000,   0.000,   0.018,   0.045,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:32:58:420, 776085447454010,    3.028,    5.000, 1200,   2.815,  18.089,   5.025,   1.356,  11.634,   3.232, 44,  0,   0.000,   0.000,   0.000,   0.015,   0.061,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:32:59:427, 776088267928028,    4.034,    6.000, 1200,   3.726,  21.838,   6.066,   2.025,  13.672,   3.798, 45,  0,   0.000,   0.000,   0.000,   0.013,   0.074,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:00:428, 776091076183970,    5.036,    9.000, 4100,   7.777,  29.629,   8.230,   5.852,  19.535,   5.426, 65,  0,   0.000,   0.000,   0.000,   0.019,   0.093,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:01:527, 776094156931718,    6.135,    5.000, 1200,   4.708,  34.804,   9.668,   3.125,  22.969,   6.380, 44,  0,   0.000,   0.000,   0.000,   0.008,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:02:536, 776096984837747,    7.143,    9.000, 1200,   3.733,  38.570,  10.714,   2.153,  25.141,   6.984, 44,  0,   0.000,   0.000,   0.000,   0.026,   0.129,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:03:545, 776099812175430,    8.152,    4.000, 1200,   2.675,  41.268,  11.463,   1.199,  26.351,   7.320, 44,  0,   0.000,   0.000,   0.000,   0.009,   0.137,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:04:560, 776102659451104,    9.168,    2.000, 1200,   1.830,  43.127,  11.980,   0.522,  26.881,   7.467, 44,  0,   0.000,   0.000,   0.000,   0.016,   0.154,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:05:567, 776105480051364,   10.174,    7.000, 2400,   4.234,  47.387,  13.163,   2.883,  29.782,   8.273, 49,  0,   0.000,   0.000,   0.000,   0.009,   0.163,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:06:616, 776108420874502,   11.223,   12.000, 1400,   9.283,  57.126,  15.868,   6.927,  37.049,  10.291, 45,  0,   0.000,   0.000,   0.000,   0.010,   0.174,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:07:619, 776111234302975,   12.227,    4.000, 1200,   3.611,  60.750,  16.875,   2.197,  39.254,  10.904, 43,  0,   0.000,   0.000,   0.000,   0.012,   0.186,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:33:08:623, 776114047853926,   13.230,    1.000, 1200,   1.508,  62.263,  17.295,   0.268,  39.523,  10.979, 43,  0,   0.000,   0.000,   0.000,   0.010,   0.196,   0.055,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
