System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:21:41:047, 764094990686912,    1.004,   22.000, 4100,  17.297,  17.371,   4.825,  14.789,  14.852,   4.126, 90,  0,   0.000,   0.000,   0.000,   0.031,   0.031,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:42:087, 764097906335804,    2.044,   20.000, 4100,  17.568,  35.644,   9.901,  15.369,  30.838,   8.566, 57,  0,   0.000,   0.000,   0.000,   0.033,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:43:089, 764100714459746,    3.046,   13.000, 1500,   8.854,  44.513,  12.365,   6.767,  37.616,  10.449, 52,  0,   0.000,   0.000,   0.000,   0.007,   0.072,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:44:094, 764103533324280,    4.052,    4.000, 1200,   2.842,  47.371,  13.159,   1.343,  38.967,  10.824, 40,  0,   0.000,   0.000,   0.000,   0.030,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:45:101, 764106353304735,    5.058,    6.000, 1200,   3.598,  50.990,  14.164,   2.003,  40.982,  11.384, 41,  0,   0.000,   0.000,   0.000,   0.013,   0.115,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:46:106, 764109171153051,    6.063,    2.000, 1200,   1.574,  52.572,  14.603,   0.409,  41.393,  11.498, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.122,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:47:117, 764112006797639,    7.075,    9.000, 1200,   5.136,  57.768,  16.047,   3.586,  45.020,  12.506, 41,  0,   0.000,   0.000,   0.000,   0.027,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:48:121, 764114820031966,    8.078,    2.000, 1200,   1.586,  59.360,  16.489,   0.366,  45.388,  12.608, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.157,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:49:123, 764117627985322,    9.080,    3.000, 4100,   2.719,  62.084,  17.246,   1.405,  46.795,  12.999, 42,  0,   0.000,   0.000,   0.000,   0.013,   0.171,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:50:127, 764120444540163,   10.085,    2.000, 1200,   1.612,  63.704,  17.696,   0.348,  47.145,  13.096, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.177,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:51:133, 764123263204905,   11.090,    1.000, 1300,   1.483,  65.195,  18.110,   0.294,  47.440,  13.178, 40,  0,   0.000,   0.000,   0.000,   0.017,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:52:136, 764126075860400,   12.093,    3.000, 1200,   3.152,  68.357,  18.988,   1.909,  49.355,  13.710, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.206,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:53:141, 764128895003100,   13.099,    1.000, 1200,   1.368,  69.733,  19.370,   0.318,  49.675,  13.798, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.215,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:54:147, 764131712573820,   14.104,    4.000, 1200,   3.083,  72.831,  20.231,   1.630,  51.313,  14.254, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:55:151, 764134527471332,   15.108,    2.000, 1100,   1.652,  74.490,  20.692,   0.466,  51.782,  14.384, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.236,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:56:166, 764137371700656,   16.123,    4.000, 1200,   2.598,  77.126,  21.424,   1.391,  53.193,  14.776, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:57:172, 764140193002590,   17.130,    1.000, 1200,   1.393,  78.528,  21.813,   0.304,  53.499,  14.861, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.250,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:58:182, 764143023127999,   18.139,    3.000, 1200,   2.784,  81.338,  22.594,   1.580,  55.094,  15.304, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.262,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:21:59:187, 764145840417610,   19.144,    2.000, 1200,   1.413,  82.758,  22.988,   0.318,  55.414,  15.393, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.275,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:00:191, 764148655964972,   20.149,    4.000, 1200,   3.261,  86.033,  23.898,   1.978,  57.401,  15.945, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.286,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:01:195, 764151468566439,   21.152,    1.000, 1200,   1.383,  87.421,  24.284,   0.336,  57.739,  16.039, 38,  0,   0.000,   0.000,   0.000,   0.014,   0.300,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:02:201, 764154289171157,   22.158,    3.000, 1200,   2.975,  90.414,  25.115,   1.740,  59.490,  16.525, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.307,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:03:203, 764157100262057,   23.161,    2.000, 1200,   1.482,  91.901,  25.528,   0.393,  59.884,  16.634, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.319,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:04:209, 764159919831416,   24.167,    3.000, 1200,   3.253,  95.172,  26.437,   1.759,  61.653,  17.126, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.324,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:05:216, 764162741610434,   25.173,    1.000, 1200,   1.313,  96.494,  26.804,   0.290,  61.945,  17.207, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.333,   0.093,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:06:219, 764165553237101,   26.176,    3.000, 1200,   2.509,  99.010,  27.503,   1.304,  63.253,  17.570, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.348,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:07:224, 764168371547845,   27.182,    2.000, 1200,   1.363, 100.380,  27.883,   0.289,  63.544,  17.651, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.354,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:08:231, 764171193213128,   28.188,    3.000, 1500,   2.660, 103.057,  28.627,   1.427,  64.980,  18.050, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.362,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:09:237, 764174014928140,   29.195,    2.000, 1100,   1.428, 104.495,  29.026,   0.352,  65.335,  18.149, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.370,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:10:254, 764176862869660,   30.211,    3.000, 4100,   2.133, 106.662,  29.628,   1.001,  66.352,  18.431, 50,  0,   0.000,   0.000,   0.000,   0.010,   0.380,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:11:257, 764179676986197,   31.215,    2.000, 1200,   2.104, 108.774,  30.215,   0.980,  67.336,  18.704, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.385,   0.107,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:12:264, 764182499312595,   32.222,    4.000, 1200,   3.198, 111.994,  31.109,   1.519,  68.865,  19.129, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.391,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:13:270, 764185318251346,   33.227,    4.000, 1200,   2.853, 114.863,  31.906,   1.546,  70.419,  19.561, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.395,   0.110,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:14:275, 764188137214934,   34.233,    1.000, 1200,   1.716, 116.589,  32.386,   0.372,  70.794,  19.665, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.404,   0.112,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:15:281, 764190955910363,   35.238,    5.000, 1200,   3.639, 120.248,  33.402,   2.328,  73.135,  20.315, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.411,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:16:301, 764193815628797,   36.259,    2.000, 1100,   1.544, 121.824,  33.840,   0.377,  73.520,  20.422, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.423,   0.117,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:17:304, 764196627989420,   37.262,    3.000, 1200,   2.668, 124.501,  34.584,   1.486,  75.010,  20.836, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.430,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:18:319, 764199471484221,   38.276,    2.000, 1200,   1.557, 126.081,  35.022,   0.342,  75.358,  20.933, 39,  0,   0.000,   0.000,   0.000,   0.002,   0.433,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:19:324, 764202291282033,   39.282,    4.000, 1200,   2.666, 128.762,  35.767,   1.420,  76.786,  21.329, 37,  0,   0.000,   0.000,   0.000,   0.012,   0.444,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:20:334, 764205119562095,   40.291,    2.000, 1400,   1.798, 130.576,  36.271,   0.644,  77.435,  21.510, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.452,   0.126,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:21:339, 764207939706172,   41.297,    3.000, 1200,   2.028, 132.617,  36.838,   0.835,  78.275,  21.743, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.465,   0.129,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:22:346, 764210760814805,   42.304,    2.000, 1200,   1.350, 133.975,  37.215,   0.282,  78.559,  21.822, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.472,   0.131,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:23:349, 764213574051151,   43.307,    4.000, 2000,   2.598, 136.582,  37.940,   1.255,  79.819,  22.172, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.475,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:24:364, 764216418672730,   44.322,    2.000, 1100,   1.450, 138.054,  38.348,   0.365,  80.189,  22.275, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.486,   0.135,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:25:368, 764219231774355,   45.325,    3.000, 1200,   2.945, 141.009,  39.169,   1.655,  81.850,  22.736, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.497,   0.138,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:26:370, 764222040233506,   46.327,    1.000, 1200,   1.379, 142.391,  39.553,   0.344,  82.195,  22.832, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.505,   0.140,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:27:379, 764224868854977,   47.336,    7.000, 1300,   4.457, 146.888,  40.802,   2.844,  85.065,  23.629, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.509,   0.141,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:28:382, 764227682394333,   48.340,   23.000, 1200,  10.890, 157.818,  43.838,   7.973,  93.067,  25.852, 40,  0,   0.000,   0.000,   0.000,   0.001,   0.510,   0.142,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:29:396, 764230523475903,   49.354,    7.000, 4700,   4.728, 162.610,  45.169,   3.071,  96.179,  26.716, 47,  0,   0.000,   0.000,   0.000,   0.006,   0.517,   0.144,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:30:418, 764233388009872,   50.375,    3.000, 1200,   2.217, 164.876,  45.799,   0.881,  97.079,  26.967, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.529,   0.147,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:31:422, 764236203499046,   51.380,    2.000, 1200,   1.523, 166.405,  46.224,   0.311,  97.392,  27.053, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.536,   0.149,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:32:438, 764239050565519,   52.396,    3.000, 1200,   2.676, 169.123,  46.979,   1.180,  98.590,  27.386, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.545,   0.151,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:33:451, 764241890602907,   53.409,    3.000, 1200,   1.914, 171.062,  47.517,   0.510,  99.107,  27.530, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.555,   0.154,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:34:456, 764244706753118,   54.413,    3.000, 1200,   3.150, 174.227,  48.396,   1.809, 100.924,  28.034, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.569,   0.158,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:35:459, 764247519898403,   55.417,    1.000, 1200,   1.372, 175.604,  48.779,   0.335, 101.260,  28.128, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.572,   0.159,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
17:22:36:474, 764250364697025,   56.432,    4.000, 1200,   2.680, 178.324,  49.534,   1.494, 102.777,  28.549, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.580,   0.161,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
