System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:58:52:013, 1032732252796648,    1.011,   22.000, 4100,  19.884,  20.110,   5.586,  17.365,  17.563,   4.878, 86,  0,   0.000,   0.000,   0.000,   0.055,   0.055,   0.015,  64.000,  64.000, 121.000,   0.000,   0.000,   10,  85.690
19:58:53:032, 1032735109717558,    2.031,   17.000, 1900,  15.182,  35.583,   9.884,  12.914,  30.724,   8.535, 41,  0,   0.000,   0.000,   0.000,   0.049,   0.106,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.720
19:58:54:039, 1032737932927292,    3.038,    4.000, 1200,   3.370,  38.977,  10.827,   1.924,  32.662,   9.073, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.114,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  92.455
19:58:55:052, 1032740772156205,    4.051,    3.000, 4100,   1.897,  40.897,  11.360,   0.757,  33.429,   9.286, 44,  0,   0.000,   0.000,   0.000,   0.017,   0.132,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  93.401
19:58:56:058, 1032743590605751,    5.056,    5.000, 1300,   3.360,  44.276,  12.299,   1.739,  35.177,   9.772, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.932
19:58:57:060, 1032746400174180,    6.058,    2.000, 1200,   1.822,  46.102,  12.806,   0.584,  35.763,   9.934, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.153,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.478
19:58:58:068, 1032749225363662,    7.066,   11.000, 1200,   6.507,  52.660,  14.628,   4.637,  40.437,  11.232, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.166,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.509
19:58:59:084, 1032752074693366,    8.083,    2.000, 1100,   1.917,  54.608,  15.169,   0.569,  41.015,  11.393, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.267
19:59:00:087, 1032754886236288,    9.086,    4.000, 1300,   2.852,  57.469,  15.964,   1.592,  42.611,  11.836, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.176,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.238
19:59:01:090, 1032757698603463,   10.089,    2.000, 1200,   1.452,  58.926,  16.368,   0.324,  42.936,  11.927, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.478
19:59:02:093, 1032760509327848,   11.091,    2.000, 4100,   1.987,  60.918,  16.922,   0.907,  43.845,  12.179, 48,  0,   0.000,   0.000,   0.000,   0.009,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.466
19:59:03:103, 1032763339592411,   12.101,    8.000, 1200,   5.382,  66.352,  18.431,   3.533,  47.412,  13.170, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.211,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.496
19:59:04:121, 1032766192603047,   13.119,    2.000, 1100,   1.484,  67.862,  18.851,   0.348,  47.766,  13.268, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.228,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.261
19:59:05:138, 1032769044299929,   14.136,    3.000, 1200,   2.698,  70.607,  19.613,   1.467,  49.259,  13.683, 39,  0,   0.000,   0.000,   0.000,   0.003,   0.231,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  68.064
19:59:06:142, 1032771860173591,   15.141,    2.000, 1200,   1.434,  72.047,  20.013,   0.328,  49.588,  13.774, 38,  0,   0.000,   0.000,   0.000,   0.011,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.271
19:59:07:160, 1032774713957325,   16.159,    4.000, 1300,   2.738,  74.834,  20.787,   1.513,  51.129,  14.202, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.247,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.955
19:59:08:165, 1032777531546076,   17.164,    1.000, 1200,   1.587,  76.429,  21.230,   0.338,  51.469,  14.297, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.257,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.748
19:59:09:170, 1032780346487070,   18.168,    4.000, 1200,   3.059,  79.501,  22.084,   1.734,  53.210,  14.781, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.269,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.601
19:59:10:173, 1032783159345867,   19.172,    2.000, 1200,   1.516,  81.023,  22.506,   0.391,  53.603,  14.890, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.278,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.932
19:59:11:180, 1032785982877563,   20.179,    3.000, 1300,   2.629,  83.670,  23.242,   1.393,  55.006,  15.279, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.283,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.237
19:59:12:183, 1032788793669443,   21.181,    1.000, 1200,   1.426,  85.100,  23.639,   0.357,  55.364,  15.379, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.291,   0.081,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.573
19:59:13:188, 1032791612025262,   22.187,    3.000, 1200,   3.414,  88.532,  24.592,   1.824,  57.198,  15.888, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.301,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.999
