System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:56:43:967, 780081580587773,    1.004,   21.000, 4400,  14.195,  14.248,   3.958,  11.747,  11.790,   3.275, 61,  0,   0.000,   0.000,   0.000,   0.030,   0.030,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:45:007, 780084496627659,    2.044,   21.000, 4100,  11.639,  26.356,   7.321,   9.417,  21.586,   5.996, 68,  0,   0.000,   0.000,   0.000,   0.019,   0.050,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:46:024, 780087348393848,    3.061,   14.000, 4100,  14.459,  41.066,  11.407,  12.110,  33.906,   9.418, 61,  0,   0.000,   0.000,   0.000,   0.015,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:47:069, 780090275484388,    4.106,   18.000, 4100,  15.566,  57.320,  15.922,  13.214,  47.704,  13.251, 55,  0,   0.000,   0.000,   0.000,   0.016,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:48:131, 780093253553116,    5.168,   15.000, 3400,  15.304,  73.579,  20.439,  13.056,  61.575,  17.104, 52,  0,   0.000,   0.000,   0.000,   0.005,   0.087,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:49:158, 780096131044369,    6.194,   19.000, 1900,  14.823,  88.795,  24.665,  12.345,  74.247,  20.624, 55,  0,   0.000,   0.000,   0.000,   0.000,   0.087,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:50:187, 780099016196594,    7.224,   29.000, 4400,  13.699, 102.894,  28.582,  11.242,  85.818,  23.838, 64,  0,   0.000,   0.000,   0.000,   0.027,   0.115,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:51:216, 780101900292432,    8.252,   19.000, 4100,  16.261, 119.625,  33.229,  13.886, 100.105,  27.807, 58,  0,   0.000,   0.000,   0.000,   0.005,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:52:231, 780104745556385,    9.267,   15.000, 4100,  14.208, 134.046,  37.235,  11.980, 112.264,  31.184, 62,  0,   0.000,   0.000,   0.000,   0.014,   0.134,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:53:245, 780107589219577,   10.282,   19.000, 1700,  15.176, 149.441,  41.511,  12.766, 125.214,  34.782, 54,  0,   0.000,   0.000,   0.000,   0.000,   0.134,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:54:247, 780110398001538,   11.284,   16.000, 1700,  14.351, 163.821,  45.506,  11.875, 137.113,  38.087, 63,  0,   0.000,   0.000,   0.000,   0.004,   0.139,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:55:353, 780113498579698,   12.390,   26.000, 4100,  13.727, 179.004,  49.723,  11.167, 149.464,  41.518, 73,  0,   0.000,   0.000,   0.000,   0.013,   0.153,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:56:403, 780116442191062,   13.440,   17.000, 4100,  14.701, 194.442,  54.012,  12.459, 162.548,  45.152, 67,  0,   0.000,   0.000,   0.000,   0.000,   0.153,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:57:481, 780119462480480,   14.518,   18.000, 4400,  15.169, 210.785,  58.551,  12.722, 176.255,  48.960, 73,  0,   0.000,   0.000,   0.000,   0.013,   0.167,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:58:542, 780122439047582,   15.579,   16.000, 4100,  14.867, 226.572,  62.937,  12.451, 189.476,  52.632, 58,  0,   0.000,   0.000,   0.000,   0.000,   0.167,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:56:59:572, 780125324566147,   16.609,   19.000, 4100,  15.301, 242.323,  67.312,  12.814, 202.667,  56.296, 71,  0,   0.000,   0.000,   0.000,   0.001,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:57:00:586, 780128168615273,   17.623,   17.000, 4100,  14.900, 257.440,  71.511,  12.549, 215.399,  59.833, 79,  0,   0.000,   0.000,   0.000,   0.000,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:57:01:630, 780131095330300,   18.667,   18.000, 4100,  14.448, 272.525,  75.701,  12.016, 227.944,  63.318, 67,  0,   0.000,   0.000,   0.000,   0.002,   0.170,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
18:57:02:706, 780134109665059,   19.743,    6.000, 1200,   5.687, 278.640,  77.400,   4.044, 232.293,  64.526, 46,  0,   0.000,   0.000,   0.000,   0.015,   0.187,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
