System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:03:54:108, 1033579094858927,    1.040,   22.000, 4100,  17.869,  18.591,   5.164,  15.454,  16.078,   4.466, 70,  0,   0.000,   0.000,   0.000,   0.068,   0.070,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,    9,  87.876
20:03:55:122, 1033581937762694,    2.055,   20.000, 4100,  17.443,  36.281,  10.078,  15.081,  31.372,   8.715, 84,  0,   0.000,   0.000,   0.000,   0.036,   0.107,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  87.749
20:03:56:181, 1033584907766230,    3.114,   18.000, 4100,  18.928,  56.336,  15.649,  16.363,  48.709,  13.530, 88,  0,   0.000,   0.000,   0.000,   0.004,   0.112,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  67.143
20:03:57:245, 1033587888993052,    4.178,   14.000, 4100,  19.225,  76.782,  21.328,  16.773,  66.547,  18.485, 89,  0,   0.000,   0.000,   0.000,   0.036,   0.150,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.870
20:03:58:273, 1033590771234679,    5.206,   17.000, 4100,  21.658,  99.050,  27.514,  19.134,  86.220,  23.950, 77,  0,   0.000,   0.000,   0.000,   0.006,   0.155,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  61.638
20:03:59:304, 1033593662705960,    6.237,   15.000, 4100,  19.838, 119.513,  33.198,  17.256, 104.019,  28.894, 89,  0,   0.000,   0.000,   0.000,   0.010,   0.166,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.521
20:04:00:329, 1033596535350781,    7.262,   24.000, 4100,  23.440, 143.533,  39.870,  20.832, 125.367,  34.824, 72,  0,   0.000,   0.000,   0.000,   0.017,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.695
20:04:01:343, 1033599376856981,    8.276,   16.000, 4100,  19.467, 163.266,  45.352,  16.968, 142.568,  39.602, 73,  0,   0.000,   0.000,   0.000,   0.004,   0.188,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.861
20:04:02:371, 1033602259516209,    9.304,   17.000, 2000,  21.644, 185.523,  51.534,  19.215, 162.328,  45.091, 69,  0,   0.000,   0.000,   0.000,   0.003,   0.191,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.153
20:04:03:436, 1033605244121364,   10.369,   16.000, 4100,  20.199, 207.029,  57.508,  17.678, 181.149,  50.319, 69,  0,   0.000,   0.000,   0.000,   0.001,   0.192,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.023
