Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.9606,0.7341430499325237,0.64,0.8607594936708861,3.002519003632037e-08,6.865305555555555e-05,0.33896589279174805,0.00010000467300415039,7.330501556396484,0.0012502670288085938,31993136.391076874,24450904.35878866,2.833913442111912,0.13104151095388486
NaiveBayes,0,0.90485,0.5395596419066053,0.6558823529411765,0.458281956432388,1.860808354180459e-09,6.407916666666667e-05,0.017052888870239258,0.00010018348693847657,10.432191848754883,0.0013036727905273438,486267163.3901364,289959812.73108554,53.06139076406851,0.08673632666255049
RandomForest,0,0.96855,0.7905427905427905,0.6982352941176471,0.9109746738296239,1.429939971935407e-06,9.006444444444445e-05,3.5649988651275635,0.006554889678955078,8.522626876831055,47.97812747955322,677336.125298378,552850.333621208,0.27168311593988215,0.11364453870825017
GradientBoosting,0,0.9721,0.8074534161490683,0.6882352941176471,0.9766277128547579,1.4819196835891304e-06,8.375694444444443e-05,3.4248552322387695,0.0009550929069519044,9.969768524169922,0.17969512939453125,655973.4719533691,544869.8907848091,0.2838368147212327,0.09750477131372882
SVM,0,0.94915,0.5732270247587075,0.40176470588235297,1.0,3.038021270892377e-05,0.0005469169444444444,158.55007147789001,0.768011200428009,8.003952980041504,0.599055290222168,31242.375064780248,18868.433550839814,0.005986436910136367,0.1185851544064266
KNN,0,0.95475,0.676670239371204,0.5570588235294117,0.8616924476797089,1.029411558212574e-08,7.908611111111112e-05,0.10769510269165039,0.02781599760055542,7.408281326293945,9.046575546264648,92747161.46162054,65733693.58181144,8.865305627996971,0.1288760453266455
DecisionTree,0,0.9536,0.7303893085415456,0.7394117647058823,0.7215843857634903,1.0418393505313898e-08,6.630083333333333e-05,0.10597729682922363,0.00010001659393310547,6.187312126159668,0.5729608535766602,91530426.40533942,70105751.73312572,8.998153647348374,0.15412185138813728
LogisticRegression,10,0.95335,0.6805888394385484,0.5847058823529412,0.814086814086814,2.4135871606617485e-08,0.00012095138888888889,0.27388691902160645,4.773139953613281e-05,6.22186279296875,0.0012502670288085938,39499298.6181868,28198229.19723964,3.4808161098222876,0.1532258154386447
NaiveBayes,10,0.90215,0.5258056699781924,0.638235294117647,0.4470539761021838,2.842886749019401e-09,9.188611111111112e-05,0.011996746063232422,9.917020797729492e-05,6.769250869750977,0.0013036727905273438,317335891.17159843,184954842.1721544,75.19955788385866,0.13327176335439728
RandomForest,10,0.96395,0.7582970164264163,0.6652941176470588,0.8815276695245519,2.129976074090176e-06,9.549611111111111e-05,5.072478532791138,0.008536744117736817,8.519989967346191,53.21677494049072,452563.7690140502,356011.98795170715,0.19003530399754798,0.11313980458832058
GradientBoosting,10,0.96635,0.7689667009955372,0.6588235294117647,0.9233305853256389,1.8462033171194673e-06,8.778305555555555e-05,4.516673564910889,0.0008005499839782715,9.915587425231934,0.18744659423828125,523425.5572174708,416512.46851582685,0.2139517027547386,0.09745766524542507
SVM,10,0.94315,0.5200506542845083,0.3623529411764706,0.9207772795216741,3.091218618776561e-05,0.0005407552777777777,164.6450514793396,0.7509147047996522,8.00351333618164,0.643671989440918,30510.621095226157,16823.483500184575,0.005728383522770806,0.11784199768072894
KNN,10,0.94995,0.641347187388033,0.5264705882352941,0.8203483043079743,8.541699883918805e-09,6.845500000000001e-05,0.08709907531738281,0.023599839210510253,7.403712272644043,9.046575546264648,111213226.04513904,75084256.77604027,10.906545179021132,0.1283072552008764
DecisionTree,10,0.9475,0.6952988972721996,0.7047058823529412,0.6861397479954181,1.7629173251575857e-08,7.129944444444445e-05,0.17902135848999023,0.00014997720718383788,6.187090873718262,0.6199579238891602,53746139.22495224,39440244.15382312,5.292664562440902,0.153141439060613
