Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
DecisionTree,0,0.9536,0.7303893085415456,0.7394117647058823,0.7215843857634903,8.901096339452408e-09,7.290194444444444e-05,0.1010737419128418,0.000149643421173,6.187090873718262,0.5729608535766602,107132870.33793244,82056106.42637746,9.434695717729646,0.1541273628371509
DecisionTree,10,0.94805,0.7008350129570976,0.7158823529411765,0.6864072194021432,5.2465934689893844e-08,6.897972222222222e-05,0.5405097007751465,9.992122650146484e-05,6.187090873718262,0.4226617813110351,18069820.076656643,13357905.793529963,1.7539925715309064,0.15323033382735
DecisionTree,20,0.94195,0.6676209561981105,0.6858823529411765,0.6503067484662577,4.775379121075286e-08,6.717833333333333e-05,0.5832180976867676,9.883642196655272e-05,6.187090873718262,0.4798822402954101,19725135.45244756,13980480.696321769,1.6150904845650018,0.152244410050812
DecisionTree,30,0.93515,0.6286859433152018,0.6458823529411765,0.6123814835471277,6.16660679174402e-08,6.503805555555555e-05,0.6687562465667725,0.0001499414443969,6.187090873718262,0.5142145156860352,15164741.83585044,10195006.176766442,1.3983420787481635,0.1511453474802451
DecisionTree,40,0.93415,0.6174847516700552,0.6252941176470588,0.6098680436029834,5.551656513529345e-08,7.982444444444444e-05,0.663496732711792,0.0001499772071838,6.187090873718262,0.5580072402954102,16826509.30805037,11122531.629347917,1.4079195178279404,0.1509837206316323
DecisionTree,50,0.92485,0.566733929086192,0.5782352941176471,0.5556811758055399,5.514227542635625e-08,6.519805555555555e-05,0.6732163429260254,0.0001499414443969,6.187090873718262,0.6118707656860352,16772068.124667035,10277666.721299486,1.3737782953697912,0.1494805909395334
DecisionTree,60,0.92155,0.5479688850475367,0.5594117647058824,0.5369847543760587,6.170063552981354e-08,6.489388888888889e-05,0.6971015930175781,0.0001499772071838,6.187090873718262,0.6568841934204102,14935826.7072421,8881089.803082498,1.3219737398832228,0.1489472223391112
DecisionTree,70,0.9152,0.5195467422096317,0.5394117647058824,0.5010928961748634,7.022750397541287e-08,6.556305555555555e-05,0.754197359085083,0.000149917602539,6.187090873718262,0.7127313613891602,13031931.197788518,7398052.227394109,1.2134754769099554,0.14792089185042
DecisionTree,80,0.91035,0.4869814020028612,0.5005882352941177,0.4740947075208914,8.41752264233951e-08,6.91463888888889e-05,0.8760688304901123,0.0001500606536865,6.187090873718262,0.7737665176391602,10814939.72372593,5785329.279108574,1.039130680509098,0.147137001634648
DecisionTree,90,0.90365,0.456723992106005,0.4764705882352941,0.4385489983757444,6.358417480650101e-08,6.519583333333333e-05,0.7630198001861572,0.0001542925834655,6.187090873718262,0.8341913223266602,14211869.58468805,7182982.141325335,1.184307405626345,0.1460541017489424
DecisionTree,100,0.89505,0.4068946029951963,0.4235294117647059,0.3915171288743883,7.298265635603747e-08,6.480027777777778e-05,0.7813057899475098,0.0001498699188232,6.187090873718262,0.8601312637329102,12263872.606028505,5575223.255922722,1.145582192677891,0.1446641108508724
GradientBoosting,0,0.9721,0.8074534161490683,0.6882352941176471,0.976627712854758,1.2192479599741177e-06,8.82788888888889e-05,3.4122588634490967,0.0009499311447143,9.97316551208496,0.1796951293945312,797294.752103285,662255.2939651498,0.2848845995867398,0.0974715599397262
