System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:57:02:669, 1526916999570586,    0.108,    1.000, 1100,   1.359,   0.146,   0.041,   0.299,   0.032,   0.009, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:02:776, 1526917301104261,    0.215,    2.000, 1200,   1.583,   0.317,   0.088,   0.343,   0.069,   0.019, 39,  0,   0.000,   0.000,   0.000,   0.016,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:02:884, 1526917602119757,    0.323,    1.000, 1200,   1.368,   0.464,   0.129,   0.231,   0.094,   0.026, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:02:993, 1526917907141969,    0.431,    2.000, 1200,   1.376,   0.613,   0.170,   0.359,   0.133,   0.037, 38,  0,   0.000,   0.000,   0.000,   0.028,   0.007,   0.002,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:03:102, 1526918213124119,    0.541,    3.000, 1200,   1.916,   0.822,   0.228,   0.510,   0.189,   0.052, 39,  0,   0.000,   0.000,   0.000,   0.045,   0.012,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:03:210, 1526918514740107,    0.648,   20.000, 4100,  10.296,   1.930,   0.536,   8.088,   1.059,   0.294, 55,  0,   0.000,   0.000,   0.000,   0.000,   0.012,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:03:333, 1526918859368352,    0.771,    3.000, 1200,   3.928,   2.413,   0.670,   2.468,   1.362,   0.378, 39,  0,   0.000,   0.000,   0.000,   0.015,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:03:441, 1526919164143981,    0.880,   14.000, 4100,   3.673,   2.813,   0.781,   2.208,   1.602,   0.445, 48,  0,   0.000,   0.000,   0.000,   0.003,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:03:551, 1526919472580012,    0.990,   32.000, 4100,  28.009,   5.894,   1.637,  24.589,   4.308,   1.197, 48,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:03:659, 1526919775152817,    1.098,    5.000, 1400,   1.980,   6.108,   1.697,   0.422,   4.354,   1.209, 43,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
20:57:03:660, 1526919776596349,    1.098,    9.000, 4700,   0.000,   6.108,   1.697,   0.000,   4.354,   1.209, 43,  0,   0.000,   0.000,   0.000,   0.000,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.098331
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 6.108093
Cumulative Processor Energy_0 (mWh) = 1.696693
Average Processor Power_0 (Watt) = 5.561248

Cumulative IA Energy_0 (Joules) = 4.353516
Cumulative IA Energy_0 (mWh) = 1.209310
Average IA Power_0 (Watt) = 3.963754

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.014160
Cumulative GT Energy_0 (mWh) = 0.003933
Average GT Power_0 (Watt) = 0.012892
