System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:34:43:210, 1513070521705936,    1.042,   27.000, 3000,  13.584,  14.151,   3.931,  11.120,  11.583,   3.218, 54,  0,   0.000,   0.000,   0.000,   0.030,   0.031,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  89.683
19:34:44:249, 1513073434482316,    2.081,   18.000, 4100,  12.091,  26.715,   7.421,   9.891,  21.861,   6.072, 58,  0,   0.000,   0.000,   0.000,   0.043,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  83.648
19:34:45:331, 1513076467127954,    3.163,    3.000, 1200,   3.239,  30.219,   8.394,   1.932,  23.951,   6.653, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.085,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.464
19:34:46:348, 1513079317167613,    4.179,    4.000, 1200,   2.682,  32.945,   9.152,   1.312,  25.285,   7.024, 39,  0,   0.000,   0.000,   0.000,   0.018,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.128
19:34:47:356, 1513082144985879,    5.188,    3.000, 1200,   2.510,  35.477,   9.855,   1.107,  26.402,   7.334, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.115,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.711
19:34:48:375, 1513084999485070,    6.206,    5.000, 1600,   3.142,  38.676,  10.743,   1.878,  28.314,   7.865, 45,  0,   0.000,   0.000,   0.000,   0.008,   0.123,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.641
19:34:49:384, 1513087828288005,    7.216,    8.000, 1100,   4.557,  43.275,  12.021,   2.794,  31.133,   8.648, 39,  0,   0.000,   0.000,   0.000,   0.056,   0.179,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.080
19:34:50:391, 1513090652583363,    8.223,    3.000, 1200,   3.175,  46.473,  12.909,   1.800,  32.947,   9.152, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.185,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.014
19:34:51:395, 1513093467585223,    9.227,    2.000, 1200,   1.680,  48.160,  13.378,   0.373,  33.322,   9.256, 37,  0,   0.000,   0.000,   0.000,   0.016,   0.201,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.858
19:34:52:401, 1513096284988361,   10.232,    4.000, 1300,   2.822,  50.997,  14.166,   1.419,  34.748,   9.652, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.211,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.383
19:34:53:417, 1513099134998977,   11.249,    1.000, 1200,   1.454,  52.475,  14.576,   0.371,  35.125,   9.757, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.219,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.328
19:34:54:427, 1513101964762632,   12.259,   10.000, 1300,   5.238,  57.763,  16.045,   3.501,  38.659,  10.739, 39,  0,   0.000,   0.000,   0.000,   0.022,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.894
19:34:55:431, 1513104779244277,   13.263,    2.000, 1200,   1.485,  59.254,  16.460,   0.381,  39.042,  10.845, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.111
19:34:56:435, 1513107594230038,   14.267,    3.000, 1300,   2.313,  61.577,  17.105,   1.060,  40.106,  11.141, 46,  0,   0.000,   0.000,   0.000,   0.011,   0.260,   0.072,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.815
19:34:57:451, 1513110442903208,   15.283,    2.000, 1200,   1.775,  63.381,  17.606,   0.667,  40.784,  11.329, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.267,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.756
19:34:58:467, 1513113290397676,   16.299,    1.000, 1200,   1.317,  64.718,  17.977,   0.273,  41.062,  11.406, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.271,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.103
19:34:59:471, 1513116104600306,   17.303,    3.000, 1200,   2.589,  67.318,  18.699,   1.340,  42.407,  11.780, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.281,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.951
19:35:00:477, 1513118924513545,   18.309,    3.000, 1200,   1.927,  69.257,  19.238,   0.633,  43.044,  11.957, 39,  0,   0.000,   0.000,   0.000,   0.016,   0.297,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.084
19:35:01:494, 1513121776562895,   19.326,    3.000, 1100,   3.141,  72.453,  20.126,   1.776,  44.851,  12.459, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.303,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.015
19:35:02:498, 1513124590080051,   20.330,    1.000, 1200,   1.325,  73.783,  20.495,   0.295,  45.147,  12.541, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.312,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.412
19:35:03:503, 1513127407100086,   21.335,    3.000, 1200,   2.833,  76.629,  21.286,   1.620,  46.775,  12.993, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.318,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.779
19:35:04:522, 1513130264365943,   22.354,    1.000, 1200,   1.563,  78.222,  21.728,   0.340,  47.122,  13.089, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.324,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.805
19:35:05:526, 1513133080139842,   23.358,    3.000, 1200,   2.431,  80.664,  22.407,   1.282,  48.410,  13.447, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.332,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.762
19:35:06:529, 1513135890146182,   24.361,    2.000, 1200,   1.774,  82.442,  22.900,   0.347,  48.757,  13.544, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.344,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.509
19:35:07:532, 1513138701778983,   25.364,    3.000, 1100,   2.838,  85.288,  23.691,   1.674,  50.436,  14.010, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.354,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.312
19:35:08:541, 1513141530199066,   26.373,    4.000, 1200,   2.062,  87.368,  24.269,   0.741,  51.184,  14.218, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.360,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.525
