System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:29:40:435, 1512221770998645,    1.007,   20.000, 1500,  14.535,  14.632,   4.065,  12.096,  12.177,   3.382, 69,  0,   0.000,   0.000,   0.000,   0.028,   0.029,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  76.018
19:29:41:467, 1512224665220089,    2.039,   18.000, 1100,   9.344,  24.280,   6.745,   7.380,  19.796,   5.499, 39,  0,   0.000,   0.000,   0.000,   0.042,   0.072,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  77.424
19:29:42:481, 1512227507783492,    3.053,   13.000, 4100,  14.459,  38.943,  10.817,  12.213,  32.181,   8.939, 70,  0,   0.000,   0.000,   0.000,   0.001,   0.073,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.748
19:29:43:511, 1512230393917991,    4.083,   17.000, 4100,  14.758,  54.137,  15.038,  12.523,  45.074,  12.521, 66,  0,   0.000,   0.000,   0.000,   0.003,   0.077,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.871
19:29:44:540, 1512233278674583,    5.112,   14.000, 4100,  15.494,  70.082,  19.467,  13.287,  58.748,  16.319, 74,  0,   0.000,   0.000,   0.000,   0.005,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.698
19:29:45:571, 1512236169487878,    6.143,   18.000, 3500,  15.105,  85.659,  23.794,  12.929,  72.081,  20.023, 60,  0,   0.000,   0.000,   0.000,   0.010,   0.092,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  71.304
19:29:46:590, 1512239025286440,    7.162,   16.000, 3500,  14.427, 100.357,  27.877,  12.040,  84.347,  23.430, 57,  0,   0.000,   0.000,   0.000,   0.006,   0.098,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.264
19:29:47:653, 1512242003569288,    8.224,   15.000, 2800,   7.631, 108.464,  30.129,   5.591,  90.287,  25.080, 42,  0,   0.000,   0.000,   0.000,   0.023,   0.123,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.857
19:29:48:672, 1512244862138383,    9.244,    4.000, 1200,   2.866, 111.387,  30.941,   1.415,  91.731,  25.481, 42,  0,   0.000,   0.000,   0.000,   0.010,   0.132,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  56.421
19:29:49:678, 1512247680300010,   10.249,    7.000, 1200,   4.247, 115.657,  32.127,   2.747,  94.493,  26.248, 41,  0,   0.000,   0.000,   0.000,   0.016,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.186
