System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:56:33:723, 1516744201092142,    1.007,   20.000, 1500,  13.991,  14.084,   3.912,  11.578,  11.656,   3.238, 71,  0,   0.000,   0.000,   0.000,   0.034,   0.034,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,   14,  87.051
19:56:34:788, 1516747187239585,    2.072,   20.000, 1300,   9.284,  23.974,   6.659,   7.210,  19.336,   5.371, 38,  0,   0.000,   0.000,   0.000,   0.024,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  75.689
19:56:35:807, 1516750043247072,    3.091,    1.000, 1200,   1.599,  25.603,   7.112,   0.320,  19.661,   5.461, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.070,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  91.650
19:56:36:812, 1516752860371740,    4.096,    5.000, 3500,   2.962,  28.579,   7.939,   1.555,  21.224,   5.896, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.426
19:56:37:818, 1516755681178146,    5.102,    2.000, 1200,   2.083,  30.675,   8.521,   0.819,  22.048,   6.124, 36,  0,   0.000,   0.000,   0.000,   0.011,   0.086,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.889
19:56:38:822, 1516758494139256,    6.106,    4.000, 1300,   3.043,  33.729,   9.369,   1.529,  23.583,   6.551, 38,  0,   0.000,   0.000,   0.000,   0.017,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  76.887
19:56:39:837, 1516761339015605,    7.120,   14.000, 1100,   8.505,  42.360,  11.767,   6.472,  30.151,   8.375, 38,  0,   0.000,   0.000,   0.000,   0.019,   0.122,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  85.864
19:56:40:854, 1516764190259117,    8.138,    4.000, 1200,   3.040,  45.453,  12.626,   1.604,  31.782,   8.828, 38,  0,   0.000,   0.000,   0.000,   0.017,   0.140,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  76.825
19:56:41:859, 1516767008147064,    9.143,    1.000, 1100,   1.743,  47.204,  13.112,   0.342,  32.126,   8.924, 38,  0,   0.000,   0.000,   0.000,   0.011,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.262
19:56:42:866, 1516769830074538,   10.149,    4.000, 1200,   2.589,  49.810,  13.836,   1.202,  33.336,   9.260, 37,  0,   0.000,   0.000,   0.000,   0.004,   0.155,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.889
