System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:01:07:951, 1507421270645551,    1.010,   21.000, 4100,  18.017,  18.193,   5.054,  15.521,  15.672,   4.353, 90,  0,   0.000,   0.000,   0.000,   0.033,   0.033,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,   50,  84.828
19:01:08:985, 1507424170751029,    2.044,   18.000, 1300,  16.986,  35.766,   9.935,  14.580,  30.756,   8.543, 41,  0,   0.000,   0.000,   0.000,   0.039,   0.073,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.472
19:01:09:993, 1507426994123187,    3.052,    6.000, 1200,   3.402,  39.192,  10.887,   1.508,  32.276,   8.965, 40,  0,   0.000,   0.000,   0.000,   0.034,   0.108,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  91.672
19:01:10:998, 1507429813254058,    4.057,    4.000, 1100,   3.095,  42.304,  11.751,   1.729,  34.015,   9.449, 39,  0,   0.000,   0.000,   0.000,   0.014,   0.122,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.989
19:01:12:003, 1507432631137202,    5.062,    4.000, 1200,   2.050,  44.365,  12.324,   0.832,  34.852,   9.681, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.129,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  68.617
19:01:13:010, 1507435451964288,    6.069,    9.000, 1200,   5.077,  49.475,  13.743,   3.135,  38.006,  10.557, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.139,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.983
19:01:14:034, 1507438322622018,    7.093,   13.000, 1900,   5.795,  55.409,  15.391,   4.025,  42.129,  11.702, 40,  0,   0.000,   0.000,   0.000,   0.020,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.494
19:01:15:037, 1507441134175759,    8.096,    4.000, 1200,   3.006,  58.424,  16.229,   1.569,  43.702,  12.139, 41,  0,   0.000,   0.000,   0.000,   0.027,   0.186,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.620
19:01:16:043, 1507443953908018,    9.102,    3.000, 1200,   2.402,  60.840,  16.900,   1.215,  44.925,  12.479, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.195,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.365
19:01:17:048, 1507446770847547,   10.107,    3.000, 4100,   3.181,  64.037,  17.788,   1.725,  46.658,  12.961, 42,  0,   0.000,   0.000,   0.000,   0.011,   0.207,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.947
19:01:18:053, 1507449590066510,   11.112,    2.000, 1300,   1.636,  65.683,  18.245,   0.348,  47.009,  13.058, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.218,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.427
19:01:19:063, 1507452420855119,   12.122,    7.000, 1800,   4.896,  70.628,  19.619,   3.313,  50.354,  13.987, 40,  0,   0.000,   0.000,   0.000,   0.052,   0.270,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  85.778
19:01:20:080, 1507455271664623,   13.139,    4.000, 1200,   2.981,  73.659,  20.461,   1.622,  52.004,  14.446, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.282,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.705
19:01:21:085, 1507458087809057,   14.144,    2.000, 1200,   1.549,  75.215,  20.893,   0.392,  52.398,  14.555, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.294,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.487
19:01:22:089, 1507460902454579,   15.148,    3.000, 1200,   3.320,  78.549,  21.819,   2.026,  54.432,  15.120, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.304,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.969
19:01:23:094, 1507463722149006,   16.154,    1.000, 1200,   1.517,  80.075,  22.243,   0.296,  54.730,  15.203, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.309,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.342
19:01:24:096, 1507466530962633,   17.156,    3.000, 1200,   2.865,  82.945,  23.040,   1.598,  56.331,  15.648, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.319,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.935
19:01:25:099, 1507469341645775,   18.158,    1.000, 1200,   1.513,  84.462,  23.462,   0.280,  56.612,  15.725, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.331,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.722
19:01:26:115, 1507472190189131,   19.175,    3.000, 1200,   2.944,  87.453,  24.293,   1.526,  58.163,  16.156, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.342,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.827
19:01:27:131, 1507475035932838,   20.190,    1.000, 1200,   1.336,  88.810,  24.669,   0.276,  58.443,  16.234, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.351,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.978
19:01:28:137, 1507477856670931,   21.196,    3.000, 1200,   2.826,  91.654,  25.459,   1.298,  59.749,  16.597, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.360,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.450
19:01:29:153, 1507480706579469,   22.213,    1.000, 1200,   1.379,  93.056,  25.849,   0.285,  60.039,  16.677, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.367,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.083
19:01:30:158, 1507483522435717,   23.217,    4.000, 1200,   2.867,  95.936,  26.649,   1.496,  61.542,  17.095, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.377,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.139
19:01:31:162, 1507486337743893,   24.221,    1.000, 1300,   1.411,  97.353,  27.043,   0.328,  61.871,  17.186, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.383,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.529
19:01:32:177, 1507489182598723,   25.236,    3.000, 1200,   2.809, 100.204,  27.834,   1.471,  63.365,  17.601, 39,  0,   0.000,   0.000,   0.000,   0.018,   0.401,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.772
19:01:33:183, 1507492001577893,   26.242,    1.000, 1200,   1.430, 101.642,  28.234,   0.307,  63.673,  17.687, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.414,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.232
19:01:34:189, 1507494823020727,   27.248,    3.000, 1200,   2.714, 104.374,  28.993,   1.510,  65.193,  18.109, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.418,   0.116,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.609
19:01:35:194, 1507497639867224,   28.253,    1.000, 1100,   1.403, 105.784,  29.384,   0.325,  65.520,  18.200, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.423,   0.117,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.822
19:01:36:210, 1507500487159671,   29.269,    3.000, 3600,   3.034, 108.866,  30.241,   1.514,  67.058,  18.627, 42,  0,   0.000,   0.000,   0.000,   0.005,   0.428,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  92.276
19:01:37:214, 1507503301069653,   30.273,    1.000, 1100,   1.585, 110.457,  30.683,   0.358,  67.417,  18.727, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.439,   0.122,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.589
19:01:38:219, 1507506119383417,   31.278,    1.000, 4100,   1.433, 111.898,  31.083,   0.347,  67.766,  18.824, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.444,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.564
19:01:39:224, 1507508937673886,   32.284,    4.000, 1200,   3.206, 115.120,  31.978,   1.931,  69.707,  19.363, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.454,   0.126,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.665
19:01:40:244, 1507511796685781,   33.304,    1.000, 1200,   1.603, 116.755,  32.432,   0.321,  70.035,  19.454, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.462,   0.128,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.465
19:01:41:248, 1507514610528461,   34.307,    3.000, 1200,   2.753, 119.518,  33.199,   1.404,  71.444,  19.846, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.471,   0.131,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.784
19:01:42:264, 1507517458478813,   35.323,    1.000, 1200,   1.574, 121.117,  33.644,   0.376,  71.826,  19.952, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.477,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.453
19:01:43:269, 1507520276663899,   36.329,    3.000, 1100,   3.263, 124.398,  34.555,   1.953,  73.790,  20.497, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.483,   0.134,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.825
19:01:44:276, 1507523098016188,   37.335,    1.000, 1200,   1.454, 125.861,  34.961,   0.304,  74.096,  20.582, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.493,   0.137,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.659
19:01:45:281, 1507525915477606,   38.340,    4.000, 1200,   2.854, 128.729,  35.758,   1.541,  75.644,  21.012, 39,  0,   0.000,   0.000,   0.000,   0.016,   0.510,   0.142,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.733
19:01:46:298, 1507528767668141,   39.358,    1.000, 1200,   1.576, 130.333,  36.204,   0.310,  75.959,  21.100, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.513,   0.143,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.510
19:01:47:304, 1507531586309320,   40.363,    3.000, 1200,   2.776, 133.124,  36.979,   1.534,  77.501,  21.528, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.521,   0.145,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.507
19:01:48:306, 1507534396983587,   41.366,    1.000, 1200,   1.562, 134.690,  37.414,   0.368,  77.870,  21.631, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.526,   0.146,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.593
19:01:49:312, 1507537215380475,   42.371,    3.000, 1200,   2.779, 137.485,  38.190,   1.514,  79.392,  22.053, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.530,   0.147,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.376
19:01:50:315, 1507540026454831,   43.374,    1.000, 1100,   1.310, 138.798,  38.555,   0.289,  79.682,  22.134, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.535,   0.149,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.674
19:01:51:321, 1507542848993488,   44.381,    4.000, 1200,   3.153, 141.973,  39.437,   1.671,  81.365,  22.601, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.549,   0.152,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  88.791
19:01:52:337, 1507545695910972,   45.397,    1.000, 1200,   1.339, 143.333,  39.815,   0.279,  81.649,  22.680, 38,  0,   0.000,   0.000,   0.000,   0.014,   0.562,   0.156,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  69.462
19:01:53:343, 1507548516108904,   46.403,    8.000, 4100,   5.436, 148.801,  41.334,   4.000,  85.672,  23.798, 49,  0,   0.000,   0.000,   0.000,   0.006,   0.569,   0.158,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.339
19:01:54:345, 1507551325827898,   47.405,    5.000, 2700,   4.045, 152.856,  42.460,   2.153,  87.830,  24.397, 41,  0,   0.000,   0.000,   0.000,   0.015,   0.584,   0.162,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.276
19:01:55:349, 1507554139296325,   48.409,   14.000, 4100,  14.082, 166.990,  46.386,  11.112,  98.983,  27.495, 59,  0,   0.000,   0.000,   0.000,   0.001,   0.585,   0.163,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.523
19:01:56:403, 1507557094365608,   49.463,   11.000, 1300,  10.089, 177.625,  49.340,   7.683, 107.083,  29.745, 41,  0,   0.000,   0.000,   0.000,   0.005,   0.590,   0.164,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  87.373
19:01:57:406, 1507559904179605,   50.465,   18.000, 4100,   8.069, 185.713,  51.587,   5.232, 112.327,  31.202, 55,  0,   0.000,   0.000,   0.000,   0.004,   0.594,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.789
19:01:58:409, 1507562717677094,   51.469,   18.000, 1400,   5.694, 191.427,  53.174,   3.400, 115.740,  32.150, 41,  0,   0.000,   0.000,   0.000,   0.021,   0.615,   0.171,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.011
19:01:59:419, 1507565548324224,   52.479,    6.000, 1200,   2.996, 194.452,  54.015,   0.970, 116.719,  32.422, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.625,   0.174,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  88.117
19:02:00:432, 1507568388770765,   53.492,    9.000, 1300,   4.484, 198.996,  55.277,   2.499, 119.251,  33.125, 41,  0,   0.000,   0.000,   0.000,   0.011,   0.637,   0.177,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.717
19:02:01:436, 1507571201756762,   54.495,    4.000, 1300,   2.248, 201.252,  55.903,   0.628, 119.882,  33.301, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.645,   0.179,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.133
19:02:02:446, 1507574034324258,   55.506,    7.000, 1700,   4.922, 206.225,  57.285,   3.210, 123.125,  34.201, 50,  0,   0.000,   0.000,   0.000,   0.003,   0.647,   0.180,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.728
