System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:25:05:501, 1521542721402039,    1.010,   22.000, 4700,  18.458,  18.640,   5.178,  15.972,  16.129,   4.480, 89,  0,   0.000,   0.000,   0.000,   0.035,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,    9,  90.226
20:25:06:555, 1521545676982389,    2.064,   16.000, 1200,  15.210,  34.676,   9.632,  13.131,  29.974,   8.326, 39,  0,   0.000,   0.000,   0.000,   0.035,   0.073,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.513
20:25:07:576, 1521548539399086,    3.085,    4.000, 1200,   2.799,  37.535,  10.426,   1.480,  31.486,   8.746, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.085,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  69.708
20:25:08:582, 1521551359722290,    4.091,    3.000, 4100,   2.147,  39.695,  11.026,   0.795,  32.286,   8.968, 45,  0,   0.000,   0.000,   0.000,   0.027,   0.112,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.521
20:25:09:590, 1521554185001965,    5.099,    4.000, 1200,   3.046,  42.766,  11.879,   1.595,  33.894,   9.415, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.639
20:25:10:594, 1521556998835417,    6.103,    3.000, 1300,   2.064,  44.837,  12.455,   0.582,  34.477,   9.577, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.132,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.415
20:25:11:620, 1521559873867647,    7.129,   13.000, 1100,   8.028,  53.071,  14.742,   5.984,  40.615,  11.282, 39,  0,   0.000,   0.000,   0.000,   0.031,   0.164,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.301
20:25:12:639, 1521562732549984,    8.149,    2.000, 1200,   1.774,  54.880,  15.244,   0.502,  41.127,  11.424, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.169,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.996
20:25:13:644, 1521565548267668,    9.153,    3.000, 1300,   2.893,  57.786,  16.052,   1.573,  42.707,  11.863, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.177,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.183
20:25:14:660, 1521568398159962,   10.170,    2.000, 1100,   1.543,  59.355,  16.488,   0.465,  43.180,  11.994, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.181,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.562
20:25:15:665, 1521571214617918,   11.174,    3.000, 1600,   2.740,  62.108,  17.252,   1.470,  44.656,  12.405, 50,  0,   0.000,   0.000,   0.000,   0.007,   0.188,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.686
20:25:16:674, 1521574042306133,   12.183,    8.000, 1200,   4.891,  67.042,  18.623,   3.350,  48.036,  13.343, 40,  0,   0.000,   0.000,   0.000,   0.026,   0.214,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.480
20:25:17:678, 1521576856507955,   13.187,    1.000, 1200,   1.577,  68.625,  19.063,   0.347,  48.384,  13.440, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  93.471
20:25:18:683, 1521579675309458,   14.193,    3.000, 1100,   2.915,  71.556,  19.877,   1.636,  50.029,  13.897, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.235,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.311
20:25:19:701, 1521582526860726,   15.210,    2.000, 1200,   1.636,  73.220,  20.339,   0.492,  50.529,  14.036, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.244,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.530
