System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:26:01:753, 805192418256538,    1.038,   19.000, 4100,  20.959,  21.759,   6.044,  18.516,  19.223,   5.340, 90,  0,   0.000,   0.000,   0.000,   0.022,   0.023,   0.006,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:02:796, 805195340791572,    2.081,   12.000, 4100,  14.974,  37.370,  10.381,  12.847,  32.617,   9.060, 76,  0,   0.000,   0.000,   0.000,   0.002,   0.025,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:03:808, 805198179289974,    3.093,   16.000, 4100,  16.802,  54.383,  15.107,  14.508,  47.308,  13.141, 50,  0,   0.000,   0.000,   0.000,   0.017,   0.042,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:04:839, 805201068879845,    4.124,   15.000, 1700,  13.747,  68.554,  19.043,  11.262,  58.917,  16.366, 66,  0,   0.000,   0.000,   0.000,   0.022,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:05:900, 805204044068243,    5.186,   18.000, 1800,  15.522,  85.028,  23.619,  13.189,  72.915,  20.254, 69,  0,   0.000,   0.000,   0.000,   0.026,   0.093,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:06:947, 805206978191808,    6.232,   17.000, 1800,  15.530, 101.283,  28.134,  13.080,  86.606,  24.057, 69,  0,   0.000,   0.000,   0.000,   0.023,   0.116,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:07:992, 805209909113158,    7.278,   18.000, 4700,  15.199, 117.175,  32.549,  12.971, 100.168,  27.824, 61,  0,   0.000,   0.000,   0.000,   0.015,   0.132,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:09:024, 805212801013290,    8.309,   14.000, 1200,  11.634, 129.177,  35.883,   9.361, 109.825,  30.507, 45,  0,   0.000,   0.000,   0.000,   0.026,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:10:033, 805215628959143,    9.318,    9.000, 1300,   4.785, 134.004,  37.223,   3.028, 112.879,  31.355, 44,  0,   0.000,   0.000,   0.000,   0.034,   0.193,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:11:049, 805218477445525,   10.334,    3.000, 1200,   1.848, 135.882,  37.745,   0.557, 113.445,  31.512, 44,  0,   0.000,   0.000,   0.000,   0.014,   0.207,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:26:12:057, 805221302734531,   11.342,    7.000, 1200,   4.859, 140.779,  39.105,   3.384, 116.856,  32.460, 45,  0,   0.000,   0.000,   0.000,   0.007,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
