System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:41:52:180, 1524364681299070,    1.013,   22.000, 4100,  18.336,  18.568,   5.158,  15.977,  16.179,   4.494, 62,  0,   0.000,   0.000,   0.000,   0.036,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  88.861
20:41:53:205, 1524367554224727,    2.038,   21.000, 4100,  17.208,  36.205,  10.057,  14.805,  31.353,   8.709, 83,  0,   0.000,   0.000,   0.000,   0.031,   0.068,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  75.321
20:41:54:217, 1524370391538271,    3.050,   15.000, 4100,  20.760,  57.218,  15.894,  18.273,  49.849,  13.847, 70,  0,   0.000,   0.000,   0.000,   0.018,   0.086,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.908
20:41:55:281, 1524373376202280,    4.114,   14.000, 4100,  18.300,  76.702,  21.306,  15.920,  66.799,  18.555, 53,  0,   0.000,   0.000,   0.000,   0.005,   0.092,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  89.775
20:41:56:358, 1524376393775359,    5.191,   18.000, 4100,  13.574,  91.314,  25.365,  10.774,  78.397,  21.777, 67,  0,   0.000,   0.000,   0.000,   0.009,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.598
20:41:57:420, 1524379371011729,    6.253,   20.000, 4100,  20.261, 112.833,  31.343,  17.795,  97.297,  27.027, 69,  0,   0.000,   0.000,   0.000,   0.004,   0.106,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.651
20:41:58:454, 1524382268895190,    7.287,   18.000, 4100,  22.125, 135.706,  37.696,  19.619, 117.579,  32.661, 79,  0,   0.000,   0.000,   0.000,   0.032,   0.139,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  80.493
20:41:59:470, 1524385117318574,    8.303,   15.000, 4100,  19.616, 155.639,  43.233,  17.110, 134.965,  37.490, 53,  0,   0.000,   0.000,   0.000,   0.006,   0.146,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.772
20:42:00:499, 1524388003656122,    9.333,   17.000, 4100,  17.055, 173.200,  48.111,  14.280, 149.668,  41.575, 70,  0,   0.000,   0.000,   0.000,   0.009,   0.155,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.782
20:42:01:559, 1524390972992678,   10.392,   19.000, 4100,  18.057, 192.327,  53.424,  15.443, 166.026,  46.118, 87,  0,   0.000,   0.000,   0.000,   0.003,   0.158,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.650
20:42:02:605, 1524393907675399,   11.439,   16.000, 4100,  19.521, 212.764,  59.101,  17.084, 183.911,  51.086, 88,  0,   0.000,   0.000,   0.000,   0.000,   0.158,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.942
20:42:03:649, 1524396833511260,   12.482,   18.000, 4100,  21.002, 234.684,  65.190,  18.379, 203.095,  56.415, 83,  0,   0.000,   0.000,   0.000,   0.001,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.608
20:42:04:697, 1524399769534282,   13.530,   15.000, 4100,  17.341, 252.847,  70.235,  14.574, 218.359,  60.655, 61,  0,   0.000,   0.000,   0.000,   0.006,   0.165,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.486
20:42:05:743, 1524402703964751,   14.577,   19.000, 4100,  17.879, 271.563,  75.434,  15.067, 234.132,  65.037, 81,  0,   0.000,   0.000,   0.000,   0.003,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.424
20:42:06:804, 1524405676660957,   15.637,   16.000, 4100,  20.489, 293.291,  81.470,  17.911, 253.126,  70.313, 83,  0,   0.000,   0.000,   0.000,   0.000,   0.168,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.995
20:42:07:833, 1524408562538458,   16.667,   17.000, 4100,  20.131, 314.015,  87.226,  17.497, 271.138,  75.316, 89,  0,   0.000,   0.000,   0.000,   0.001,   0.169,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.763
20:42:08:892, 1524411531170133,   17.726,   21.000, 4100,  18.432, 333.534,  92.648,  15.745, 287.813,  79.948, 84,  0,   0.000,   0.000,   0.000,   0.010,   0.180,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.493
