System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:38:30:389, 57082437791778,    0.109,   34.000, 2600,   9.630,   1.050,   0.292,   7.552,   0.824,   0.229, 45,  0,   0.000,   0.000,   0.000,   0.013,   0.001,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:30:498, 57082744630408,    0.219,   19.000, 1400,  11.676,   2.328,   0.647,   9.573,   1.871,   0.520, 42,  0,   0.000,   0.000,   0.000,   0.019,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:30:607, 57083050325985,    0.328,    4.000, 1300,   4.471,   2.816,   0.782,   2.842,   2.181,   0.606, 41,  0,   0.000,   0.000,   0.000,   0.000,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:30:716, 57083356778744,    0.437,    4.000, 1300,   2.642,   3.105,   0.862,   1.206,   2.313,   0.643, 39,  0,   0.000,   0.000,   0.000,   0.084,   0.013,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:30:824, 57083659148125,    0.545,    3.000, 1100,   2.854,   3.413,   0.948,   0.498,   2.367,   0.657, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:30:933, 57083964097500,    0.654,    2.000, 1200,   1.311,   3.555,   0.988,   0.306,   2.400,   0.667, 40,  0,   0.000,   0.000,   0.000,   0.022,   0.016,   0.005,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:31:042, 57084269593388,    0.763,    7.000, 1200,   3.272,   3.912,   1.087,   1.241,   2.536,   0.704, 40,  0,   0.000,   0.000,   0.000,   0.178,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:31:150, 57084573333921,    0.871,    2.000, 1200,   1.837,   4.111,   1.142,   0.428,   2.582,   0.717, 40,  0,   0.000,   0.000,   0.000,   0.038,   0.040,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:31:259, 57084876969640,    0.979,    2.000, 1200,   1.621,   4.286,   1.191,   0.393,   2.625,   0.729, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.041,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:31:369, 57085185884019,    1.089,    2.000, 1200,   3.499,   4.672,   1.298,   0.880,   2.721,   0.756, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.042,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:38:31:370, 57085188289763,    1.090,   14.000, 1200,   0.000,   4.672,   1.298,   0.000,   2.721,   0.756, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.042,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.090260
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 4.671997
Cumulative Processor Energy_0 (mWh) = 1.297777
Average Processor Power_0 (Watt) = 4.285213

Cumulative IA Energy_0 (Joules) = 2.721436
Cumulative IA Energy_0 (mWh) = 0.755954
Average IA Power_0 (Watt) = 2.496134

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.041504
Cumulative GT Energy_0 (mWh) = 0.011529
Average GT Power_0 (Watt) = 0.038068
