System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:26:36:722, 55081889993263,    1.011,   22.000, 4100,  15.665,  15.841,   4.400,  13.292,  13.441,   3.734, 66,  0,   0.000,   0.000,   0.000,   0.037,   0.037,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  87.218
02:26:37:742, 55084751175039,    2.032,   16.000, 1200,   9.180,  25.211,   7.003,   7.202,  20.792,   5.776, 40,  0,   0.000,   0.000,   0.000,   0.050,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  84.002
02:26:38:752, 55087580775754,    3.041,    4.000, 1300,   3.046,  28.285,   7.857,   1.617,  22.425,   6.229, 39,  0,   0.000,   0.000,   0.000,   0.026,   0.115,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.187
02:26:39:770, 55090433930153,    4.059,    2.000, 1200,   1.583,  29.896,   8.305,   0.431,  22.864,   6.351, 40,  0,   0.000,   0.000,   0.000,   0.029,   0.145,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.290
02:26:40:778, 55093259740803,    5.067,    5.000, 1200,   3.719,  33.646,   9.346,   2.348,  25.231,   7.008, 40,  0,   0.000,   0.000,   0.000,   0.035,   0.181,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.291
02:26:41:784, 55096080341189,    6.073,    2.000, 1200,   2.090,  35.748,   9.930,   0.621,  25.856,   7.182, 39,  0,   0.000,   0.000,   0.000,   0.034,   0.215,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  77.894
02:26:42:794, 55098910520257,    7.083,    5.000, 4100,   3.792,  39.577,  10.994,   2.340,  28.219,   7.838, 42,  0,   0.000,   0.000,   0.000,   0.060,   0.275,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  83.507
02:26:43:803, 55101738877183,    8.092,    2.000, 1200,   1.733,  41.326,  11.479,   0.515,  28.738,   7.983, 40,  0,   0.000,   0.000,   0.000,   0.025,   0.301,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.061
02:26:44:813, 55104571079672,    9.102,   10.000, 1200,   5.634,  47.018,  13.061,   3.880,  32.658,   9.072, 39,  0,   0.000,   0.000,   0.000,   0.037,   0.339,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  81.025
02:26:45:822, 55107398875792,   10.111,    4.000, 1200,   2.692,  49.734,  13.815,   1.280,  33.949,   9.430, 40,  0,   0.000,   0.000,   0.000,   0.028,   0.367,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  78.251
02:26:46:832, 55110230208772,   11.121,    5.000, 1200,   3.163,  52.929,  14.702,   1.513,  35.477,   9.855, 40,  0,   0.000,   0.000,   0.000,   0.034,   0.401,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.495
02:26:47:841, 55113059824223,   12.131,    2.000, 1200,   1.573,  54.516,  15.143,   0.371,  35.851,   9.959, 40,  0,   0.000,   0.000,   0.000,   0.029,   0.430,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.623
02:26:48:849, 55115885217330,   13.139,    4.000, 1200,   2.578,  57.115,  15.865,   1.253,  37.115,  10.310, 40,  0,   0.000,   0.000,   0.000,   0.052,   0.483,   0.134,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  78.460
02:26:49:865, 55118732287232,   14.154,   12.000, 1100,   5.435,  62.634,  17.398,   3.695,  40.868,  11.352, 39,  0,   0.000,   0.000,   0.000,   0.045,   0.528,   0.147,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.646
02:26:50:875, 55121564768979,   15.165,    4.000, 1200,   2.956,  65.621,  18.228,   1.623,  42.508,  11.808, 40,  0,   0.000,   0.000,   0.000,   0.022,   0.551,   0.153,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.110
02:26:51:886, 55124398372876,   16.175,    2.000, 1200,   1.885,  67.527,  18.757,   0.489,  43.002,  11.945, 39,  0,   0.000,   0.000,   0.000,   0.032,   0.583,   0.162,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.404
02:26:52:898, 55127235310416,   17.188,    4.000, 1400,   3.172,  70.737,  19.649,   1.719,  44.742,  12.428, 41,  0,   0.000,   0.000,   0.000,   0.028,   0.612,   0.170,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.603
02:26:53:908, 55130065029301,   18.197,    2.000, 1200,   1.709,  72.462,  20.128,   0.504,  45.251,  12.570, 39,  0,   0.000,   0.000,   0.000,   0.019,   0.631,   0.175,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.930
02:26:54:917, 55132895470351,   19.207,    4.000, 4100,   2.525,  75.012,  20.837,   0.777,  46.035,  12.788, 47,  0,   0.000,   0.000,   0.000,   0.045,   0.677,   0.188,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.153
02:26:55:924, 55135718209171,   20.214,    3.000, 1200,   2.799,  77.831,  21.620,   1.514,  47.560,  13.211, 40,  0,   0.000,   0.000,   0.000,   0.047,   0.724,   0.201,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  71.246
02:26:56:933, 55138545661515,   21.222,    2.000, 1200,   1.912,  79.759,  22.155,   0.465,  48.028,  13.341, 39,  0,   0.000,   0.000,   0.000,   0.033,   0.757,   0.210,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.542
02:26:57:939, 55141366541239,   22.229,    4.000, 1200,   3.224,  83.003,  23.057,   1.943,  49.984,  13.884, 38,  0,   0.000,   0.000,   0.000,   0.027,   0.784,   0.218,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.258
02:26:58:947, 55144191730986,   23.236,    2.000, 1200,   1.815,  84.833,  23.565,   0.496,  50.483,  14.023, 39,  0,   0.000,   0.000,   0.000,   0.039,   0.824,   0.229,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  75.523
02:26:59:955, 55147018655500,   24.245,    4.000, 1200,   2.649,  87.504,  24.307,   1.347,  51.841,  14.400, 39,  0,   0.000,   0.000,   0.000,   0.047,   0.871,   0.242,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.792
