System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:58:02:820, 50277491029169,    1.010,   22.000, 1500,  14.166,  14.314,   3.976,  11.632,  11.754,   3.265, 66,  0,   0.000,   0.000,   0.000,   0.053,   0.054,   0.015,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  80.695
01:58:03:842, 50280354238820,    2.032,   17.000, 1200,  10.012,  24.540,   6.817,   8.031,  19.957,   5.544, 39,  0,   0.000,   0.000,   0.000,   0.052,   0.106,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  80.537
01:58:04:848, 50283176183276,    3.039,    4.000, 1200,   3.271,  27.833,   7.732,   1.972,  21.942,   6.095, 40,  0,   0.000,   0.000,   0.000,   0.027,   0.134,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.189
01:58:05:855, 50285998457040,    4.045,    2.000, 1200,   1.649,  29.493,   8.193,   0.444,  22.389,   6.219, 39,  0,   0.000,   0.000,   0.000,   0.029,   0.163,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  72.218
01:58:06:871, 50288845455762,    5.061,    6.000, 4100,   5.612,  35.193,   9.776,   4.022,  26.474,   7.354, 73,  0,   0.000,   0.000,   0.000,   0.017,   0.180,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  88.164
01:58:07:944, 50291854930489,    6.135,   10.000, 1200,   9.761,  45.672,  12.687,   7.884,  34.938,   9.705, 40,  0,   0.000,   0.000,   0.000,   0.020,   0.201,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  77.999
01:58:08:953, 50294682749010,    7.143,    4.000, 1300,   3.132,  48.831,  13.564,   1.736,  36.689,  10.191, 40,  0,   0.000,   0.000,   0.000,   0.060,   0.261,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,   17,  77.339
01:58:09:961, 50297508337398,    8.151,    3.000, 1300,   2.125,  50.974,  14.159,   0.779,  37.475,  10.410, 39,  0,   0.000,   0.000,   0.000,   0.035,   0.297,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.227
01:58:10:976, 50300352319031,    9.166,   10.000, 2100,   4.534,  55.573,  15.437,   2.685,  40.199,  11.166, 41,  0,   0.000,   0.000,   0.000,   0.030,   0.327,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.943
01:58:11:987, 50303187438025,   10.177,    4.000, 1200,   2.776,  58.381,  16.217,   1.236,  41.449,  11.514, 41,  0,   0.000,   0.000,   0.000,   0.042,   0.369,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  87.356
01:58:12:998, 50306020483902,   11.188,    5.000, 1200,   3.021,  61.434,  17.065,   1.566,  43.032,  11.953, 40,  0,   0.000,   0.000,   0.000,   0.019,   0.388,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  90.446
01:58:14:004, 50308841474231,   12.194,    2.000, 1200,   1.823,  63.268,  17.575,   0.468,  43.503,  12.084, 40,  0,   0.000,   0.000,   0.000,   0.030,   0.419,   0.116,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.491
01:58:15:013, 50311670553042,   13.204,    3.000, 4100,   2.969,  66.265,  18.407,   1.617,  45.135,  12.537, 42,  0,   0.000,   0.000,   0.000,   0.026,   0.445,   0.124,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.317
01:58:16:020, 50314493506266,   14.211,    7.000, 1500,   3.162,  69.449,  19.292,   1.912,  47.060,  13.072, 56,  0,   0.000,   0.000,   0.000,   0.029,   0.475,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.879
01:58:17:043, 50317359798529,   15.233,    4.000, 4100,   2.678,  72.188,  20.052,   1.312,  48.402,  13.445, 45,  0,   0.000,   0.000,   0.000,   0.036,   0.511,   0.142,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  87.725
01:58:18:053, 50320191463466,   16.243,    3.000, 1200,   2.849,  75.066,  20.852,   1.268,  49.682,  13.801, 40,  0,   0.000,   0.000,   0.000,   0.047,   0.558,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.795
01:58:19:062, 50323018499859,   17.252,    2.000, 1100,   1.570,  76.649,  21.292,   0.376,  50.062,  13.906, 39,  0,   0.000,   0.000,   0.000,   0.034,   0.592,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  90.393
01:58:20:068, 50325839367180,   18.258,    4.000, 1200,   3.001,  79.669,  22.130,   1.745,  51.818,  14.394, 40,  0,   0.000,   0.000,   0.000,   0.030,   0.623,   0.173,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  91.568
01:58:21:079, 50328672691642,   19.269,    2.000, 1200,   1.572,  81.258,  22.572,   0.406,  52.228,  14.508, 40,  0,   0.000,   0.000,   0.000,   0.042,   0.665,   0.185,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  71.390
01:58:22:084, 50331489917010,   20.274,    4.000, 1200,   2.691,  83.963,  23.323,   1.363,  53.598,  14.888, 40,  0,   0.000,   0.000,   0.000,   0.035,   0.701,   0.195,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  85.761
01:58:23:092, 50334316443945,   21.282,    2.000, 1200,   1.724,  85.701,  23.806,   0.402,  54.003,  15.001, 40,  0,   0.000,   0.000,   0.000,   0.025,   0.726,   0.202,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  92.740
01:58:24:099, 50337140228682,   22.289,    4.000, 1200,   3.017,  88.741,  24.650,   1.574,  55.589,  15.441, 40,  0,   0.000,   0.000,   0.000,   0.022,   0.748,   0.208,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.341
01:58:25:107, 50339966825392,   23.298,    2.000, 1200,   1.604,  90.358,  25.099,   0.412,  56.004,  15.557, 39,  0,   0.000,   0.000,   0.000,   0.031,   0.779,   0.216,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.628
01:58:26:117, 50342796659345,   24.307,    4.000, 1300,   2.714,  93.098,  25.860,   1.415,  57.432,  15.953, 39,  0,   0.000,   0.000,   0.000,   0.039,   0.819,   0.227,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.746
01:58:27:125, 50345621443750,   25.315,    2.000, 1200,   1.781,  94.893,  26.359,   0.471,  57.907,  16.085, 39,  0,   0.000,   0.000,   0.000,   0.027,   0.846,   0.235,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.430
01:58:28:129, 50348436405602,   26.319,    4.000, 1200,   3.094,  98.000,  27.222,   1.625,  59.539,  16.539, 39,  0,   0.000,   0.000,   0.000,   0.028,   0.874,   0.243,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  85.910
01:58:29:136, 50351259288605,   27.326,    2.000, 1200,   1.705,  99.717,  27.699,   0.432,  59.974,  16.659, 39,  0,   0.000,   0.000,   0.000,   0.033,   0.907,   0.252,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.541
01:58:30:146, 50354091315900,   28.337,    4.000, 1300,   2.943, 102.690,  28.525,   1.638,  61.628,  17.119, 39,  0,   0.000,   0.000,   0.000,   0.037,   0.944,   0.262,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  84.349
01:58:31:155, 50356918557346,   29.345,    2.000, 1200,   1.680, 104.385,  28.996,   0.473,  62.106,  17.252, 39,  0,   0.000,   0.000,   0.000,   0.037,   0.982,   0.273,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.559
01:58:32:167, 50359756603619,   30.358,    4.000, 1300,   2.640, 107.058,  29.738,   1.314,  63.436,  17.621, 40,  0,   0.000,   0.000,   0.000,   0.026,   1.009,   0.280,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.445
01:58:33:175, 50362580967309,   31.365,    2.000, 1200,   1.927, 108.999,  30.278,   0.473,  63.912,  17.753, 40,  0,   0.000,   0.000,   0.000,   0.017,   1.026,   0.285,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  87.406
