System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:49:37:732, 48861630884387,    1.009,   20.000, 1500,  13.611,  13.732,   3.814,  11.293,  11.393,   3.165, 67,  0,   0.000,   0.000,   0.000,   0.048,   0.049,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  81.907
01:49:38:816, 48864672228281,    2.094,   18.000, 1300,  10.490,  25.114,   6.976,   8.399,  20.506,   5.696, 41,  0,   0.000,   0.000,   0.000,   0.043,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  82.440
01:49:39:841, 48867542968713,    3.118,    3.000, 1200,   1.972,  27.133,   7.537,   0.578,  21.097,   5.860, 40,  0,   0.000,   0.000,   0.000,   0.023,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.129
01:49:40:852, 48870378205418,    4.129,    9.000, 4700,   4.694,  31.881,   8.856,   2.726,  23.854,   6.626, 48,  0,   0.000,   0.000,   0.000,   0.024,   0.143,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.211
01:49:41:861, 48873205521110,    5.138,    4.000, 1200,   2.520,  34.423,   9.562,   1.120,  24.984,   6.940, 39,  0,   0.000,   0.000,   0.000,   0.039,   0.182,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  79.588
01:49:42:869, 48876031919592,    6.146,    2.000, 1200,   1.930,  36.369,  10.102,   0.614,  25.603,   7.112, 40,  0,   0.000,   0.000,   0.000,   0.034,   0.216,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.664
01:49:43:877, 48878858672306,    7.155,    5.000, 1400,   3.622,  40.021,  11.117,   2.191,  27.813,   7.726, 41,  0,   0.000,   0.000,   0.000,   0.035,   0.252,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.181
01:49:44:885, 48881683560687,    8.162,    4.000, 3500,   2.451,  42.491,  11.803,   1.023,  28.844,   8.012, 44,  0,   0.000,   0.000,   0.000,   0.058,   0.310,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,    9,  88.102
01:49:45:893, 48884508446227,    9.170,    9.000, 1300,   5.113,  47.643,  13.234,   3.228,  32.097,   8.916, 41,  0,   0.000,   0.000,   0.000,   0.042,   0.352,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  73.397
01:49:46:916, 48887376436998,   10.193,    3.000, 1200,   2.993,  50.706,  14.085,   1.542,  33.674,   9.354, 40,  0,   0.000,   0.000,   0.000,   0.028,   0.381,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.926
01:49:47:926, 48890208555664,   11.204,    4.000, 1200,   3.131,  53.869,  14.964,   1.659,  35.350,   9.819, 38,  0,   0.000,   0.000,   0.000,   0.038,   0.420,   0.117,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.926
01:49:48:934, 48893033785020,   12.211,    2.000, 1200,   1.829,  55.713,  15.476,   0.461,  35.815,   9.949, 39,  0,   0.000,   0.000,   0.000,   0.046,   0.466,   0.129,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  78.455
