System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:53:29:965, 809812918411496,    1.016,   30.000, 4100,  22.235,  22.589,   6.275,  19.211,  19.517,   5.421, 74,  0,   0.000,   0.000,   0.000,   0.221,   0.224,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:30:983, 809815771366183,    2.034,   26.000, 1300,  18.905,  41.829,  11.619,  15.674,  35.470,   9.853, 46,  0,   0.000,   0.000,   0.000,   0.404,   0.635,   0.176,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:31:987, 809818587273534,    3.038,    4.000, 4100,   2.278,  44.118,  12.255,   0.830,  36.303,  10.084, 53,  0,   0.000,   0.000,   0.000,   0.030,   0.666,   0.185,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:32:994, 809821410854810,    4.045,    6.000, 1200,   4.243,  48.392,  13.442,   2.588,  38.910,  10.808, 44,  0,   0.000,   0.000,   0.000,   0.133,   0.800,   0.222,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:34:005, 809824242926214,    5.056,    5.000, 1200,   3.496,  51.924,  14.423,   1.577,  40.503,  11.251, 44,  0,   0.000,   0.000,   0.000,   0.095,   0.896,   0.249,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:35:023, 809827096701133,    6.074,    4.000, 1100,   2.864,  54.839,  15.233,   1.509,  42.039,  11.678, 43,  0,   0.000,   0.000,   0.000,   0.018,   0.915,   0.254,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:36:025, 809829905494311,    7.076,    2.000, 1200,   1.717,  56.560,  15.711,   0.353,  42.393,  11.776, 45,  0,   0.000,   0.000,   0.000,   0.013,   0.928,   0.258,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:37:030, 809832725509230,    8.082,    4.000, 1200,   3.383,  59.963,  16.657,   1.989,  44.393,  12.331, 42,  0,   0.000,   0.000,   0.000,   0.006,   0.934,   0.260,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:38:047, 809835573880471,    9.098,    2.000, 1200,   1.555,  61.543,  17.095,   0.408,  44.808,  12.447, 42,  0,   0.000,   0.000,   0.000,   0.012,   0.946,   0.263,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:39:051, 809838388270547,   10.102,    4.000, 1200,   2.950,  64.505,  17.918,   1.454,  46.267,  12.852, 43,  0,   0.000,   0.000,   0.000,   0.010,   0.957,   0.266,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:40:053, 809841197928922,   11.104,    2.000, 1200,   1.695,  66.204,  18.390,   0.416,  46.684,  12.968, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.964,   0.268,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:41:059, 809844017538767,   12.110,    4.000, 1200,   2.875,  69.096,  19.193,   1.443,  48.135,  13.371, 42,  0,   0.000,   0.000,   0.000,   0.008,   0.973,   0.270,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:42:062, 809846830254779,   13.113,    3.000, 1200,   1.875,  70.977,  19.716,   0.539,  48.677,  13.521, 42,  0,   0.000,   0.000,   0.000,   0.015,   0.988,   0.274,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:43:067, 809849648353333,   14.119,    5.000, 1200,   3.815,  74.813,  20.781,   2.091,  50.779,  14.105, 41,  0,   0.000,   0.000,   0.000,   0.013,   1.001,   0.278,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:44:073, 809852467056417,   15.124,    1.000, 1200,   1.505,  76.326,  21.202,   0.343,  51.124,  14.201, 41,  0,   0.000,   0.000,   0.000,   0.005,   1.006,   0.279,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:45:078, 809855285571457,   16.130,    4.000, 1200,   2.824,  79.166,  21.991,   1.610,  52.742,  14.651, 41,  0,   0.000,   0.000,   0.000,   0.007,   1.013,   0.281,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:46:080, 809858093015433,   17.131,    2.000, 1200,   1.883,  81.052,  22.514,   0.392,  53.135,  14.760, 41,  0,   0.000,   0.000,   0.000,   0.011,   1.024,   0.284,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:47:083, 809860906443275,   18.135,    4.000, 1400,   2.474,  83.534,  23.204,   1.328,  54.468,  15.130, 44,  0,   0.000,   0.000,   0.000,   0.009,   1.033,   0.287,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:48:103, 809863765726435,   19.155,    1.000, 1200,   1.583,  85.149,  23.653,   0.381,  54.857,  15.238, 40,  0,   0.000,   0.000,   0.000,   0.009,   1.043,   0.290,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
21:53:49:105, 809866572675480,   20.156,    1.000, 1200,   1.314,  86.465,  24.018,   0.285,  55.142,  15.317, 41,  0,   0.000,   0.000,   0.000,   0.008,   1.051,   0.292,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
