System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:41:06:401, 827911986692401,    1.011,   19.000, 4100,  18.322,  18.523,   5.145,  15.764,  15.937,   4.427, 89,  0,   0.000,   0.000,   0.000,   0.038,   0.038,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:07:456, 827914945124599,    2.066,   12.000, 1300,  13.807,  33.095,   9.193,  11.888,  28.483,   7.912, 41,  0,   0.000,   0.000,   0.000,   0.016,   0.055,   0.015,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:08:459, 827917757536008,    3.070,    4.000, 1300,   2.287,  35.389,   9.830,   0.956,  29.442,   8.178, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.065,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:09:464, 827920573972666,    4.074,    4.000, 4300,   3.168,  38.572,  10.714,   1.596,  31.046,   8.624, 43,  0,   0.000,   0.000,   0.000,   0.013,   0.078,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:10:468, 827923387477814,    5.078,    3.000, 1200,   2.457,  41.038,  11.400,   0.944,  31.993,   8.887, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.088,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:11:483, 827926232410437,    6.093,    2.000, 1300,   1.422,  42.481,  11.800,   0.389,  32.387,   8.997, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.097,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:12:487, 827929046716980,    7.097,    3.000, 1200,   2.244,  44.734,  12.426,   0.843,  33.234,   9.232, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:13:491, 827931863608843,    8.102,    1.000, 1200,   1.530,  46.271,  12.853,   0.318,  33.553,   9.320, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.121,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:14:497, 827934682397765,    9.107,    4.000, 1200,   2.935,  49.222,  13.673,   1.721,  35.284,   9.801, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.133,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:15:512, 827937527409275,   10.122,    1.000, 1200,   1.426,  50.669,  14.075,   0.267,  35.555,   9.876, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.143,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:16:516, 827940342367398,   11.126,    4.000, 1200,   2.826,  53.507,  14.863,   1.613,  37.175,  10.326, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:17:534, 827943196711436,   12.145,    2.000, 1100,   1.598,  55.135,  15.315,   0.360,  37.541,  10.428, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.155,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:18:539, 827946012550856,   13.149,    4.000, 1200,   2.956,  58.104,  16.140,   1.694,  39.243,  10.901, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.161,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:19:554, 827948857516996,   14.164,    1.000, 1200,   1.284,  59.408,  16.502,   0.280,  39.527,  10.980, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.167,   0.047,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:20:557, 827951671112916,   15.168,    4.000, 1200,   3.061,  62.480,  17.356,   1.756,  41.290,  11.469, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.179,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:21:561, 827954483578659,   16.171,    1.000, 1200,   1.313,  63.797,  17.721,   0.292,  41.583,  11.551, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.185,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:22:566, 827957302228379,   17.177,    3.000, 1200,   3.010,  66.823,  18.562,   1.788,  43.381,  12.050, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.191,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:23:572, 827960120262340,   18.182,    2.000, 1200,   1.596,  68.428,  19.008,   0.419,  43.802,  12.167, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.200,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:24:574, 827962930532614,   19.184,    4.000, 1200,   2.950,  71.386,  19.829,   1.543,  45.349,  12.597, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.213,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:25:579, 827965747312753,   20.189,    1.000, 1100,   1.398,  72.791,  20.220,   0.304,  45.654,  12.682, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.222,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:41:26:586, 827968569777678,   21.196,    4.000, 1300,   3.032,  75.844,  21.068,   1.746,  47.412,  13.170, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.231,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
