System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:21:02:294, 44052934736983,    1.008,   21.000, 1500,  13.799,  13.914,   3.865,  11.390,  11.485,   3.190, 65,  0,   0.000,   0.000,   0.000,   0.037,   0.037,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  88.913
01:21:03:316, 44055801108058,    2.031,   20.000, 1200,  10.446,  24.596,   6.832,   8.371,  20.044,   5.568, 41,  0,   0.000,   0.000,   0.000,   0.044,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  76.561
01:21:04:323, 44058622913734,    3.038,    2.000, 1200,   1.603,  26.209,   7.280,   0.412,  20.459,   5.683, 40,  0,   0.000,   0.000,   0.000,   0.041,   0.123,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.003
01:21:05:335, 44061459294634,    4.049,   14.000, 1700,   6.610,  32.898,   9.138,   4.438,  24.950,   6.931, 44,  0,   0.000,   0.000,   0.000,   0.035,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  88.934
01:21:06:346, 44064292736086,    5.060,   10.000, 4100,   6.349,  39.316,  10.921,   4.218,  29.213,   8.115, 71,  0,   0.000,   0.000,   0.000,   0.029,   0.188,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.864
01:21:07:356, 44067124641313,    6.070,   15.000, 1200,  13.441,  52.894,  14.693,  11.438,  40.769,  11.325, 42,  0,   0.000,   0.000,   0.000,   0.019,   0.207,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  76.111
01:21:08:367, 44069960187855,    7.082,    3.000, 1200,   1.684,  54.597,  15.166,   0.474,  41.248,  11.458, 40,  0,   0.000,   0.000,   0.000,   0.029,   0.236,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.066
01:21:09:377, 44072789293294,    8.091,    7.000, 4100,   4.225,  58.862,  16.351,   2.836,  44.111,  12.253, 47,  0,   0.000,   0.000,   0.000,   0.053,   0.290,   0.081,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  78.447
01:21:10:383, 44075611046300,    9.098,    3.000, 1200,   2.024,  60.899,  16.917,   0.613,  44.727,  12.424, 41,  0,   0.000,   0.000,   0.000,   0.027,   0.317,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  83.333
01:21:11:394, 44078444208506,   10.108,   10.000, 1200,   5.698,  66.658,  18.516,   3.823,  48.591,  13.498, 41,  0,   0.000,   0.000,   0.000,   0.033,   0.351,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  84.662
01:21:12:400, 44081265587315,   11.115,    4.000, 1200,   2.858,  69.535,  19.315,   1.598,  50.200,  13.944, 40,  0,   0.000,   0.000,   0.000,   0.024,   0.375,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  91.331
01:21:13:406, 44084085427782,   12.121,    4.000, 1200,   3.254,  72.808,  20.225,   1.754,  51.964,  14.435, 41,  0,   0.000,   0.000,   0.000,   0.037,   0.412,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.320
01:21:14:418, 44086922753502,   13.133,    2.000, 1200,   1.748,  74.578,  20.716,   0.540,  52.511,  14.586, 39,  0,   0.000,   0.000,   0.000,   0.062,   0.475,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.521
01:21:15:428, 44089752057502,   14.142,    4.000, 1600,   2.955,  77.560,  21.544,   1.587,  54.112,  15.031, 42,  0,   0.000,   0.000,   0.000,   0.042,   0.517,   0.144,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  86.229
01:21:16:443, 44092599525250,   15.158,    9.000, 1300,   4.251,  81.878,  22.744,   2.535,  56.687,  15.746, 41,  0,   0.000,   0.000,   0.000,   0.040,   0.558,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  76.696
01:21:17:453, 44095428287652,   16.167,    3.000, 4500,   2.472,  84.372,  23.437,   1.038,  57.734,  16.037, 47,  0,   0.000,   0.000,   0.000,   0.036,   0.594,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  81.711
01:21:18:475, 44098295538410,   17.190,    4.000, 3500,   2.902,  87.340,  24.261,   1.586,  59.356,  16.488, 42,  0,   0.000,   0.000,   0.000,   0.048,   0.644,   0.179,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.141
01:21:19:484, 44101122309585,   18.199,    5.000, 1200,   3.944,  91.317,  25.366,   1.594,  60.964,  16.934, 40,  0,   0.000,   0.000,   0.000,   0.059,   0.703,   0.195,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  84.373
01:21:20:496, 44103959859418,   19.211,    4.000, 1200,   2.529,  93.877,  26.077,   1.256,  62.235,  17.288, 40,  0,   0.000,   0.000,   0.000,   0.020,   0.723,   0.201,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  90.250
01:21:21:506, 44106789435459,   20.220,    3.000, 1200,   1.974,  95.870,  26.631,   0.500,  62.740,  17.428, 40,  0,   0.000,   0.000,   0.000,   0.034,   0.757,   0.210,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  79.769
01:21:22:517, 44109624318138,   21.232,    4.000, 1200,   2.973,  98.876,  27.466,   1.637,  64.396,  17.888, 40,  0,   0.000,   0.000,   0.000,   0.030,   0.788,   0.219,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  89.520
01:21:23:523, 44112445110898,   22.238,    3.000, 1100,   2.017, 100.906,  28.030,   0.588,  64.988,  18.052, 40,  0,   0.000,   0.000,   0.000,   0.024,   0.812,   0.225,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.618
01:21:24:528, 44115260867460,   23.242,    5.000, 1300,   3.148, 104.068,  28.908,   1.669,  66.665,  18.518, 40,  0,   0.000,   0.000,   0.000,   0.029,   0.841,   0.233,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.967
