System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:23:14:699, 54515580863233,    1.046,   24.000, 3000,  13.602,  14.228,   3.952,  11.194,  11.709,   3.252, 49,  0,   0.000,   0.000,   0.000,   0.041,   0.043,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  77.291
02:23:15:706, 54518403332408,    2.053,   19.000, 1100,   9.799,  24.094,   6.693,   7.854,  19.617,   5.449, 40,  0,   0.000,   0.000,   0.000,   0.040,   0.083,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  86.755
02:23:16:711, 54521222280720,    3.059,    5.000, 1100,   2.986,  27.097,   7.527,   1.254,  20.878,   5.799, 39,  0,   0.000,   0.000,   0.000,   0.026,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  78.881
02:23:17:719, 54524045289262,    4.066,    2.000, 1200,   1.889,  28.999,   8.055,   0.511,  21.393,   5.942, 39,  0,   0.000,   0.000,   0.000,   0.026,   0.135,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.162
02:23:18:732, 54526886344896,    5.079,    6.000, 4100,   5.118,  34.186,   9.496,   3.607,  25.048,   6.958, 66,  0,   0.000,   0.000,   0.000,   0.017,   0.153,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.532
02:23:19:765, 54529781432424,    6.112,    6.000, 1200,   6.397,  40.793,  11.331,   4.747,  29.951,   8.320, 40,  0,   0.000,   0.000,   0.000,   0.033,   0.187,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  78.968
02:23:20:772, 54532604591324,    7.119,    4.000, 1200,   2.844,  43.658,  12.127,   1.508,  31.470,   8.742, 40,  0,   0.000,   0.000,   0.000,   0.035,   0.222,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  83.367
02:23:21:782, 54535435335477,    8.129,    4.000, 1200,   2.344,  46.025,  12.785,   0.935,  32.414,   9.004, 40,  0,   0.000,   0.000,   0.000,   0.039,   0.261,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  66.952
02:23:22:789, 54538257255959,    9.136,   11.000, 1200,   5.552,  51.614,  14.337,   3.746,  36.185,  10.051, 40,  0,   0.000,   0.000,   0.000,   0.026,   0.287,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.307
02:23:23:803, 54541101584622,   10.150,    4.000, 1200,   3.007,  54.664,  15.184,   1.470,  37.676,  10.466, 40,  0,   0.000,   0.000,   0.000,   0.047,   0.335,   0.093,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  75.369
02:23:24:812, 54543929576873,   11.159,    5.000, 2900,   3.684,  58.381,  16.217,   2.122,  39.817,  11.060, 42,  0,   0.000,   0.000,   0.000,   0.023,   0.358,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.498
02:23:25:821, 54546757155926,   12.168,    2.000, 1200,   1.675,  60.070,  16.686,   0.451,  40.272,  11.187, 40,  0,   0.000,   0.000,   0.000,   0.021,   0.379,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.438
02:23:26:829, 54549584085823,   13.176,    2.000, 1400,   1.716,  61.801,  17.167,   0.408,  40.683,  11.301, 40,  0,   0.000,   0.000,   0.000,   0.021,   0.400,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  76.849
02:23:27:841, 54552419371551,   14.188,   10.000, 1300,   5.643,  67.509,  18.752,   3.807,  44.533,  12.370, 40,  0,   0.000,   0.000,   0.000,   0.037,   0.437,   0.121,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.023
02:23:28:849, 54555246409463,   15.196,    3.000, 1200,   1.943,  69.468,  19.297,   0.493,  45.031,  12.508, 39,  0,   0.000,   0.000,   0.000,   0.054,   0.491,   0.136,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  62.960
02:23:29:858, 54558073645157,   16.205,    4.000, 1100,   2.750,  72.242,  20.067,   1.361,  46.403,  12.890, 40,  0,   0.000,   0.000,   0.000,   0.019,   0.510,   0.142,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  88.240
