Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.9199475065616798,0.9313835770528683,0.9495412844036697,0.9139072847682119,9.971651418909305e-09,6.691083333333334e-05,0.09536504745483398,0.0014470943941531846,0.3769845962524414,0.0012960433959960938,92256284.13135035,93403142.36082098,9.646589931152478,2.4402787692302748
NaiveBayes,0,0.8910761154855643,0.9072625698324023,0.9311926605504587,0.8845315904139434,1.4642712959904702e-09,6.10625e-05,0.010912895202636719,0.0,0.41781044006347656,0.0013647079467773438,608545778.3168644,619600051.1084982,81.65350247936652,2.1327282184480265
RandomForest,0,0.9133858267716536,0.9258426966292135,0.944954128440367,0.9074889867841409,9.277496648554763e-08,6.648e-05,0.9972069263458252,0.021038092966154803,0.47942638397216797,2.74727725982666,9845175.496926099,9979445.228616064,0.9159441261791809,1.9051638735524372
GradientBoosting,0,0.9173228346456693,0.9284903518728718,0.9380733944954128,0.9191011235955057,7.356587991891404e-08,7.165055555555556e-05,0.9003286361694336,0.001405480652656455,0.45265960693359375,0.17879486083984375,12469406.138508275,12621209.083562579,1.0188755503196474,2.026517985246788
SVM,0,0.868766404199475,0.8908296943231441,0.9357798165137615,0.85,3.707660297100337e-08,6.29963888888889e-05,0.45129871368408203,0.05644106176581595,0.42809104919433594,0.07274913787841797,23431661.333130065,24026734.461618245,1.9250362960432204,2.0293963301369806
KNN,0,0.8648293963254593,0.8861878453038674,0.9197247706422018,0.8550106609808102,1.3790221830996741e-09,6.187722222222222e-05,0.013996601104736328,0.022305591212795788,0.5873031616210938,0.39127159118652344,627132331.0996734,642620442.3426703,61.788529218912196,1.472543403203089
DecisionTree,0,0.8976377952755905,0.910958904109589,0.9151376146788991,0.9068181818181819,3.453852209751428e-09,6.151833333333334e-05,0.03501129150390625,0.0013141181525282973,0.3511800765991211,0.036187171936035156,259894674.34108683,263751558.77765548,25.63852279415171,2.55606127764549
LogisticRegression,10,0.9094488188976378,0.922384701912261,0.9403669724770642,0.9050772626931567,7.290052812786565e-08,6.199027777777778e-05,0.6838078498840332,0.0013119279556074168,0.35587024688720703,0.0012960433959960938,12475202.063042507,12652647.732461167,1.3299771552079593,2.555562952656414
NaiveBayes,10,0.8910761154855643,0.9070548712206047,0.9288990825688074,0.8862144420131292,1.5599193987102934e-09,6.64438888888889e-05,0.010085344314575195,0.0,0.35039424896240234,0.0013647079467773438,571232152.26523,581475473.6498164,88.35356411161827,2.5430671825358004
RandomForest,10,0.9186351706036745,0.9301801801801802,0.9472477064220184,0.9137168141592921,1.943756029707152e-07,6.718694444444445e-05,1.09922456741333,0.01049636230068257,0.4973735809326172,3.06191349029541,4726082.679944545,4785478.043354659,0.8357120081162174,1.8469721871458402
