Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
DecisionTree,0,0.8976377952755905,0.910958904109589,0.9151376146788992,0.906818181818182,2.36791059433734e-09,7.624416666666666e-05,0.0260863304138183,0.0012659338202689,0.3507814407348633,0.0361871719360351,379084327.5173547,384710008.1768589,34.410274693143386,2.558966042773245
DecisionTree,10,0.8805774278215223,0.8971751412429378,0.9105504587155964,0.8841870824053452,2.426944394711144e-09,6.909027777777778e-05,0.0250802040100097,0.001198350600996,0.3506317138671875,0.0335931777954101,362833787.9271143,369672722.2914886,35.11045713464192,2.511402685482888
DecisionTree,20,0.8622047244094488,0.8802736602052451,0.8853211009174312,0.8752834467120182,2.811747365720782e-09,6.977722222222222e-05,0.0259442329406738,0.0,0.3507156372070312,0.0357294082641601,306643738.66619605,313069968.85176766,33.23300119841799,2.458415402505934
DecisionTree,30,0.8530183727034121,0.873589164785553,0.8876146788990825,0.86,4.444029389687051e-09,6.873e-05,0.0279383659362792,0.0013829529128988,0.3506708145141601,0.0335931777954101,191947059.2797951,196575919.77515507,30.53214975596433,2.432533126217628
DecisionTree,40,0.8582677165354331,0.8761467889908257,0.8761467889908257,0.8761467889908257,2.5444038063055246e-09,6.902833333333332e-05,0.0261013507843017,0.0013138052672538,0.353856086730957,0.0392389297485351,337315843.65990955,344342665.5861638,32.88211876956286,2.425471113029035
DecisionTree,50,0.8398950131233596,0.8644444444444445,0.8922018348623854,0.8383620689655172,3.477795047881762e-09,7.044333333333334e-05,0.0270290374755859,0.0,0.3537492752075195,0.0404596328735351,241502159.14388588,248561066.0038624,31.073804011038032,2.3742663857916115
DecisionTree,60,0.8438320209973753,0.8646188850967008,0.8715596330275229,0.8577878103837472,2.546362059100391e-09,6.903527777777778e-05,0.0270857810974121,0.001431763015707,0.3539075851440429,0.0422906875610351,331387289.55751646,339550647.17001146,31.154058949328164,2.384328724273964
DecisionTree,70,0.8136482939632546,0.8386363636363636,0.8463302752293578,0.831081081081081,3.322791435176643e-09,6.848055555555556e-05,0.0260653495788574,0.0013122408408818,0.3536586761474609,0.0461053848266601,244868903.10044396,252389107.1700023,31.215706181176063,2.3006597853801756
DecisionTree,80,0.7821522309711286,0.8096330275229358,0.8096330275229358,0.8096330275229358,2.8266855129283723e-09,6.832194444444444e-05,0.0289897918701171,0.0021636016725555,0.3522024154663086,0.0494623184204101,276702953.8283653,286424868.9215438,26.980263758891446,2.220746356709608
DecisionTree,90,0.8241469816272966,0.8452655889145496,0.8394495412844036,0.8511627906976744,2.895455678306734e-09,6.98861111111111e-05,0.0260729789733886,0.0,0.350809097290039,0.0522089004516601,284634638.9626861,291928346.632079,31.60923738205981,2.349274827801615
DecisionTree,100,0.7664041994750657,0.8,0.8165137614678899,0.7841409691629956,2.6597617879770693e-09,6.959194444444445e-05,0.0280730724334716,0.0,0.350712776184082,0.0563287734985351,288147684.1044357,300778815.46243834,27.30033206345016,2.1852759623242113
GradientBoosting,0,0.9173228346456692,0.9284903518728718,0.9380733944954128,0.9191011235955056,7.827734684907251e-08,7.490555555555554e-05,0.8210248947143555,0.0026222914848427,0.4515008926391601,0.1787948608398437,11718880.002593476,11861546.018710945,1.1172899147775746,2.03171876202423
GradientBoosting,10,0.9068241469816272,0.9194097616345064,0.9288990825688074,0.9101123595505618,8.491057696277953e-08,7.165083333333335e-05,0.8721451759338379,0.0013041058237471,0.4428319931030273,0.1796646118164062,10679754.859976197,10827976.849545242,1.0397628422477454,2.047783721829352
GradientBoosting,20,0.9068241469816272,0.9195922989807476,0.9311926605504588,0.9082774049217002,8.460746150675816e-08,9.76627777777778e-05,0.8681159019470215,0.0026257332228613,0.437570571899414,0.1795883178710937,10718016.246228984,10868926.718801197,1.0445887985092663,2.072406613281302
GradientBoosting,30,0.8976377952755905,0.9121621621621622,0.9288990825688074,0.8960176991150443,7.301084764854964e-08,7.243305555555556e-05,0.8436429500579834,0.0013125537261562,0.4333400726318359,0.1778335571289062,12294581.205200158,12493515.573918724,1.0640020108197386,2.07143961975153
GradientBoosting,40,0.9081364829396326,0.9211711711711712,0.9380733944954128,0.9048672566371682,7.141692149983786e-08,7.044888888888889e-05,0.849074125289917,0.001442401115037,0.4296255111694336,0.1822128295898437,12715984.725576475,12898500.128898198,1.0695608968528498,2.1137862145748745
GradientBoosting,50,0.8976377952755905,0.91156462585034,0.9220183486238532,0.9013452914798208,1.0401172232458047e-07,7.505861111111111e-05,0.9430406093597412,0.0013134923819794,0.4327068328857422,0.1809463500976562,8630159.901346592,8764056.641670624,0.9518548685671384,2.074471043799336
GradientBoosting,60,0.8805774278215223,0.8978675645342312,0.9174311926605504,0.8791208791208791,1.1808567723087176e-07,7.117166666666667e-05,0.8840889930725098,0.001274381722678,0.4362506866455078,0.1792221069335937,7457106.132354114,7603526.40209525,0.9960280409794678,2.0185124167771664
GradientBoosting,70,0.8792650918635171,0.8975501113585747,0.9243119266055044,0.8722943722943723,7.816060373797328e-08,7.45775e-05,0.843203067779541,0.0026263589934101,0.433786392211914,0.1834793090820312,11249466.480724458,11483408.1165434,1.0427678995273824,2.026954066908528
GradientBoosting,80,0.868766404199475,0.8878923766816144,0.908256880733945,0.868421052631579,7.383585848275724e-08,7.434e-05,0.8400800228118896,0.0014273826218652,0.4386854171752929,0.1825332641601562,11766185.45584266,12025219.11340629,1.0341472009911237,1.9803858760418456
GradientBoosting,90,0.8530183727034121,0.874439461883408,0.8944954128440367,0.8552631578947368,9.074051647816389e-08,7.541138888888889e-05,0.8670599460601807,0.0026257332228613,0.4343547821044922,0.1828994750976562,9400633.87129481,9636703.600798177,0.9838055333768192,1.9638747122121072
GradientBoosting,100,0.863517060367454,0.8807339449541285,0.8807339449541285,0.8807339449541285,8.140587880122963e-08,7.295611111111113e-05,0.8559906482696533,0.0014020389146379,0.4335803985595703,0.1860122680664062,10607551.60540581,10819045.969697526,1.008792633556237,1.991596168175979
KNN,0,0.9094488188976378,0.9216799091940976,0.9311926605504588,0.9123595505617976,1.8040290967293334e-09,7.28863888888889e-05,0.0125610828399658,0.0238747108639694,0.7897577285766602,0.3908748626708984,504120926.0684594,510900800.2504415,72.40210342407968,1.1515541867968684
KNN,10,0.9068241469816272,0.9199549041713642,0.9357798165137616,0.9046563192904656,1.389336194468383e-09,7.173527777777778e-05,0.0100104808807373,0.0236253413002634,0.7848968505859375,0.3908748626708984,652703176.2305849,662154277.5853302,90.58747105012569,1.1553418086780054
KNN,20,0.89501312335958,0.909706546275395,0.9243119266055044,0.8955555555555555,1.039669333985269e-09,6.989305555555555e-05,0.0100562572479248,0.0262463812440086,0.7845916748046875,0.3908748626708984,860863251.5194118,874996036.2765539,89.00061934516181,1.140737471605699
KNN,30,0.89501312335958,0.9103139013452914,0.9311926605504588,0.8903508771929824,1.953588111038231e-09,7.119777777777776e-05,0.013010025024414,0.028869924269949,0.7846031188964844,0.3908748626708984,458138088.731471,465970229.95881486,68.79411236181609,1.1407208329969212
KNN,40,0.8937007874015748,0.9076396807297604,0.9128440366972476,0.9024943310657596,1.2985897304892507e-09,6.97813888888889e-05,0.0110907554626464,0.0401187756555912,0.7888193130493164,0.3908748626708984,688208728.6065847,698942598.5894731,80.58069537386764,1.132960074147806
KNN,50,0.8858267716535433,0.9021372328458944,0.9197247706422018,0.8852097130242825,1.4725623095916254e-09,6.823416666666667e-05,0.0140352249145507,0.0301849810783005,0.7887887954711914,0.3908748626708984,601554695.433705,612630940.6194685,63.114540525472975,1.12302149414329
