System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:23:13:051, 1460677564441763,    0.108,    5.000, 1300,   1.824,   0.196,   0.055,   0.673,   0.072,   0.020, 44,  0,   0.000,   0.000,   0.000,   0.017,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:175, 1460677910391686,    0.231,    2.000, 1200,   3.500,   0.628,   0.174,   2.199,   0.344,   0.095, 43,  0,   0.000,   0.000,   0.000,   0.000,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:283, 1460678214315575,    0.339,   18.000, 4700,   9.466,   1.654,   0.460,   7.372,   1.143,   0.318, 51,  0,   0.000,   0.000,   0.000,   0.000,   0.002,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:408, 1460678564112007,    0.464,   34.000, 4100,  16.537,   3.718,   1.033,  14.200,   2.915,   0.810, 62,  0,   0.000,   0.000,   0.000,   0.022,   0.005,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:532, 1460678910889077,    0.588,    7.000, 1300,   6.941,   4.577,   1.271,   4.125,   3.425,   0.951, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.005,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:656, 1460679259245002,    0.712,    6.000, 2300,   2.923,   4.940,   1.372,   1.470,   3.608,   1.002, 45,  0,   0.000,   0.000,   0.000,   0.078,   0.014,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:765, 1460679565354722,    0.821,    4.000, 1200,   2.337,   5.195,   1.443,   0.800,   3.695,   1.026, 44,  0,   0.000,   0.000,   0.000,   0.011,   0.016,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:874, 1460679870149678,    0.930,    2.000, 1200,   1.589,   5.368,   1.491,   0.441,   3.743,   1.040, 43,  0,   0.000,   0.000,   0.000,   0.006,   0.016,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:982, 1460680171885702,    1.038,    3.000, 1200,   3.036,   5.695,   1.582,   1.571,   3.912,   1.087, 44,  0,   0.000,   0.000,   0.000,   0.145,   0.032,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:23:13:982, 1460680174672250,    1.039,   15.000, 1200,   0.000,   5.695,   1.582,   0.000,   3.912,   1.087, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.032,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.038757
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 5.694824
Cumulative Processor Energy_0 (mWh) = 1.581896
Average Processor Power_0 (Watt) = 5.482346

Cumulative IA Energy_0 (Joules) = 3.912354
Cumulative IA Energy_0 (mWh) = 1.086765
Average IA Power_0 (Watt) = 3.766380

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.031738
Cumulative GT Energy_0 (mWh) = 0.008816
Average GT Power_0 (Watt) = 0.030554
