System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:16:46:601, 854094780894676,    1.008,   22.000, 4300,  14.201,  14.311,   3.975,  11.644,  11.734,   3.259, 74,  0,   0.000,   0.000,   0.000,   0.038,   0.039,   0.011,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:47:661, 854097751432316,    2.067,   11.000, 4400,  11.760,  26.773,   7.437,   9.629,  21.938,   6.094, 72,  0,   0.000,   0.000,   0.000,   0.012,   0.051,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:48:679, 854100604349496,    3.085,   12.000, 1200,  10.451,  37.409,  10.391,   8.637,  30.729,   8.536, 42,  0,   0.000,   0.000,   0.000,   0.005,   0.056,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:49:682, 854103416027566,    4.088,    4.000, 1200,   2.286,  39.702,  11.028,   1.069,  31.801,   8.834, 42,  0,   0.000,   0.000,   0.000,   0.021,   0.078,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:50:693, 854106251407108,    5.100,    5.000, 4100,   3.869,  43.616,  12.116,   2.346,  34.174,   9.493, 45,  0,   0.000,   0.000,   0.000,   0.009,   0.087,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:51:697, 854109065996975,    6.104,    3.000, 4100,   2.316,  45.942,  12.762,   0.755,  34.931,   9.703, 44,  0,   0.000,   0.000,   0.000,   0.011,   0.098,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:52:704, 854111888156815,    7.110,    4.000, 1200,   3.417,  49.381,  13.717,   1.977,  36.921,  10.256, 42,  0,   0.000,   0.000,   0.000,   0.011,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:53:718, 854114731107750,    8.125,    2.000, 1200,   1.593,  50.997,  14.166,   0.398,  37.325,  10.368, 42,  0,   0.000,   0.000,   0.000,   0.004,   0.113,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:54:729, 854117565360425,    9.136,    3.000, 1300,   2.578,  53.604,  14.890,   1.417,  38.757,  10.766, 42,  0,   0.000,   0.000,   0.000,   0.014,   0.127,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:55:743, 854120407311114,   10.150,    1.000, 1200,   1.475,  55.099,  15.305,   0.290,  39.052,  10.848, 41,  0,   0.000,   0.000,   0.000,   0.010,   0.137,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:56:759, 854123254818648,   11.165,    3.000, 1300,   2.671,  57.813,  16.059,   1.307,  40.380,  11.217, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.146,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
02:16:57:761, 854126063606118,   12.167,    1.000, 1200,   1.295,  59.110,  16.419,   0.265,  40.645,  11.290, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.155,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
