System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:49:36:776, 1455025458233897,    1.009,   23.000, 4100,  14.327,  14.453,   4.015,  11.802,  11.906,   3.307, 69,  0,   0.000,   0.000,   0.000,   0.026,   0.026,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,   16,  81.314
13:49:37:787, 1455028290267551,    2.019,   18.000, 1500,  12.760,  27.344,   7.595,  10.624,  22.639,   6.289, 69,  0,   0.000,   0.000,   0.000,   0.033,   0.059,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  76.349
13:49:38:862, 1455031304945418,    3.095,   16.000, 4400,  15.461,  43.971,  12.214,  13.366,  37.013,  10.282, 71,  0,   0.000,   0.000,   0.000,   0.001,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.449
13:49:39:927, 1455034288981703,    4.159,   14.000, 4100,  15.161,  60.110,  16.697,  12.998,  50.850,  14.125, 61,  0,   0.000,   0.000,   0.000,   0.000,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.108
13:49:40:959, 1455037182461509,    5.191,   18.000, 4100,  14.931,  75.521,  20.978,  12.660,  63.917,  17.755, 63,  0,   0.000,   0.000,   0.000,   0.000,   0.060,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.923
13:49:42:019, 1455040155501388,    6.252,   16.000, 4100,  15.217,  91.660,  25.461,  12.846,  77.542,  21.539, 64,  0,   0.000,   0.000,   0.000,   0.019,   0.080,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  76.200
13:49:43:059, 1455043071599129,    7.292,   25.000, 1800,  15.915, 108.216,  30.060,  13.442,  91.525,  25.424, 54,  0,   0.000,   0.000,   0.000,   0.031,   0.112,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  82.569
13:49:44:121, 1455046048626421,    8.354,   16.000, 1500,  15.038, 124.186,  34.496,  12.872, 105.196,  29.221, 70,  0,   0.000,   0.000,   0.000,   0.006,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.193
13:49:45:166, 1455048976337549,    9.399,   19.000, 1500,  14.407, 139.233,  38.676,  12.078, 117.810,  32.725, 59,  0,   0.000,   0.000,   0.000,   0.005,   0.124,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.606
13:49:46:195, 1455051860512977,   10.427,   20.000, 4100,  15.088, 154.757,  42.988,  12.742, 130.920,  36.367, 64,  0,   0.000,   0.000,   0.000,   0.005,   0.130,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.319
13:49:47:220, 1455054735866546,   11.453,   18.000, 4100,  14.434, 169.563,  47.101,  11.997, 143.226,  39.785, 60,  0,   0.000,   0.000,   0.000,   0.000,   0.130,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.820
13:49:48:252, 1455057627145667,   12.485,   17.000, 4400,  14.712, 184.737,  51.316,  12.523, 156.142,  43.373, 63,  0,   0.000,   0.000,   0.000,   0.000,   0.130,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  71.872
13:49:49:281, 1455060511725830,   13.514,   19.000, 4100,  14.624, 199.786,  55.496,  12.272, 168.770,  46.881, 74,  0,   0.000,   0.000,   0.000,   0.006,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.394
