System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:54:04:033, 840183530538111,    1.013,   20.000, 4100,  15.880,  16.087,   4.469,  13.270,  13.443,   3.734, 92,  0,   0.000,   0.000,   0.000,   0.057,   0.058,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:05:052, 840186388032346,    2.032,   13.000, 1300,  12.454,  28.782,   7.995,  10.154,  23.794,   6.609, 59,  0,   0.000,   0.000,   0.000,   0.004,   0.063,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:06:058, 840189207375981,    3.038,    2.000, 1200,   1.915,  30.708,   8.530,   0.386,  24.182,   6.717, 56,  0,   0.000,   0.000,   0.000,   0.019,   0.082,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:07:078, 840192065630913,    4.058,    5.000, 1300,   4.060,  34.847,   9.680,   2.431,  26.661,   7.406, 56,  0,   0.000,   0.000,   0.000,   0.014,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:08:086, 840194891360258,    5.066,   10.000, 1300,  11.705,  46.647,  12.957,   9.586,  36.324,  10.090, 56,  0,   0.000,   0.000,   0.000,   0.019,   0.116,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:09:090, 840197708121644,    6.071,    4.000, 1300,   3.060,  49.721,  13.811,   1.537,  37.869,  10.519, 55,  0,   0.000,   0.000,   0.000,   0.011,   0.127,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:10:095, 840200524304077,    7.075,    1.000, 1300,   1.684,  51.413,  14.281,   0.404,  38.276,  10.632, 54,  0,   0.000,   0.000,   0.000,   0.015,   0.142,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:11:096, 840203330384733,    8.076,    3.000, 1300,   2.789,  54.204,  15.057,   1.353,  39.630,  11.008, 55,  0,   0.000,   0.000,   0.000,   0.007,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:12:100, 840206145796064,    9.081,    1.000, 1200,   1.526,  55.737,  15.482,   0.379,  40.011,  11.114, 53,  0,   0.000,   0.000,   0.000,   0.015,   0.164,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
00:54:13:103, 840208955267972,   10.083,    4.000, 1300,   2.969,  58.712,  16.309,   1.667,  41.681,  11.578, 54,  0,   0.000,   0.000,   0.000,   0.010,   0.174,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
