System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:59:10:619, 1012601105905480,    1.013,   21.000, 4100,  13.988,  14.164,   3.934,  11.601,  11.747,   3.263, 64,  0,   0.000,   0.000,   0.000,   0.045,   0.046,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,   11,  88.288
17:59:11:624, 1012603922976580,    2.018,   14.000, 4100,  11.145,  25.364,   7.046,   9.072,  20.864,   5.796, 51,  0,   0.000,   0.000,   0.000,   0.009,   0.055,   0.015,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  74.838
17:59:12:638, 1012606765244723,    3.031,    1.000, 1100,   1.618,  27.004,   7.501,   0.413,  21.283,   5.912, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.067,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.340
17:59:13:654, 1012609614289084,    4.048,    3.000, 1200,   2.929,  29.982,   8.328,   1.681,  22.992,   6.387, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.078,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.203
17:59:14:656, 1012612423815785,    5.050,    3.000, 1200,   2.062,  32.049,   8.902,   0.897,  23.891,   6.636, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.083,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.466
17:59:15:663, 1012615246542059,    6.057,    3.000, 1200,   2.831,  34.899,   9.694,   1.320,  25.220,   7.006, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.920
17:59:16:680, 1012618096593588,    7.074,    4.000, 1200,   2.437,  37.377,  10.383,   1.101,  26.339,   7.316, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.104,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.259
17:59:17:684, 1012620910869093,    8.078,    4.000, 1300,   2.792,  40.180,  11.161,   1.476,  27.821,   7.728, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.110,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.209
17:59:18:689, 1012623727888349,    9.083,    1.000, 1200,   1.376,  41.563,  11.545,   0.322,  28.145,   7.818, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.117,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.507
17:59:19:694, 1012626546314360,   10.088,    3.000, 4100,   2.637,  44.214,  12.282,   1.419,  29.571,   8.214, 42,  0,   0.000,   0.000,   0.000,   0.008,   0.125,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.025
