System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:09:22:260, 1448256929983440,    1.011,   22.000, 4100,  19.115,  19.334,   5.371,  16.496,  16.685,   4.635, 88,  0,   0.000,   0.000,   0.000,   0.032,   0.032,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  90.839
13:09:23:270, 1448259761651743,    2.022,   16.000, 1200,  14.496,  33.977,   9.438,  12.285,  29.095,   8.082, 41,  0,   0.000,   0.000,   0.000,   0.030,   0.062,   0.017,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  82.834
13:09:24:277, 1448262584285850,    3.029,    4.000, 1200,   3.028,  37.027,  10.285,   1.736,  30.843,   8.567, 39,  0,   0.000,   0.000,   0.000,   0.013,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.838
13:09:25:286, 1448265412827457,    4.038,    3.000, 3000,   1.812,  38.855,  10.793,   0.509,  31.357,   8.710, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.086,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  88.154
13:09:26:308, 1448268277596486,    5.060,    5.000, 1200,   3.615,  42.549,  11.819,   2.138,  33.542,   9.317, 40,  0,   0.000,   0.000,   0.000,   0.023,   0.109,   0.030,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.673
13:09:27:311, 1448271089389172,    6.063,    2.000, 1200,   1.775,  44.330,  12.314,   0.456,  34.000,   9.444, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.119,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  85.781
13:09:28:325, 1448273932010502,    7.077,   10.000, 1200,   6.150,  50.567,  14.046,   4.401,  38.463,  10.684, 39,  0,   0.000,   0.000,   0.000,   0.033,   0.153,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.046
13:09:29:346, 1448276792755669,    8.097,    2.000, 1200,   2.231,  52.844,  14.679,   0.787,  39.266,  10.907, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.163,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.965
13:09:30:359, 1448279635570828,    9.111,    3.000, 1200,   3.194,  56.083,  15.579,   1.862,  41.154,  11.432, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.167,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.034
13:09:31:365, 1448282454479790,   10.117,    2.000, 1200,   1.483,  57.574,  15.993,   0.361,  41.516,  11.532, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.177,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.907
13:09:32:368, 1448285265813271,   11.120,    4.000, 1300,   3.079,  60.663,  16.851,   1.559,  43.080,  11.967, 39,  0,   0.000,   0.000,   0.000,   0.015,   0.193,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.614
13:09:33:375, 1448288089575355,   12.127,    8.000, 1300,   4.348,  65.042,  18.067,   2.796,  45.896,  12.749, 39,  0,   0.000,   0.000,   0.000,   0.022,   0.214,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  92.384
13:09:34:382, 1448290910353942,   13.133,    4.000, 4100,   2.796,  67.856,  18.849,   1.395,  47.300,  13.139, 50,  0,   0.000,   0.000,   0.000,   0.011,   0.225,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  86.354
13:09:35:398, 1448293759307963,   14.150,    2.000, 1200,   1.642,  69.524,  19.312,   0.496,  47.804,  13.279, 39,  0,   0.000,   0.000,   0.000,   0.019,   0.245,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.065
13:09:36:403, 1448296577095365,   15.155,    1.000, 1200,   1.406,  70.937,  19.705,   0.334,  48.141,  13.372, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.252,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.893
13:09:37:409, 1448299396990710,   16.161,    4.000, 1200,   3.156,  74.112,  20.587,   1.774,  49.926,  13.868, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.256,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.092
13:09:38:415, 1448302215922432,   17.167,    1.000, 1100,   1.388,  75.508,  20.974,   0.283,  50.210,  13.947, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.262,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.949
13:09:39:420, 1448305033187350,   18.172,    4.000, 1200,   3.107,  78.630,  21.842,   1.716,  51.934,  14.426, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.269,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.864
13:09:40:423, 1448307846216989,   19.175,    1.000, 1200,   1.386,  80.021,  22.228,   0.295,  52.230,  14.508, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.279,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.198
13:09:41:440, 1448310697180350,   20.192,    4.000, 1100,   3.293,  83.370,  23.158,   1.748,  54.008,  15.002, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.288,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.546
13:09:42:444, 1448313510510889,   21.196,    2.000, 1200,   1.568,  84.943,  23.595,   0.328,  54.337,  15.094, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.295,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  46.565
13:09:43:449, 1448316329944244,   22.202,    4.000, 1200,   2.963,  87.924,  24.423,   1.655,  56.002,  15.556, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.302,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.072
13:09:44:456, 1448319152567081,   23.208,    1.000, 1100,   1.671,  89.606,  24.891,   0.407,  56.412,  15.670, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.310,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.212
13:09:45:460, 1448321966053634,   24.212,    3.000, 1200,   2.532,  92.147,  25.596,   1.307,  57.724,  16.034, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.319,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.580
13:09:46:474, 1448324809372471,   25.226,    1.000, 1100,   1.406,  93.573,  25.993,   0.354,  58.083,  16.134, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.327,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.432
13:09:47:490, 1448327657032022,   26.242,    3.000, 1200,   3.420,  97.047,  26.958,   2.078,  60.193,  16.720, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.333,   0.093,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.602
13:09:48:496, 1448330475249500,   27.248,    2.000, 1200,   1.566,  98.622,  27.395,   0.472,  60.668,  16.852, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.342,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.453
13:09:49:500, 1448333290297096,   28.252,    4.000, 1200,   3.097, 101.732,  28.259,   1.742,  62.417,  17.338, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.352,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.203
13:09:50:503, 1448336103876546,   29.256,    2.000, 1100,   1.509, 103.246,  28.679,   0.364,  62.783,  17.440, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.364,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  83.531
13:09:51:508, 1448338920674008,   30.260,    4.000, 1400,   2.910, 106.170,  29.492,   1.626,  64.417,  17.894, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.370,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.119
13:09:52:513, 1448341737814288,   31.265,    2.000, 1200,   1.599, 107.777,  29.938,   0.357,  64.776,  17.993, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.376,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  81.033
13:09:53:530, 1448344588353642,   32.282,    3.000, 3300,   2.732, 110.555,  30.710,   1.449,  66.250,  18.403, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.385,   0.107,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.272
13:09:54:535, 1448347406385365,   33.288,    2.000, 1200,   1.530, 112.093,  31.137,   0.318,  66.569,  18.491, 37,  0,   0.000,   0.000,   0.000,   0.014,   0.400,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  82.003
13:09:55:542, 1448350227911308,   34.294,    2.000, 1200,   1.932, 114.038,  31.677,   0.419,  66.991,  18.609, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.409,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.635
13:09:56:546, 1448353043983716,   35.299,    3.000, 1200,   2.979, 117.031,  32.509,   1.731,  68.730,  19.092, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.421,   0.117,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.117
13:09:57:557, 1448355876532847,   36.309,    2.000, 1200,   1.686, 118.735,  32.982,   0.337,  69.070,  19.186, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.428,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  54.192
13:09:58:574, 1448358727910818,   37.326,    4.000, 1100,   2.916, 121.701,  33.806,   1.697,  70.797,  19.666, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.432,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.843
13:09:59:578, 1448361542975790,   38.331,    1.000, 1200,   1.365, 123.071,  34.186,   0.309,  71.107,  19.752, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.440,   0.122,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.562
13:10:00:584, 1448364363296194,   39.337,    5.000, 1200,   3.351, 126.442,  35.123,   1.874,  72.992,  20.276, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.446,   0.124,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.998
13:10:01:590, 1448367182331073,   40.342,    2.000, 1200,   1.410, 127.860,  35.517,   0.334,  73.328,  20.369, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.452,   0.125,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.347
13:10:02:599, 1448370010458682,   41.351,   10.000, 1200,   6.682, 134.602,  37.389,   4.462,  77.830,  21.619, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.458,   0.127,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  90.981
13:10:03:604, 1448372829197775,   42.357,    2.000, 1200,   1.803, 136.415,  37.893,   0.404,  78.236,  21.732, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.474,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.483
13:10:04:613, 1448375657102633,   43.366,    7.000, 1200,   4.619, 141.074,  39.187,   2.917,  81.179,  22.550, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.480,   0.133,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.833
13:10:05:616, 1448378470276643,   44.369,    2.000, 1200,   1.505, 142.585,  39.607,   0.361,  81.541,  22.650, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.487,   0.135,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.981
13:10:06:628, 1448381306040267,   45.381,    8.000, 1400,   4.655, 147.294,  40.915,   2.690,  84.262,  23.406, 38,  0,   0.000,   0.000,   0.000,   0.002,   0.490,   0.136,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  61.530
13:10:07:636, 1448384130964541,   46.389,    6.000, 1100,   3.362, 150.682,  41.856,   1.682,  85.957,  23.877, 39,  0,   0.000,   0.000,   0.000,   0.011,   0.500,   0.139,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  91.340
13:10:08:656, 1448386990316616,   47.409,    4.000, 1300,   3.210, 153.956,  42.766,   1.802,  87.795,  24.387, 38,  0,   0.000,   0.000,   0.000,   0.011,   0.512,   0.142,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.669
13:10:09:673, 1448389842313993,   48.426,    1.000, 1100,   1.386, 155.366,  43.157,   0.332,  88.132,  24.481, 37,  0,   0.000,   0.000,   0.000,   0.012,   0.524,   0.146,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.899
13:10:10:677, 1448392657160145,   49.430,    4.000, 1300,   3.196, 158.575,  44.049,   1.668,  89.807,  24.946, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.529,   0.147,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.193
13:10:11:680, 1448395467550429,   50.433,    2.000, 1100,   1.470, 160.049,  44.458,   0.360,  90.168,  25.047, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.539,   0.150,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.249
13:10:12:685, 1448398283535431,   51.437,    3.000, 4700,   3.020, 163.083,  45.301,   1.496,  91.671,  25.464, 52,  0,   0.000,   0.000,   0.000,   0.009,   0.549,   0.152,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.972
13:10:13:690, 1448401102797681,   52.443,    2.000, 1200,   1.516, 164.608,  45.724,   0.419,  92.092,  25.581, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.553,   0.154,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.076
13:10:14:697, 1448403925972004,   53.450,    1.000, 1200,   1.343, 165.961,  46.100,   0.317,  92.411,  25.670, 37,  0,   0.000,   0.000,   0.000,   0.005,   0.558,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.279
13:10:15:703, 1448406744931668,   54.456,    4.000, 1200,   2.367, 168.341,  46.761,   1.103,  93.521,  25.978, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.566,   0.157,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.582
