System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:24:27:800, 1440703695620413,    1.012,   20.000, 1500,  13.629,  13.799,   3.833,  11.180,  11.319,   3.144, 62,  0,   0.000,   0.000,   0.000,   0.030,   0.030,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,   16,  87.458
12:24:28:888, 1440706744660220,    2.100,   21.000, 4100,  12.308,  27.186,   7.552,  10.099,  22.304,   6.196, 70,  0,   0.000,   0.000,   0.000,   0.036,   0.069,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  77.319
12:24:29:921, 1440709640908082,    3.133,   14.000, 1500,  14.778,  42.454,  11.793,  12.406,  35.122,   9.756, 71,  0,   0.000,   0.000,   0.000,   0.034,   0.104,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  69.675
12:24:31:016, 1440712711079199,    4.229,   17.000, 1700,  17.084,  61.166,  16.990,  14.854,  51.390,  14.275, 64,  0,   0.000,   0.000,   0.000,   0.029,   0.135,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  81.802
12:24:32:093, 1440715730034227,    5.306,   16.000, 4300,  14.263,  76.526,  21.257,  12.030,  64.347,  17.874, 68,  0,   0.000,   0.000,   0.000,   0.021,   0.157,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  76.329
12:24:33:140, 1440718663004386,    6.352,   18.000, 4100,  13.699,  90.859,  25.239,  11.476,  76.354,  21.209, 73,  0,   0.000,   0.000,   0.000,   0.014,   0.172,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.436
12:24:34:199, 1440721633719846,    7.412,   25.000, 4100,  13.696, 105.374,  29.271,  11.351,  88.383,  24.551, 60,  0,   0.000,   0.000,   0.000,   0.000,   0.172,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.045
12:24:35:259, 1440724604753425,    8.471,   26.000, 4100,  13.783, 119.982,  33.328,  11.200, 100.254,  27.848, 74,  0,   0.000,   0.000,   0.000,   0.018,   0.191,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  80.545
12:24:36:310, 1440727549895081,    9.522,   16.000, 4100,  15.303, 136.060,  37.795,  13.012, 113.925,  31.646, 60,  0,   0.000,   0.000,   0.000,   0.001,   0.192,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.539
12:24:37:338, 1440730432648624,   10.550,   19.000, 4100,  14.841, 151.323,  42.034,  12.594, 126.877,  35.244, 76,  0,   0.000,   0.000,   0.000,   0.023,   0.216,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  61.035
