System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:14:24:294, 1449103612028225,    1.008,   22.000, 1800,  20.956,  21.119,   5.866,  18.485,  18.628,   5.174, 88,  0,   0.000,   0.000,   0.000,   0.045,   0.045,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  81.483
13:14:25:302, 1449106436327486,    2.015,   18.000, 4100,  14.063,  35.287,   9.802,  11.830,  30.547,   8.485, 69,  0,   0.000,   0.000,   0.000,   0.027,   0.073,   0.020,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  88.235
13:14:26:378, 1449109452511392,    3.091,   16.000, 4700,  20.466,  57.309,  15.919,  17.937,  49.847,  13.846, 76,  0,   0.000,   0.000,   0.000,   0.005,   0.078,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.553
13:14:27:454, 1449112470352132,    4.168,   14.000, 2000,  18.974,  77.736,  21.593,  16.544,  67.658,  18.794, 90,  0,   0.000,   0.000,   0.000,   0.000,   0.078,   0.022,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  84.306
13:14:28:516, 1449115447533099,    5.230,   16.000, 4100,  22.240, 101.356,  28.154,  19.814,  88.701,  24.639, 70,  0,   0.000,   0.000,   0.000,   0.014,   0.093,   0.026,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.663
13:14:29:534, 1449118300493038,    6.248,   16.000, 4100,  21.547, 123.285,  34.246,  18.933, 107.971,  29.992, 66,  0,   0.000,   0.000,   0.000,   0.013,   0.106,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  77.717
13:14:30:561, 1449121179181153,    7.275,   17.000, 4100,  20.007, 143.831,  39.953,  17.412, 125.851,  34.959, 75,  0,   0.000,   0.000,   0.000,   0.000,   0.106,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.935
13:14:31:579, 1449124031990474,    8.292,   21.000, 4100,  21.201, 165.407,  45.946,  18.568, 144.748,  40.208, 79,  0,   0.000,   0.000,   0.000,   0.030,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.064
13:14:32:595, 1449126881570831,    9.309,   18.000, 4100,  21.239, 186.998,  51.944,  18.599, 163.654,  45.460, 73,  0,   0.000,   0.000,   0.000,   0.003,   0.140,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  79.040
13:14:33:660, 1449129867565909,   10.374,   15.000, 1600,  20.969, 209.335,  58.148,  18.275, 183.121,  50.867, 73,  0,   0.000,   0.000,   0.000,   0.008,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.070
13:14:34:693, 1449132761391102,   11.406,   18.000, 4100,  22.346, 232.403,  64.556,  19.693, 203.450,  56.514, 81,  0,   0.000,   0.000,   0.000,   0.001,   0.150,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  54.914
13:14:35:724, 1449135652344593,   12.438,   16.000, 4100,  19.281, 252.287,  70.080,  16.844, 220.822,  61.339, 87,  0,   0.000,   0.000,   0.000,   0.000,   0.150,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.286
13:14:36:754, 1449138540861652,   13.468,   17.000, 4100,  22.056, 275.015,  76.393,  19.485, 240.900,  66.917, 78,  0,   0.000,   0.000,   0.000,   0.001,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.146
13:14:37:784, 1449141428171431,   14.498,   17.000, 4700,  18.854, 294.435,  81.787,  16.295, 257.684,  71.579, 70,  0,   0.000,   0.000,   0.000,   0.000,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  76.388
13:14:38:816, 1449144321308020,   15.530,   16.000, 4100,  22.679, 317.841,  88.289,  20.155, 278.485,  77.357, 82,  0,   0.000,   0.000,   0.000,   0.000,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  80.624
13:14:39:845, 1449147204694985,   16.559,   18.000, 4100,  21.562, 340.020,  94.450,  19.030, 298.059,  82.794, 91,  0,   0.000,   0.000,   0.000,   0.001,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.440
13:14:40:907, 1449150182190859,   17.621,   16.000, 4100,  21.788, 363.162, 100.878,  19.239, 318.495,  88.471, 80,  0,   0.000,   0.000,   0.000,   0.001,   0.153,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.991
13:14:41:982, 1449153196196677,   18.696,   18.000, 4100,  20.253, 384.939, 106.927,  17.567, 337.383,  93.718, 90,  0,   0.000,   0.000,   0.000,   0.000,   0.153,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  73.568
13:14:43:049, 1449156186337342,   19.763,   16.000, 4100,  20.918, 407.251, 113.125,  18.358, 356.966,  99.157, 90,  0,   0.000,   0.000,   0.000,   0.004,   0.157,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.067
13:14:44:080, 1449159076999782,   20.794,   18.000, 4100,  22.044, 429.983, 119.440,  19.459, 377.032, 104.731, 74,  0,   0.000,   0.000,   0.000,   0.000,   0.157,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.557
13:14:45:113, 1449161972426883,   21.827,   15.000, 4100,  19.930, 450.568, 125.158,  17.373, 394.976, 109.716, 90,  0,   0.000,   0.000,   0.000,   0.001,   0.158,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.334
13:14:46:188, 1449164986633890,   22.902,   18.000, 4100,  21.789, 473.997, 131.666,  19.057, 415.467, 115.407, 93,  0,   0.000,   0.000,   0.000,   0.000,   0.158,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.434
13:14:47:236, 1449167924079726,   23.950,   16.000, 4100,  21.068, 496.075, 137.799,  18.520, 434.873, 120.798, 72,  0,   0.000,   0.000,   0.000,   0.006,   0.165,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  77.100
13:14:48:266, 1449170811387068,   24.980,   18.000, 4100,  20.315, 516.999, 143.611,  17.666, 453.069, 125.853, 90,  0,   0.000,   0.000,   0.000,   0.048,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  74.116
13:14:49:331, 1449173795492102,   26.045,   15.000, 4100,  18.469, 536.660, 149.072,  16.040, 470.144, 130.596, 90,  0,   0.000,   0.000,   0.000,   0.000,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  67.125
13:14:50:396, 1449176782501451,   27.110,   17.000, 4100,  21.437, 559.503, 155.418,  18.805, 490.182, 136.162, 88,  0,   0.000,   0.000,   0.000,   0.000,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.033
13:14:51:491, 1449179851617967,   28.205,   16.000, 4700,  17.207, 578.343, 160.651,  14.378, 505.925, 140.535, 86,  0,   0.000,   0.000,   0.000,   0.000,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  75.471
13:14:52:555, 1449182833824843,   29.269,   18.000, 4100,  20.314, 599.954, 166.654,  17.547, 524.593, 145.720, 75,  0,   0.000,   0.000,   0.000,   0.000,   0.214,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  78.814
13:14:53:581, 1449185711836627,   30.296,   16.000, 4100,  18.003, 618.437, 171.788,  15.388, 540.391, 150.109, 71,  0,   0.000,   0.000,   0.000,   0.001,   0.215,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,    0,  72.911
