System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:18:26:327, 733274227355899,    0.112,   13.000, 4100,   8.327,   0.936,   0.260,   6.476,   0.728,   0.202, 50,  0,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:26:437, 733274535040328,    0.222,   10.000, 1500,   8.915,   1.915,   0.532,   7.077,   1.505,   0.418, 40,  0,   0.000,   0.000,   0.000,   0.023,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:26:544, 733274836299745,    0.330,    2.000, 1300,   1.653,   2.092,   0.581,   0.468,   1.555,   0.432, 40,  0,   0.000,   0.000,   0.000,   0.002,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:26:652, 733275137553676,    0.437,    1.000, 1200,   1.454,   2.249,   0.625,   0.278,   1.585,   0.440, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:26:759, 733275439133242,    0.545,    3.000, 1200,   1.875,   2.450,   0.681,   0.663,   1.656,   0.460, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:26:867, 733275741438182,    0.653,    1.000, 1200,   1.123,   2.571,   0.714,   0.221,   1.680,   0.467, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:26:976, 733276044897267,    0.761,    1.000, 1300,   3.068,   2.904,   0.807,   0.531,   1.738,   0.483, 39,  0,   0.000,   0.000,   0.000,   0.002,   0.004,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:27:084, 733276347748041,    0.869,    3.000, 1100,   1.839,   3.102,   0.862,   0.479,   1.789,   0.497, 40,  0,   0.000,   0.000,   0.000,   0.017,   0.006,   0.002,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:27:192, 733276650667531,    0.977,    4.000, 1200,   1.944,   3.312,   0.920,   0.671,   1.862,   0.517, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.008,   0.002,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:27:299, 733276952532369,    1.085,    2.000, 1200,   1.375,   3.460,   0.961,   0.381,   1.903,   0.529, 40,  0,   0.000,   0.000,   0.000,   0.025,   0.010,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
14:18:27:299, 733276954931553,    1.085,   20.000, 1200,  17.400,   3.475,   0.965,   4.564,   1.907,   0.530, 40,  0,   0.000,   0.000,   0.000,   0.000,   0.010,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.085448
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 3.475281
Cumulative Processor Energy_0 (mWh) = 0.965356
Average Processor Power_0 (Watt) = 3.201702

Cumulative IA Energy_0 (Joules) = 1.906738
Cumulative IA Energy_0 (mWh) = 0.529650
Average IA Power_0 (Watt) = 1.756637

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.010376
Cumulative GT Energy_0 (mWh) = 0.002882
Average GT Power_0 (Watt) = 0.009559
