System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:20:46:760, 713484180314562,    1.013,   21.000, 1700,  19.686,  19.945,   5.540,  17.100,  17.326,   4.813, 65,  0,   0.000,   0.000,   0.000,   0.053,   0.054,   0.015,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:47:859, 713487262112790,    2.113,   15.000, 1200,  13.121,  34.370,   9.547,  11.135,  29.568,   8.213, 39,  0,   0.000,   0.000,   0.000,   0.047,   0.105,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:48:879, 713490121645521,    3.133,    6.000, 1200,   3.737,  38.182,  10.606,   2.218,  31.831,   8.842, 39,  0,   0.000,   0.000,   0.000,   0.029,   0.134,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:49:883, 713492937403336,    4.137,    2.000, 1500,   1.469,  39.657,  11.016,   0.383,  32.216,   8.949, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:50:890, 713495759108223,    5.144,    5.000, 1100,   3.704,  43.385,  12.051,   2.203,  34.434,   9.565, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.151,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:51:895, 713498575910153,    6.149,    2.000, 1200,   1.629,  45.022,  12.506,   0.394,  34.830,   9.675, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.159,   0.044,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:52:902, 713501398541651,    7.156,   13.000, 4100,   6.236,  51.302,  14.250,   4.417,  39.277,  10.910, 41,  0,   0.000,   0.000,   0.000,   0.028,   0.188,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:53:918, 713504248333031,    8.172,    2.000, 1200,   1.489,  52.815,  14.671,   0.433,  39.718,  11.033, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:54:924, 713507068915817,    9.178,    4.000, 1300,   3.080,  55.914,  15.532,   1.637,  41.365,  11.490, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.207,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:55:939, 713509914124435,   10.193,    2.000, 1200,   1.572,  57.509,  15.975,   0.321,  41.691,  11.581, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.220,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:56:943, 713512729654777,   11.198,    4.000, 1300,   2.600,  60.121,  16.700,   1.179,  42.875,  11.910, 38,  0,   0.000,   0.000,   0.000,   0.013,   0.233,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:57:946, 713515541709668,   12.201,    2.000, 1200,   1.408,  61.533,  17.093,   0.386,  43.261,  12.017, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:58:963, 713518390509326,   13.217,    4.000, 1200,   3.366,  64.954,  18.043,   2.028,  45.322,  12.590, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:20:59:965, 713521201311094,   14.220,    1.000, 1200,   1.384,  66.342,  18.428,   0.337,  45.660,  12.683, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.255,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:21:00:981, 713524049163848,   15.236,    5.000, 1300,   3.114,  69.506,  19.307,   1.714,  47.401,  13.167, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.262,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:21:01:984, 713526859848639,   16.238,    1.000, 1200,   1.601,  71.111,  19.753,   0.356,  47.758,  13.266, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.271,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:21:02:991, 713529682142415,   17.245,    3.000, 4100,   2.517,  73.645,  20.457,   1.342,  49.109,  13.641, 44,  0,   0.000,   0.000,   0.000,   0.008,   0.278,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
