System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:38:04:380, 726484892291121,    1.001,   22.000, 4100,  14.149,  14.159,   3.933,  11.702,  11.710,   3.253, 62,  0,   0.000,   0.000,   0.000,   0.042,   0.042,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:05:422, 726487812931522,    2.043,   24.000, 4500,  12.534,  27.218,   7.560,  10.125,  22.259,   6.183, 60,  0,   0.000,   0.000,   0.000,   0.058,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:06:449, 726490692314795,    3.070,    9.000, 1200,   7.657,  35.083,   9.745,   5.902,  28.321,   7.867, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.111,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:07:454, 726493509582017,    4.075,    3.000, 1200,   2.253,  37.348,  10.374,   0.858,  29.183,   8.106, 40,  0,   0.000,   0.000,   0.000,   0.016,   0.127,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:08:462, 726496337018531,    5.083,    5.000, 1200,   4.117,  41.500,  11.528,   2.738,  31.945,   8.874, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.140,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:09:466, 726499151022124,    6.087,    2.000, 1200,   1.943,  43.451,  12.070,   0.598,  32.545,   9.040, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.146,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:10:472, 726501971459657,    7.093,   10.000, 1200,   5.310,  48.794,  13.554,   3.552,  36.119,  10.033, 40,  0,   0.000,   0.000,   0.000,   0.038,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:11:489, 726504821136865,    8.110,    2.000, 1200,   1.626,  50.447,  14.013,   0.359,  36.485,  10.135, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:12:495, 726507640809451,    9.116,    3.000, 1200,   2.610,  53.072,  14.742,   1.226,  37.718,  10.477, 41,  0,   0.000,   0.000,   0.000,   0.017,   0.211,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:13:510, 726510486705863,   10.131,    1.000, 1200,   1.489,  54.584,  15.162,   0.314,  38.037,  10.566, 41,  0,   0.000,   0.000,   0.000,   0.005,   0.216,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:14:515, 726513303141848,   11.136,    3.000, 1300,   3.142,  57.741,  16.039,   1.632,  39.676,  11.021, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.225,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:15:516, 726516111111961,   12.138,    1.000, 1200,   1.736,  59.479,  16.522,   0.370,  40.046,  11.124, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.233,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:16:520, 726518924471029,   13.141,    3.000, 1200,   2.840,  62.329,  17.314,   1.620,  41.672,  11.576, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.239,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:17:522, 726521734688376,   14.144,    2.000, 1200,   1.382,  63.715,  17.699,   0.314,  41.986,  11.663, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.246,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:18:526, 726524546568999,   15.147,    3.000, 4100,   2.513,  66.236,  18.399,   1.331,  43.322,  12.034, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.253,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:19:540, 726527391444577,   16.162,    1.000, 1100,   1.301,  67.556,  18.766,   0.291,  43.617,  12.116, 39,  0,   0.000,   0.000,   0.000,   0.010,   0.263,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:20:556, 726530239368376,   17.178,    2.000, 4100,   1.627,  69.208,  19.225,   0.410,  44.034,  12.232, 46,  0,   0.000,   0.000,   0.000,   0.002,   0.265,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:21:563, 726533062067768,   18.185,    3.000, 1100,   2.571,  71.797,  19.944,   1.333,  45.376,  12.604, 40,  0,   0.000,   0.000,   0.000,   0.014,   0.279,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:22:567, 726535875374103,   19.188,    1.000, 1100,   1.350,  73.152,  20.320,   0.320,  45.697,  12.694, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.285,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:23:573, 726538695462024,   20.194,    3.000, 1200,   2.590,  75.758,  21.044,   1.427,  47.133,  13.092, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.290,   0.081,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:24:591, 726541549914177,   21.212,    1.000, 1200,   1.327,  77.109,  21.419,   0.290,  47.428,  13.174, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.300,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:25:595, 726544365153784,   22.217,    3.000, 1200,   3.191,  80.314,  22.309,   1.861,  49.297,  13.694, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.305,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:38:26:601, 726547183143551,   23.222,    1.000, 1200,   1.459,  81.780,  22.717,   0.334,  49.633,  13.787, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.311,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
