System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:53:12:011, 729029220642716,    1.018,   22.000, 2900,  13.774,  14.022,   3.895,  11.289,  11.492,   3.192, 54,  0,   0.000,   0.000,   0.000,   0.028,   0.028,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:13:016, 729032035469263,    2.022,   21.000, 2500,  10.663,  24.729,   6.869,   8.355,  19.882,   5.523, 41,  0,   0.000,   0.000,   0.000,   0.056,   0.084,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:14:018, 729034845755994,    3.025,    2.000, 1200,   1.875,  26.609,   7.391,   0.431,  20.314,   5.643, 39,  0,   0.000,   0.000,   0.000,   0.016,   0.100,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:15:023, 729037664435790,    4.030,    5.000, 1100,   3.498,  30.126,   8.368,   2.178,  22.504,   6.251, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.112,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:16:029, 729040482703015,    5.036,    5.000, 1100,   3.788,  33.935,   9.426,   2.195,  24.710,   6.864, 39,  0,   0.000,   0.000,   0.000,   0.015,   0.128,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:17:035, 729043301790794,    6.041,    4.000, 1200,   3.125,  37.078,  10.299,   1.772,  26.492,   7.359, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.134,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:18:039, 729046118397677,    7.046,    8.000, 1100,   4.303,  41.401,  11.500,   2.690,  29.194,   8.110, 40,  0,   0.000,   0.000,   0.000,   0.042,   0.176,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:19:046, 729048940741936,    8.053,    4.000, 1100,   2.903,  44.324,  12.312,   1.630,  30.836,   8.566, 39,  0,   0.000,   0.000,   0.000,   0.017,   0.193,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:20:050, 729051755408133,    9.057,    1.000, 1200,   1.373,  45.703,  12.695,   0.288,  31.125,   8.646, 40,  0,   0.000,   0.000,   0.000,   0.014,   0.207,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:21:056, 729054574599871,   10.063,    3.000, 1200,   2.874,  48.593,  13.498,   1.561,  32.695,   9.082, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.215,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:22:060, 729057389063801,   11.067,    1.000, 1200,   1.374,  49.973,  13.881,   0.336,  33.032,   9.176, 40,  0,   0.000,   0.000,   0.000,   0.003,   0.219,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:23:066, 729060210989953,   12.073,    3.000, 1200,   2.398,  52.387,  14.552,   1.209,  34.249,   9.514, 40,  0,   0.000,   0.000,   0.000,   0.003,   0.222,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:24:070, 729063023345939,   13.077,    2.000, 1200,   1.361,  53.753,  14.931,   0.336,  34.586,   9.607, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.228,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:25:073, 729065835263048,   14.080,    3.000, 1200,   2.719,  56.481,  15.689,   1.497,  36.087,  10.024, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.235,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:26:079, 729068655256087,   15.086,    1.000, 1200,   1.615,  58.105,  16.140,   0.336,  36.425,  10.118, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.247,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:27:085, 729071476791037,   16.092,    3.000, 4100,   2.680,  60.802,  16.890,   1.501,  37.936,  10.538, 53,  0,   0.000,   0.000,   0.000,   0.012,   0.259,   0.072,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:28:105, 729074335068659,   17.112,    2.000, 1200,   1.576,  62.409,  17.336,   0.430,  38.374,  10.660, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.267,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:29:109, 729077150699342,   18.116,    2.000, 1100,   1.643,  64.059,  17.794,   0.352,  38.728,  10.758, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.276,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:30:113, 729079965006080,   19.120,    4.000, 1200,   2.533,  66.603,  18.501,   1.222,  39.955,  11.099, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.280,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:53:31:128, 729082809300007,   20.135,    1.000, 1200,   1.498,  68.122,  18.923,   0.342,  40.302,  11.195, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.284,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
