System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:10:41:975, 711788713293396,    1.009,   24.000, 4100,  19.881,  20.052,   5.570,  17.157,  17.304,   4.807, 91,  0,   0.000,   0.000,   0.000,   0.121,   0.122,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:43:009, 711791613385902,    2.043,   21.000, 1200,  16.321,  36.937,  10.260,  13.715,  31.494,   8.748, 44,  0,   0.000,   0.000,   0.000,   0.263,   0.394,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:44:018, 711794442417965,    3.052,    4.000, 1300,   2.697,  39.659,  11.016,   1.092,  32.596,   9.054, 45,  0,   0.000,   0.000,   0.000,   0.037,   0.431,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:45:022, 711797256929191,    4.056,    5.000, 1300,   3.689,  43.362,  12.045,   1.929,  34.533,   9.592, 44,  0,   0.000,   0.000,   0.000,   0.032,   0.464,   0.129,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:46:030, 711800082608056,    5.064,    4.000, 1200,   3.153,  46.540,  12.928,   1.692,  36.238,  10.066, 44,  0,   0.000,   0.000,   0.000,   0.050,   0.514,   0.143,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:47:032, 711802891948243,    6.067,    4.000, 1200,   2.864,  49.411,  13.725,   1.381,  37.622,  10.450, 43,  0,   0.000,   0.000,   0.000,   0.008,   0.522,   0.145,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:48:042, 711805721532859,    7.076,    8.000, 1200,   5.254,  54.714,  15.198,   3.476,  41.130,  11.425, 43,  0,   0.000,   0.000,   0.000,   0.093,   0.615,   0.171,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:49:046, 711808537862562,    8.081,    4.000, 1200,   2.840,  57.568,  15.991,   1.635,  42.773,  11.881, 44,  0,   0.000,   0.000,   0.000,   0.003,   0.618,   0.172,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:50:049, 711811348355641,    9.083,    2.000, 1700,   1.666,  59.238,  16.455,   0.400,  43.173,  11.993, 42,  0,   0.000,   0.000,   0.000,   0.015,   0.632,   0.176,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:10:51:053, 711814163031659,   10.087,    3.000, 4100,   2.996,  62.246,  17.291,   1.609,  44.789,  12.441, 46,  0,   0.000,   0.000,   0.000,   0.014,   0.646,   0.180,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
