System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:12:22:717, 712071137457809,    1.015,   22.000, 4100,  17.064,  17.323,   4.812,  14.517,  14.738,   4.094, 67,  0,   0.000,   0.000,   0.000,   0.046,   0.047,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:23:772, 712074094464982,    2.070,   16.000, 1100,  14.540,  32.661,   9.072,  12.327,  27.741,   7.706, 38,  0,   0.000,   0.000,   0.000,   0.054,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:24:778, 712076914320572,    3.076,    6.000, 2100,   3.717,  36.400,  10.111,   2.178,  29.932,   8.314, 38,  0,   0.000,   0.000,   0.000,   0.019,   0.122,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:25:782, 712079728885849,    4.080,    2.000, 1200,   1.587,  37.994,  10.554,   0.400,  30.333,   8.426, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.134,   0.037,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:26:791, 712082557496798,    5.089,    5.000, 1300,   3.777,  41.805,  11.613,   2.313,  32.667,   9.074, 38,  0,   0.000,   0.000,   0.000,   0.012,   0.147,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:27:795, 712085373507734,    6.094,    2.000, 1300,   1.991,  43.805,  12.168,   0.613,  33.283,   9.245, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.153,   0.043,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:28:803, 712088199203779,    7.102,   10.000, 4100,   6.443,  50.300,  13.972,   4.550,  37.870,  10.519, 41,  0,   0.000,   0.000,   0.000,   0.042,   0.196,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:29:809, 712091019086540,    8.108,    2.000, 1200,   1.497,  51.806,  14.390,   0.409,  38.281,  10.634, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.203,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:30:820, 712093853294281,    9.119,    2.000, 1200,   1.630,  53.453,  14.848,   0.520,  38.807,  10.780, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.211,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:31:828, 712096679459412,   10.127,    3.000, 1200,   2.925,  56.402,  15.667,   1.694,  40.515,  11.254, 37,  0,   0.000,   0.000,   0.000,   0.013,   0.224,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:32:833, 712099495454749,   11.131,    1.000, 1200,   1.528,  57.937,  16.094,   0.321,  40.837,  11.344, 36,  0,   0.000,   0.000,   0.000,   0.003,   0.227,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:33:834, 712102303233362,   12.133,    3.000, 1200,   2.666,  60.608,  16.835,   1.463,  42.303,  11.751, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.235,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:34:849, 712105146859724,   13.148,    1.000, 1200,   1.358,  61.986,  17.218,   0.307,  42.615,  11.837, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:35:851, 712107957743949,   14.150,    3.000, 1100,   2.828,  64.821,  18.006,   1.633,  44.252,  12.292, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:36:870, 712110811861638,   15.168,   11.000, 4100,   9.479,  74.473,  20.687,   7.206,  51.589,  14.330, 63,  0,   0.000,   0.000,   0.000,   0.003,   0.252,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:37:876, 712113634349111,   16.175,    7.000, 1200,   4.915,  79.422,  22.062,   3.144,  54.754,  15.209, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.262,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:38:885, 712116463241447,   17.184,    2.000, 1200,   1.649,  81.086,  22.524,   0.412,  55.169,  15.325, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.269,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:39:901, 712119309084081,   18.200,    4.000, 1200,   3.033,  84.165,  23.379,   1.781,  56.978,  15.827, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.274,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:40:905, 712122126360600,   19.205,    2.000, 1300,   1.610,  85.783,  23.829,   0.353,  57.332,  15.926, 38,  0,   0.000,   0.000,   0.000,   0.010,   0.285,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:41:908, 712124938340145,   20.208,    5.000, 1100,   3.519,  89.314,  24.809,   2.076,  59.415,  16.504, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.293,   0.081,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:42:912, 712127750334443,   21.211,    2.000, 1200,   1.661,  90.980,  25.272,   0.381,  59.798,  16.610, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.296,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:43:916, 712130564836971,   22.215,    4.000, 1200,   2.487,  93.477,  25.966,   1.272,  61.075,  16.965, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.303,   0.084,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:44:919, 712133377157062,   23.218,    1.000, 1200,   1.379,  94.861,  26.350,   0.290,  61.366,  17.046, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.311,   0.086,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:45:935, 712136225078325,   24.234,    3.000, 1200,   2.885,  97.792,  27.164,   1.656,  63.048,  17.513, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.317,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:46:937, 712139035595192,   25.237,    2.000, 1100,   1.481,  99.277,  27.577,   0.368,  63.417,  17.616, 37,  0,   0.000,   0.000,   0.000,   0.011,   0.328,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:47:955, 712141888106102,   26.254,    4.000, 2900,   2.829, 102.156,  28.377,   1.430,  64.872,  18.020, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.335,   0.093,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:48:957, 712144698175183,   27.257,    2.000, 2100,   1.472, 103.632,  28.787,   0.385,  65.257,  18.127, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.343,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:49:963, 712147516634622,   28.262,    2.000, 4100,   1.506, 105.146,  29.207,   0.430,  65.690,  18.247, 41,  0,   0.000,   0.000,   0.000,   0.005,   0.348,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:50:968, 712150335399331,   29.268,    3.000, 1200,   2.912, 108.075,  30.021,   1.541,  67.239,  18.678, 38,  0,   0.000,   0.000,   0.000,   0.009,   0.357,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:51:985, 712153185804034,   30.285,    1.000, 1200,   1.392, 109.490,  30.414,   0.313,  67.557,  18.766, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.365,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:52:992, 712156008789524,   31.292,    3.000, 1200,   2.624, 112.133,  31.148,   1.392,  68.959,  19.155, 36,  0,   0.000,   0.000,   0.000,   0.005,   0.370,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:53:993, 712158815629604,   32.293,    2.000, 1200,   1.360, 113.494,  31.526,   0.323,  69.282,  19.245, 36,  0,   0.000,   0.000,   0.000,   0.009,   0.379,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:54:998, 712161632728340,   33.298,    4.000, 1300,   2.785, 116.293,  32.304,   1.303,  70.592,  19.609, 36,  0,   0.000,   0.000,   0.000,   0.014,   0.393,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:56:001, 712164444791933,   34.301,    1.000, 1200,   1.571, 117.870,  32.742,   0.341,  70.934,  19.704, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.402,   0.112,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:57:007, 712167265586272,   35.307,    4.000, 1300,   2.424, 120.309,  33.419,   1.194,  72.136,  20.038, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.411,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:58:025, 712170119914255,   36.326,    2.000, 1600,   1.637, 121.976,  33.882,   0.394,  72.537,  20.149, 37,  0,   0.000,   0.000,   0.000,   0.008,   0.419,   0.116,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:12:59:031, 712172939154096,   37.331,    4.000, 1200,   3.040, 125.034,  34.732,   1.681,  74.228,  20.619, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.429,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:00:034, 712175751975963,   38.335,    2.000, 1300,   1.467, 126.505,  35.140,   0.378,  74.607,  20.724, 37,  0,   0.000,   0.000,   0.000,   0.005,   0.434,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:01:056, 712178616650886,   39.357,    4.000, 1200,   3.519, 130.101,  36.139,   1.905,  76.554,  21.265, 37,  0,   0.000,   0.000,   0.000,   0.011,   0.445,   0.124,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:02:067, 712181451451470,   40.368,    1.000, 1200,   1.368, 131.485,  36.524,   0.327,  76.885,  21.357, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.452,   0.126,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:03:077, 712184282827958,   41.378,    3.000, 1200,   2.809, 134.322,  37.312,   1.598,  78.499,  21.805, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.459,   0.128,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:04:080, 712187093972535,   42.381,    1.000, 1200,   1.507, 135.833,  37.731,   0.313,  78.812,  21.892, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.468,   0.130,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:05:085, 712189911245178,   43.386,    3.000, 1300,   3.186, 139.035,  38.621,   1.977,  80.799,  22.444, 37,  0,   0.000,   0.000,   0.000,   0.011,   0.478,   0.133,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:06:090, 712192728011581,   44.391,    2.000, 1200,   1.669, 140.712,  39.087,   0.332,  81.133,  22.537, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.486,   0.135,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:07:095, 712195548563902,   45.397,    4.000, 1300,   2.768, 143.497,  39.860,   1.351,  82.492,  22.915, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.495,   0.138,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:08:098, 712198357980737,   46.399,    2.000, 1200,   1.376, 144.877,  40.243,   0.312,  82.805,  23.001, 35,  0,   0.000,   0.000,   0.000,   0.011,   0.506,   0.141,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:09:105, 712201180217492,   47.406,    2.000, 4100,   2.047, 146.938,  40.816,   0.876,  83.688,  23.247, 44,  0,   0.000,   0.000,   0.000,   0.011,   0.518,   0.144,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:10:110, 712204000117642,   48.412,    3.000, 1200,   2.182, 149.133,  41.426,   0.973,  84.666,  23.518, 36,  0,   0.000,   0.000,   0.000,   0.006,   0.524,   0.145,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:11:112, 712206808200212,   49.414,    1.000, 1200,   1.486, 150.622,  41.839,   0.324,  84.991,  23.609, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.531,   0.148,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:12:118, 712209627338863,   50.419,    3.000, 1200,   2.576, 153.213,  42.559,   1.365,  86.364,  23.990, 35,  0,   0.000,   0.000,   0.000,   0.013,   0.545,   0.151,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:13:120, 712212437401274,   51.422,    1.000, 1100,   1.381, 154.598,  42.944,   0.320,  86.684,  24.079, 36,  0,   0.000,   0.000,   0.000,   0.006,   0.551,   0.153,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:14:126, 712215256417440,   52.427,    4.000, 1200,   3.265, 157.881,  43.856,   1.780,  88.474,  24.576, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.558,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:15:131, 712218074074386,   53.433,    1.000, 1200,   1.551, 159.440,  44.289,   0.288,  88.764,  24.657, 35,  0,   0.000,   0.000,   0.000,   0.006,   0.565,   0.157,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:16:136, 712220894529120,   54.439,    4.000, 1200,   2.460, 161.916,  44.977,   1.103,  89.873,  24.965, 36,  0,   0.000,   0.000,   0.000,   0.009,   0.574,   0.159,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:17:152, 712223740770426,   55.454,    1.000, 1200,   1.419, 163.357,  45.377,   0.320,  90.198,  25.055, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.581,   0.161,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:18:156, 712226556360271,   56.459,    3.000, 1200,   2.719, 166.088,  46.136,   1.490,  91.695,  25.471, 35,  0,   0.000,   0.000,   0.000,   0.005,   0.586,   0.163,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:19:162, 712229375041628,   57.464,    1.000, 1200,   1.380, 167.476,  46.521,   0.325,  92.021,  25.561, 36,  0,   0.000,   0.000,   0.000,   0.012,   0.598,   0.166,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
12:13:20:168, 712232194170067,   58.470,    4.000, 1200,   2.531, 170.021,  47.228,   1.267,  93.295,  25.915, 36,  0,   0.000,   0.000,   0.000,   0.006,   0.605,   0.168,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
