System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:24:37:953, 724224258724486,    1.001,   22.000, 1500,  14.554,  14.564,   4.046,  12.107,  12.116,   3.365, 69,  0,   0.000,   0.000,   0.000,   0.029,   0.029,   0.008,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:38:980, 724227138216124,    2.028,   18.000, 4100,  11.945,  26.834,   7.454,   9.731,  22.112,   6.142, 69,  0,   0.000,   0.000,   0.000,   0.035,   0.066,   0.018,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:40:002, 724230003939118,    3.050,   10.000, 1200,  10.418,  37.484,  10.412,   8.307,  30.604,   8.501, 40,  0,   0.000,   0.000,   0.000,   0.023,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:41:010, 724232827916196,    4.058,    4.000, 1200,   2.634,  40.138,  11.149,   1.208,  31.820,   8.839, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:42:028, 724235682601027,    5.076,    6.000, 1800,   3.814,  44.022,  12.228,   2.333,  34.196,   9.499, 41,  0,   0.000,   0.000,   0.000,   0.026,   0.128,   0.036,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:43:034, 724238502131426,    6.082,    3.000, 1200,   1.942,  45.975,  12.771,   0.727,  34.927,   9.702, 40,  0,   0.000,   0.000,   0.000,   0.016,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:44:041, 724241326446174,    7.089,   10.000, 1400,   5.191,  51.205,  14.224,   3.487,  38.440,  10.678, 53,  0,   0.000,   0.000,   0.000,   0.040,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:45:047, 724244145633107,    8.095,    2.000, 1300,   2.248,  53.465,  14.851,   0.817,  39.262,  10.906, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:46:050, 724246957192711,    9.098,    2.000, 1200,   1.735,  55.205,  15.335,   0.406,  39.669,  11.019, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.205,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:47:056, 724249778024281,   10.104,    4.000, 1200,   2.614,  57.836,  16.066,   1.409,  41.087,  11.413, 40,  0,   0.000,   0.000,   0.000,   0.009,   0.214,   0.060,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:48:071, 724252623779771,   11.120,    1.000, 1200,   1.266,  59.121,  16.423,   0.260,  41.350,  11.486, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.222,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:49:087, 724255471352687,   12.135,    4.000, 1200,   2.876,  62.042,  17.234,   1.606,  42.982,  11.939, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.228,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:50:104, 724258320503521,   13.152,    1.000, 1200,   1.582,  63.651,  17.681,   0.330,  43.317,  12.033, 41,  0,   0.000,   0.000,   0.000,   0.012,   0.240,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:51:106, 724261131282899,   14.154,    4.000, 1200,   2.947,  66.606,  18.502,   1.730,  45.051,  12.514, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:52:119, 724263969798442,   15.167,    2.000, 1200,   1.398,  68.021,  18.895,   0.348,  45.403,  12.612, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.256,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:53:123, 724266784248296,   16.171,    4.000, 1200,   2.371,  70.402,  19.556,   1.080,  46.488,  12.913, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.261,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:54:128, 724269602661139,   17.176,    1.000, 1200,   1.405,  71.814,  19.948,   0.311,  46.800,  13.000, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.273,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:55:136, 724272428259613,   18.184,    4.000, 1200,   3.146,  74.985,  20.829,   1.721,  48.535,  13.482, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.280,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:56:143, 724275250413065,   19.191,    2.000, 1100,   1.378,  76.372,  21.214,   0.308,  48.845,  13.568, 39,  0,   0.000,   0.000,   0.000,   0.006,   0.286,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:57:148, 724278067918379,   20.196,    4.000, 1200,   3.040,  79.428,  22.063,   1.631,  50.484,  14.023, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.298,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:58:152, 724280882851986,   21.201,    2.000, 1200,   1.570,  81.004,  22.501,   0.351,  50.837,  14.121, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.306,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:24:59:156, 724283697204247,   22.204,    3.000, 1200,   2.905,  83.921,  23.311,   1.625,  52.468,  14.575, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.314,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:00:161, 724286512999435,   23.209,    3.000, 1200,   1.962,  85.892,  23.859,   0.563,  53.033,  14.731, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.327,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:01:167, 724289335154960,   24.216,    4.000, 1200,   2.856,  88.767,  24.658,   1.494,  54.537,  15.149, 38,  0,   0.000,   0.000,   0.000,   0.011,   0.338,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:02:171, 724292149201205,   25.220,    1.000, 1200,   1.327,  90.099,  25.028,   0.315,  54.853,  15.237, 38,  0,   0.000,   0.000,   0.000,   0.005,   0.342,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:03:174, 724294959958071,   26.222,    3.000, 1600,   2.943,  93.050,  25.847,   1.742,  56.600,  15.722, 40,  0,   0.000,   0.000,   0.000,   0.010,   0.352,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:04:192, 724297815463645,   27.241,    2.000, 1200,   1.893,  94.979,  26.383,   0.468,  57.077,  15.855, 38,  0,   0.000,   0.000,   0.000,   0.007,   0.359,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:05:194, 724300624096126,   28.243,    2.000, 1600,   1.530,  96.511,  26.809,   0.335,  57.412,  15.948, 39,  0,   0.000,   0.000,   0.000,   0.007,   0.366,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:06:197, 724303434097805,   29.245,    3.000, 1100,   2.614,  99.131,  27.536,   1.400,  58.815,  16.338, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.374,   0.104,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:07:212, 724306280756618,   30.261,    2.000, 1200,   1.577, 100.732,  27.981,   0.351,  59.172,  16.437, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.380,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:08:215, 724309093157731,   31.264,    3.000, 1100,   2.909, 103.650,  28.792,   1.554,  60.731,  16.870, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.383,   0.106,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:09:220, 724311909170570,   32.269,    1.000, 1200,   1.555, 105.212,  29.226,   0.352,  61.085,  16.968, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.391,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:10:225, 724314727177489,   33.274,    4.000, 1200,   3.231, 108.460,  30.128,   1.876,  62.971,  17.492, 37,  0,   0.000,   0.000,   0.000,   0.003,   0.394,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:11:231, 724317547755443,   34.280,    1.000, 1200,   1.576, 110.045,  30.568,   0.336,  63.310,  17.586, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.403,   0.112,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:12:236, 724320363813385,   35.285,    4.000, 1200,   2.465, 112.522,  31.256,   1.206,  64.521,  17.923, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.410,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:13:241, 724323180710676,   36.290,    2.000, 1200,   1.577, 114.106,  31.696,   0.330,  64.853,  18.015, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.415,   0.115,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:14:250, 724326008554163,   37.298,    5.000, 1200,   3.191, 117.326,  32.590,   1.659,  66.526,  18.480, 38,  0,   0.000,   0.000,   0.000,   0.008,   0.422,   0.117,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:15:264, 724328852389704,   38.313,    2.000, 1200,   1.462, 118.809,  33.002,   0.285,  66.815,  18.560, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.432,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:16:270, 724331673007980,   39.319,    3.000, 1200,   2.635, 121.460,  33.739,   1.438,  68.262,  18.962, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.442,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:17:277, 724334494867071,   40.326,    1.000, 1200,   1.334, 122.804,  34.112,   0.296,  68.560,  19.044, 37,  0,   0.000,   0.000,   0.000,   0.005,   0.447,   0.124,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:18:282, 724337312608312,   41.331,    3.000, 1200,   2.751, 125.569,  34.880,   1.636,  70.205,  19.501, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.453,   0.126,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:19:284, 724340121118192,   42.333,    1.000, 1200,   1.369, 126.941,  35.261,   0.339,  70.544,  19.596, 36,  0,   0.000,   0.000,   0.000,   0.004,   0.457,   0.127,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:20:290, 724342941141816,   43.339,    3.000, 1200,   3.049, 130.008,  36.113,   1.680,  72.235,  20.065, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.463,   0.129,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:21:296, 724345762823041,   44.345,    2.000, 1200,   1.401, 131.419,  36.505,   0.310,  72.547,  20.152, 37,  0,   0.000,   0.000,   0.000,   0.012,   0.475,   0.132,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:22:304, 724348587711038,   45.353,    5.000, 4100,   3.735, 135.182,  37.551,   2.189,  74.753,  20.765, 44,  0,   0.000,   0.000,   0.000,   0.004,   0.480,   0.133,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:23:309, 724351405913278,   46.359,    2.000, 1100,   1.895, 137.087,  38.080,   0.640,  75.397,  20.944, 36,  0,   0.000,   0.000,   0.000,   0.003,   0.483,   0.134,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:24:312, 724354217020557,   47.361,    1.000, 1200,   1.336, 138.428,  38.452,   0.293,  75.691,  21.025, 38,  0,   0.000,   0.000,   0.000,   0.006,   0.489,   0.136,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:25:316, 724357032274399,   48.366,    4.000, 1200,   3.010, 141.451,  39.292,   1.587,  77.285,  21.468, 37,  0,   0.000,   0.000,   0.000,   0.011,   0.500,   0.139,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:26:321, 724359849719112,   49.371,    1.000, 1200,   1.406, 142.864,  39.684,   0.292,  77.579,  21.550, 36,  0,   0.000,   0.000,   0.000,   0.011,   0.511,   0.142,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:27:327, 724362669516167,   50.377,    4.000, 1200,   3.029, 145.911,  40.531,   1.822,  79.411,  22.059, 36,  0,   0.000,   0.000,   0.000,   0.007,   0.518,   0.144,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:28:333, 724365489411821,   51.383,    1.000, 1200,   1.502, 147.422,  40.951,   0.300,  79.713,  22.142, 36,  0,   0.000,   0.000,   0.000,   0.015,   0.533,   0.148,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:29:340, 724368312143456,   52.390,    4.000, 1200,   2.509, 149.949,  41.652,   1.285,  81.006,  22.502, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.540,   0.150,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:30:358, 724371165789163,   53.408,    2.000, 1100,   2.037, 152.023,  42.229,   0.476,  81.490,  22.636, 36,  0,   0.000,   0.000,   0.000,   0.011,   0.551,   0.153,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:31:375, 724374015718535,   54.424,   16.000, 1100,   6.031, 158.154,  43.932,   4.002,  85.559,  23.766, 37,  0,   0.000,   0.000,   0.000,   0.002,   0.553,   0.154,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:32:385, 724376845526685,   55.434,    2.000, 1200,   1.786, 159.957,  44.433,   0.435,  85.998,  23.888, 38,  0,   0.000,   0.000,   0.000,   0.004,   0.557,   0.155,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:33:389, 724379662920662,   56.439,    4.000, 1200,   2.273, 162.242,  45.067,   1.019,  87.022,  24.173, 37,  0,   0.000,   0.000,   0.000,   0.009,   0.566,   0.157,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:34:393, 724382477159686,   57.443,    4.000, 1200,   2.331, 164.582,  45.717,   1.117,  88.144,  24.484, 36,  0,   0.000,   0.000,   0.000,   0.011,   0.577,   0.160,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:35:397, 724385291997998,   58.447,    3.000, 1200,   2.993, 167.588,  46.552,   1.660,  89.810,  24.947, 36,  0,   0.000,   0.000,   0.000,   0.009,   0.586,   0.163,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:36:401, 724388104236275,   59.450,    2.000, 1200,   1.670, 169.263,  47.017,   0.363,  90.174,  25.048, 36,  0,   0.000,   0.000,   0.000,   0.010,   0.595,   0.165,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:37:404, 724390916321116,   60.453,    4.000, 1200,   2.806, 172.077,  47.799,   1.580,  91.759,  25.489, 37,  0,   0.000,   0.000,   0.000,   0.012,   0.607,   0.169,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:38:408, 724393730967999,   61.457,    1.000, 1200,   1.569, 173.653,  48.237,   0.352,  92.113,  25.587, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.615,   0.171,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:39:412, 724396545255705,   62.461,    4.000, 1200,   3.161, 176.826,  49.118,   1.945,  94.066,  26.129, 37,  0,   0.000,   0.000,   0.000,   0.013,   0.627,   0.174,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:40:415, 724399357104482,   63.464,    2.000, 1200,   1.650, 178.481,  49.578,   0.342,  94.409,  26.225, 37,  0,   0.000,   0.000,   0.000,   0.007,   0.635,   0.176,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:41:420, 724402173511818,   64.469,    4.000, 1400,   2.470, 180.963,  50.268,   1.256,  95.671,  26.575, 50,  0,   0.000,   0.000,   0.000,   0.007,   0.642,   0.178,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:42:426, 724404996210456,   65.476,    3.000, 1200,   2.222, 183.200,  50.889,   0.933,  96.611,  26.836, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.652,   0.181,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:43:429, 724407807082444,   66.479,    2.000, 1200,   1.336, 184.540,  51.261,   0.295,  96.906,  26.918, 36,  0,   0.000,   0.000,   0.000,   0.005,   0.657,   0.182,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:44:432, 724410618128838,   67.482,    4.000, 1200,   3.222, 187.771,  52.159,   1.977,  98.889,  27.469, 37,  0,   0.000,   0.000,   0.000,   0.010,   0.667,   0.185,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:45:437, 724413434461849,   68.486,    1.000, 1200,   1.475, 189.252,  52.570,   0.283,  99.174,  27.548, 36,  0,   0.000,   0.000,   0.000,   0.008,   0.675,   0.188,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:25:46:453, 724416282740959,   69.502,    4.000, 1200,   3.062, 192.363,  53.434,   1.692, 100.893,  28.026, 37,  0,   0.000,   0.000,   0.000,   0.006,   0.681,   0.189,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
