System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:16:13:787, 722810940815060,    1.006,   23.000, 1300,  13.805,  13.884,   3.857,  11.349,  11.414,   3.171, 71,  0,   0.000,   0.000,   0.000,   0.037,   0.038,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:14:828, 722813860266638,    2.047,   18.000, 1300,  11.301,  25.653,   7.126,   8.902,  20.685,   5.746, 41,  0,   0.000,   0.000,   0.000,   0.046,   0.086,   0.024,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:15:836, 722816684191596,    3.055,    4.000, 1200,   2.622,  28.295,   7.860,   1.391,  22.086,   6.135, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.098,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:16:842, 722819504400213,    4.061,    4.000, 1300,   2.659,  30.969,   8.603,   1.286,  23.380,   6.495, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.110,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:17:851, 722822333697665,    5.070,    6.000, 1300,   3.991,  34.997,   9.721,   2.353,  25.755,   7.154, 40,  0,   0.000,   0.000,   0.000,   0.017,   0.128,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:18:856, 722825151314446,    6.075,    2.000, 1200,   1.817,  36.824,  10.229,   0.534,  26.292,   7.303, 39,  0,   0.000,   0.000,   0.000,   0.016,   0.143,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:19:861, 722827969293742,    7.080,   10.000, 1200,   4.539,  41.387,  11.496,   2.925,  29.232,   8.120, 40,  0,   0.000,   0.000,   0.000,   0.045,   0.189,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:20:866, 722830784311590,    8.085,    2.000, 1100,   1.549,  42.943,  11.929,   0.341,  29.574,   8.215, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.193,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:21:870, 722833600202647,    9.089,    3.000, 4100,   2.632,  45.587,  12.663,   1.239,  30.818,   8.561, 49,  0,   0.000,   0.000,   0.000,   0.009,   0.202,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:22:877, 722836423618711,   10.096,    2.000, 1200,   2.163,  47.765,  13.268,   1.018,  31.843,   8.845, 39,  0,   0.000,   0.000,   0.000,   0.009,   0.211,   0.059,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:23:883, 722839243008111,   11.102,    1.000, 1200,   1.591,  49.365,  13.712,   0.355,  32.200,   8.944, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.219,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:24:889, 722842063735914,   12.108,    4.000, 1200,   2.693,  52.075,  14.465,   1.491,  33.701,   9.361, 40,  0,   0.000,   0.000,   0.000,   0.003,   0.222,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:25:902, 722844902623398,   13.121,    8.000, 1200,   2.733,  54.842,  15.234,   1.416,  35.134,   9.760, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.230,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:26:908, 722847723678841,   14.127,    4.000, 1200,   2.842,  57.702,  16.028,   1.428,  36.572,  10.159, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.235,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:27:911, 722850533396196,   15.130,    1.000, 1200,   1.394,  59.100,  16.417,   0.351,  36.923,  10.257, 40,  0,   0.000,   0.000,   0.000,   0.015,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
13:16:28:914, 722853346961656,   16.133,    4.000, 1200,   3.129,  62.241,  17.289,   1.934,  38.865,  10.796, 39,  0,   0.000,   0.000,   0.000,   0.004,   0.254,   0.070,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
