Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.9649122807017544,0.9512195121951219,0.9285714285714286,0.975,2.5645043976215742e-09,6.677194444444445e-05,0.0260770320892334,0.0,0.5024089813232422,0.0010519027709960938,376256824.35820866,370917481.39614093,37.00238115288221,1.920571320521328
NaiveBayes,0,0.9385964912280702,0.9090909090909091,0.8333333333333334,1.0,1.2244381065049578e-09,6.723527777777778e-05,0.008060455322265625,0.0087754768237733,0.3538351058959961,0.0016546249389648438,766552826.346776,742455583.7173531,116.44459943042652,2.6526381232052056
RandomForest,0,0.9736842105263158,0.9629629629629629,0.9285714285714286,1.0,5.5422925108347517e-08,7.383027777777779e-05,0.6586439609527588,0.035080993384645695,0.48197078704833984,0.31112003326416016,17568257.33435828,17374813.059405383,1.478316462687727,2.02021416378636
GradientBoosting,0,0.9649122807017544,0.95,0.9047619047619048,1.0,5.0930179244974145e-08,6.994194444444446e-05,0.5200378894805908,0.008790116561086555,0.41570091247558594,0.18259429931640625,18945786.074314144,18652987.56225656,1.8554653424686038,2.321169503707605
SVM,0,0.9736842105263158,0.9629629629629629,0.9285714285714286,1.0,2.708693593694994e-09,6.361055555555555e-05,0.02507925033569336,0.017636700680381374,0.516606330871582,0.02813243865966797,359466354.10987544,355508266.1266836,38.82429488494504,1.8847701863885098
KNN,0,0.956140350877193,0.9382716049382716,0.9047619047619048,0.9743589743589743,1.4029787078688282e-09,6.916694444444444e-05,0.014093399047851562,0.9521245956420898,0.5943946838378906,0.10838699340820312,681507385.3327413,668771093.7278141,67.84313334425521,1.608595057922761
DecisionTree,0,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,2.075138185995161e-09,6.394472222222222e-05,0.01800704002380371,0.0087754768237733,0.3509025573730469,0.004799842834472656,448078382.2873938,436000797.8591622,51.636724313066615,2.64980844928698
LogisticRegression,10,0.9649122807017544,0.9512195121951219,0.9285714285714286,0.975,3.082093688559745e-09,7.48813888888889e-05,0.025104522705078125,0.0,0.48590946197509766,0.0010519027709960938,313070392.4683923,308627708.4067566,38.43579469872066,1.9857861519708482
NaiveBayes,10,0.9473684210526315,0.9230769230769231,0.8571428571428571,1.0,1.0225027446228677e-09,6.715833333333333e-05,0.007079362869262695,0.008783842387952304,0.3508796691894531,0.0016546249389648438,926519196.1925265,902762293.7260514,133.821141612324,2.6999809457216277
RandomForest,10,0.9736842105263158,0.9629629629629629,0.9285714285714286,1.0,5.711364626200947e-08,6.773388888888888e-05,0.6731998920440674,0.035869447808516655,0.4831705093383789,0.35308170318603516,17048188.554790024,16860470.762895435,1.4463522974875624,2.0151979305599865
GradientBoosting,10,0.9736842105263158,0.9629629629629629,0.9285714285714286,1.0,5.005532578491782e-08,6.786055555555557e-05,0.5149528980255127,0.008754562913325794,0.40389060974121094,0.18329620361328125,19452160.090019766,19237972.14108061,1.8908218873215776,2.4107621891734365
SVM,10,0.9649122807017544,0.9512195121951219,0.9285714285714286,0.975,3.6553466824083904e-09,6.879666666666666e-05,0.02998805046081543,0.008758745695415297,0.5198917388916016,0.03235912322998047,263972849.7834314,260226893.60025188,32.17655919188808,1.855986945972497
KNN,10,0.9649122807017544,0.9512195121951219,0.9285714285714286,0.975,1.4900939872612626e-09,6.719138888888889e-05,0.013010740280151367,0.052613124512789544,0.5894956588745117,0.10838699340820312,647551288.0064883,638362090.1279039,74.16275015294738,1.6368437429106821
DecisionTree,10,0.9122807017543859,0.8809523809523809,0.8809523809523809,0.8809523809523809,1.9005796784122044e-09,6.366722222222222e-05,0.014101028442382812,0.008781750996907553,0.3505897521972656,0.004647254943847656,480001292.298637,463517731.43673325,64.69604011381084,2.6021316825058673
LogisticRegression,20,0.956140350877193,0.9397590361445783,0.9285714285714286,0.9512195121951219,2.1194685591538936e-09,6.284722222222222e-05,0.022055864334106445,0.0,0.48555755615234375,0.0010519027709960938,451122686.7450635,443393713.9976903,43.350844763705304,1.969159657309923
