Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
DecisionTree,0,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,2.075138185995161e-09,6.394472222222222e-05,0.0180070400238037,0.0087754768237733,0.3509025573730469,0.0047998428344726,448078382.2873938,436000797.8591622,51.636724313066615,2.64980844928698
DecisionTree,10,0.912280701754386,0.8809523809523809,0.8809523809523809,0.8809523809523809,1.9005796784122044e-09,6.366722222222222e-05,0.0141010284423828,0.0087817509969075,0.3505897521972656,0.0046472549438476,480001292.298637,463517731.4367333,64.69604011381084,2.602131682505868
DecisionTree,20,0.9035087719298246,0.8641975308641975,0.8333333333333334,0.8974358974358975,2.111408712982181e-09,0.0001449188888888,0.0191035270690917,0.0087733854327285,0.350687026977539,0.0046472549438476,427917516.099333,409299026.545928,47.29539046177709,2.5763963375459933
DecisionTree,30,0.9035087719298246,0.8705882352941177,0.8809523809523809,0.8604651162790697,1.482426913041744e-09,6.203472222222222e-05,0.0150060653686523,0.0087712940416838,0.3506374359130859,0.0049524307250976,609479471.7912561,587272281.4427226,60.20957191198524,2.5767607203064915
DecisionTree,40,0.868421052631579,0.8235294117647058,0.8333333333333334,0.813953488372093,2.2203519970624007e-09,6.943388888888888e-05,0.0190627574920654,0.008777568214818,0.3538808822631836,0.0051050186157226,391118639.648366,370900385.5488961,45.55589887732903,2.45399256121931
DecisionTree,50,0.8596491228070176,0.8048780487804879,0.7857142857142857,0.825,1.7280540325219256e-09,7.012027777777778e-05,0.0180699825286865,0.0087754768237733,0.3539295196533203,0.0058679580688476,497466576.0609602,465771343.7385098,47.5733234076073,2.428870933538004
DecisionTree,60,0.8245614035087719,0.7560975609756098,0.7380952380952381,0.775,2.335159595087792e-09,6.273444444444445e-05,0.0190882682800292,0.0087461973491467,0.3536386489868164,0.0061731338500976,353107087.5169764,323788387.98261404,43.1972870148442,2.331649569047843
DecisionTree,70,0.8596491228070176,0.813953488372093,0.8333333333333334,0.7954545454545454,1.5436114520032444e-09,6.14536111111111e-05,0.0148947238922119,0.0,0.3535432815551758,0.0063257217407226,556907712.5538265,527304644.7768789,57.71500895404358,2.4315244205053754
DecisionTree,80,0.8333333333333334,0.7654320987654321,0.7380952380952381,0.7948717948717948,2.595672949446835e-09,6.395805555555556e-05,0.0170814990997314,0.0,0.3505449295043945,0.0070886611938476,321047123.256004,294887728.02773696,48.78572591713774,2.377251140136336
DecisionTree,90,0.7807017543859649,0.691358024691358,0.6666666666666666,0.717948717948718,1.7332188217043275e-09,6.431111111111112e-05,0.018017292022705,0.0,0.3504371643066406,0.0061731338500976,450434615.9928477,398886751.0748148,43.33069328077372,2.227793835538609
DecisionTree,100,0.7982456140350878,0.7160493827160493,0.6904761904761905,0.7435897435897436,1.8728788212308803e-09,6.742249999999999e-05,0.0200076103210449,0.0087754768237733,0.3505859375,0.0072412490844726,426213167.12336487,382325527.2038649,39.897099215065,2.276889996579192
GradientBoosting,0,0.9649122807017544,0.95,0.9047619047619048,1.0,5.093017924497415e-08,6.994194444444446e-05,0.5200378894805908,0.0087901165610865,0.4157009124755859,0.1825942993164062,18945786.074314144,18652987.56225656,1.855465342468604,2.321169503707605
GradientBoosting,10,0.9736842105263158,0.9629629629629628,0.9285714285714286,1.0,5.0055325784917826e-08,6.786055555555557e-05,0.5149528980255127,0.0087545629133257,0.4038906097412109,0.1832962036132812,19452160.090019766,19237972.14108061,1.8908218873215776,2.4107621891734365
GradientBoosting,20,0.9649122807017544,0.95,0.9047619047619048,1.0,5.4714669022517684e-08,6.76038888888889e-05,0.5438985824584961,0.0086311708416855,0.4047040939331054,0.1833877563476562,17635348.9464525,17362802.64455278,1.7740665481057492,2.3842414622601944
GradientBoosting,30,0.9473684210526316,0.925,0.8809523809523809,0.9736842105263158,5.767795138748556e-08,6.52425e-05,0.5503320693969727,0.0087754768237733,0.4078731536865234,0.1820297241210937,16425139.906376475,16037324.10303148,1.72144869204281,2.3227035476346765
GradientBoosting,40,0.9210526315789472,0.8888888888888888,0.8571428571428571,0.9230769230769232,5.0520193594132206e-08,6.387361111111111e-05,0.5352046489715576,0.0095513829013757,0.4065065383911133,0.1819229125976562,18231375.734196022,17594724.51808124,1.7209354091912883,2.2657756877031394
GradientBoosting,50,0.9385964912280702,0.9113924050632912,0.8571428571428571,0.972972972972973,5.2066864527316624e-08,6.627944444444444e-05,0.5448012351989746,0.0084659509491502,0.4028902053833008,0.1815109252929687,18026752.71017405,17504269.045913715,1.7228237209948176,2.329658251024272
GradientBoosting,60,0.9210526315789472,0.891566265060241,0.8809523809523809,0.902439024390244,4.813058050221584e-08,6.389055555555555e-05,0.5614750385284424,0.0087901165610865,0.4064788818359375,0.1846389770507812,19136536.93698009,18523904.25706989,1.6404159906964235,2.265929849587368
