System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:37:44:255, 1392478076432337,    0.109,   32.000, 4100,  10.171,   1.113,   0.309,   7.886,   0.863,   0.240, 47,  0,   0.000,   0.000,   0.000,   0.028,   0.003,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:44:362, 1392478376781161,    0.217,    1.000, 1200,   2.230,   1.352,   0.376,   0.829,   0.952,   0.264, 46,  0,   0.000,   0.000,   0.000,   0.014,   0.005,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:44:470, 1392478679911506,    0.325,    9.000, 1200,   4.022,   1.787,   0.496,   2.588,   1.232,   0.342, 46,  0,   0.000,   0.000,   0.000,   0.007,   0.005,   0.001,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:44:578, 1392478981484523,    0.432,    2.000, 1200,   1.633,   1.963,   0.545,   0.429,   1.278,   0.355, 44,  0,   0.000,   0.000,   0.000,   0.002,   0.005,   0.002,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:44:687, 1392479286418769,    0.541,    1.000, 1200,   1.376,   2.113,   0.587,   0.230,   1.303,   0.362, 46,  0,   0.000,   0.000,   0.000,   0.015,   0.007,   0.002,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:44:794, 1392479587881254,    0.649,    6.000, 1100,   3.071,   2.443,   0.679,   1.109,   1.422,   0.395, 45,  0,   0.000,   0.000,   0.000,   0.151,   0.023,   0.006,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:44:902, 1392479889955058,    0.756,    3.000, 1200,   3.896,   2.863,   0.795,   0.587,   1.486,   0.413, 46,  0,   0.000,   0.000,   0.000,   0.018,   0.025,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:45:010, 1392480192910423,    0.864,    2.000, 1300,   3.494,   3.240,   0.900,   0.466,   1.536,   0.427, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.025,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:45:120, 1392480500778210,    0.974,    2.000, 1200,   4.944,   3.783,   1.051,   1.230,   1.671,   0.464, 45,  0,   0.000,   0.000,   0.000,   0.076,   0.034,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:45:227, 1392480801520800,    1.082,    1.000, 1300,   4.118,   4.225,   1.174,   0.778,   1.755,   0.487, 45,  0,   0.000,   0.000,   0.000,   0.010,   0.035,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
07:37:45:228, 1392480803906515,    1.082,   27.000, 1200,   0.000,   4.225,   1.174,   0.000,   1.755,   0.487, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.035,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.082452
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 4.224976
Cumulative Processor Energy_0 (mWh) = 1.173604
Average Processor Power_0 (Watt) = 3.903152

Cumulative IA Energy_0 (Joules) = 1.754761
Cumulative IA Energy_0 (mWh) = 0.487434
Average IA Power_0 (Watt) = 1.621098

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.034668
Cumulative GT Energy_0 (mWh) = 0.009630
Average GT Power_0 (Watt) = 0.032027
