System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
03:53:36:991, 628182308910296,    1.040,   23.000, 4300,  13.935,  14.494,   4.026,  11.413,  11.871,   3.297, 72,  0,   0.000,   0.000,   0.000,   0.031,   0.032,   0.009,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:38:035, 628185234401806,    2.084,   19.000, 4100,  12.381,  27.415,   7.615,  10.040,  22.349,   6.208, 69,  0,   0.000,   0.000,   0.000,   0.042,   0.076,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:39:078, 628188159630723,    3.127,   17.000, 4600,  16.182,  44.302,  12.306,  13.863,  36.816,  10.227, 63,  0,   0.000,   0.000,   0.000,   0.024,   0.101,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:40:113, 628191062353718,    4.163,   15.000, 1500,  13.848,  58.641,  16.289,  11.656,  48.886,  13.579, 51,  0,   0.000,   0.000,   0.000,   0.015,   0.116,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:41:137, 628193933071316,    5.187,   18.000, 4100,  14.690,  73.685,  20.468,  12.337,  61.520,  17.089, 71,  0,   0.000,   0.000,   0.000,   0.004,   0.120,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:42:184, 628196865906125,    6.233,   16.000, 2000,  15.669,  90.078,  25.022,  13.286,  75.420,  20.950, 51,  0,   0.000,   0.000,   0.000,   0.020,   0.141,   0.039,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:43:213, 628199750231367,    7.262,   19.000, 4100,  15.379, 105.903,  29.417,  12.788,  88.578,  24.605, 63,  0,   0.000,   0.000,   0.000,   0.008,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:44:294, 628202781105817,    8.343,   17.000, 4100,  14.961, 122.080,  33.911,  12.550, 102.148,  28.374, 74,  0,   0.000,   0.000,   0.000,   0.000,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:45:311, 628205632324758,    9.360,   19.000, 4100,  14.284, 136.608,  37.947,  11.894, 114.246,  31.735, 67,  0,   0.000,   0.000,   0.000,   0.000,   0.150,   0.042,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:46:374, 628208612640545,   10.424,   16.000, 4100,  15.063, 152.623,  42.395,  12.643, 127.687,  35.469, 70,  0,   0.000,   0.000,   0.000,   0.020,   0.172,   0.048,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:47:402, 628211494759431,   11.452,   18.000, 4500,  14.966, 168.010,  46.669,  12.594, 140.636,  39.066, 67,  0,   0.000,   0.000,   0.000,   0.003,   0.175,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:48:499, 628214570856712,   12.549,   16.000, 4100,  16.342, 185.942,  51.651,  13.986, 155.984,  43.329, 61,  0,   0.000,   0.000,   0.000,   0.000,   0.175,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:49:563, 628217551220527,   13.612,   19.000, 4100,  14.560, 201.423,  55.951,  12.100, 168.848,  46.902, 67,  0,   0.000,   0.000,   0.000,   0.000,   0.175,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:50:594, 628220442336109,   14.644,   16.000, 4100,  14.301, 216.173,  60.048,  12.056, 181.282,  50.356, 80,  0,   0.000,   0.000,   0.000,   0.000,   0.175,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:51:605, 628223277217096,   15.655,   19.000, 4400,  14.791, 231.131,  64.203,  12.033, 193.451,  53.736, 79,  0,   0.000,   0.000,   0.000,   0.001,   0.176,   0.049,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:52:620, 628226122873927,   16.670,   16.000, 4100,  14.693, 246.047,  68.346,  12.308, 205.945,  57.207, 82,  0,   0.000,   0.000,   0.000,   0.009,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:53:682, 628229100973096,   17.732,   18.000, 3000,  13.504, 260.393,  72.331,  11.101, 217.738,  60.483, 57,  0,   0.000,   0.000,   0.000,   0.005,   0.190,   0.053,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:54:730, 628232037707415,   18.780,   16.000, 2900,   8.280, 269.068,  74.741,   6.065, 224.092,  62.248, 55,  0,   0.000,   0.000,   0.000,   0.004,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:55:775, 628234968192212,   19.826,   20.000, 2500,   8.093, 277.528,  77.091,   5.571, 229.916,  63.866, 53,  0,   0.000,   0.000,   0.000,   0.001,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:56:840, 628237952349303,   20.890,   18.000, 2700,   6.881, 284.854,  79.126,   4.486, 234.691,  65.192, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:57:899, 628240920138732,   21.949,   20.000, 2500,   7.626, 292.927,  81.369,   5.154, 240.148,  66.708, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.194,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:58:960, 628243895496879,   23.010,   18.000, 1300,   6.008, 299.305,  83.140,   3.635, 244.007,  67.780, 46,  0,   0.000,   0.000,   0.000,   0.002,   0.196,   0.054,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:53:59:967, 628246719386819,   24.018,    8.000, 4100,   3.206, 302.534,  84.037,   1.693, 245.712,  68.253, 56,  0,   0.000,   0.000,   0.000,   0.009,   0.205,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:00:987, 628249578447163,   25.038,    8.000, 1200,   3.362, 305.964,  84.990,   1.664, 247.409,  68.725, 46,  0,   0.000,   0.000,   0.000,   0.005,   0.210,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:01:996, 628252406333206,   26.046,    3.000, 1200,   2.906, 308.895,  85.804,   1.331, 248.752,  69.098, 46,  0,   0.000,   0.000,   0.000,   0.014,   0.224,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:03:009, 628255247661627,   27.060,   16.000, 1200,   5.866, 314.842,  87.456,   3.934, 252.740,  70.206, 46,  0,   0.000,   0.000,   0.000,   0.024,   0.249,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:04:029, 628258106052518,   28.080,    3.000, 1200,   2.217, 317.102,  88.084,   1.071, 253.832,  70.509, 45,  0,   0.000,   0.000,   0.000,   0.007,   0.257,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:05:033, 628260921884640,   29.084,    3.000, 1200,   2.776, 319.891,  88.859,   1.538, 255.377,  70.938, 46,  0,   0.000,   0.000,   0.000,   0.013,   0.269,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:06:050, 628263772279113,   30.101,    1.000, 1200,   1.642, 321.561,  89.323,   0.443, 255.827,  71.063, 44,  0,   0.000,   0.000,   0.000,   0.006,   0.275,   0.076,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:07:054, 628266587304677,   31.105,    4.000, 1200,   3.182, 324.756,  90.210,   1.775, 257.609,  71.558, 44,  0,   0.000,   0.000,   0.000,   0.004,   0.279,   0.078,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:08:058, 628269400751789,   32.109,    1.000, 1200,   1.428, 326.190,  90.608,   0.288, 257.898,  71.638, 44,  0,   0.000,   0.000,   0.000,   0.007,   0.286,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:09:063, 628272218776446,   33.114,    3.000, 1100,   2.984, 329.190,  91.442,   1.579, 259.486,  72.079, 44,  0,   0.000,   0.000,   0.000,   0.014,   0.300,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:10:079, 628275066271587,   34.130,    1.000, 1300,   1.391, 330.603,  91.834,   0.342, 259.833,  72.176, 44,  0,   0.000,   0.000,   0.000,   0.006,   0.306,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:11:086, 628277888263152,   35.137,    5.000, 1100,   3.050, 333.674,  92.687,   1.617, 261.462,  72.628, 44,  0,   0.000,   0.000,   0.000,   0.009,   0.315,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:12:100, 628280732140473,   36.151,    2.000, 1200,   1.662, 335.360,  93.156,   0.409, 261.877,  72.744, 44,  0,   0.000,   0.000,   0.000,   0.004,   0.319,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:13:108, 628283555952758,   37.158,    3.000, 1200,   2.982, 338.364,  93.990,   1.766, 263.656,  73.238, 42,  0,   0.000,   0.000,   0.000,   0.007,   0.325,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:14:111, 628286368856090,   38.162,    1.000, 1100,   1.283, 339.652,  94.348,   0.251, 263.908,  73.308, 44,  0,   0.000,   0.000,   0.000,   0.007,   0.332,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:15:112, 628289176422536,   39.164,    3.000, 1200,   3.003, 342.660,  95.183,   1.669, 265.579,  73.772, 43,  0,   0.000,   0.000,   0.000,   0.009,   0.341,   0.095,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:16:114, 628291984456686,   40.165,    1.000, 1100,   1.360, 344.023,  95.562,   0.281, 265.861,  73.850, 42,  0,   0.000,   0.000,   0.000,   0.010,   0.351,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:17:117, 628294797192769,   41.169,    3.000, 1300,   2.834, 346.866,  96.352,   1.458, 267.325,  74.257, 44,  0,   0.000,   0.000,   0.000,   0.006,   0.357,   0.099,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:18:119, 628297605921539,   42.171,    1.000, 1200,   1.531, 348.401,  96.778,   0.321, 267.646,  74.346, 42,  0,   0.000,   0.000,   0.000,   0.010,   0.367,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:19:122, 628300417520540,   43.174,    2.000, 4100,   1.641, 350.046,  97.235,   0.582, 268.230,  74.508, 46,  0,   0.000,   0.000,   0.000,   0.005,   0.372,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:20:129, 628303238664326,   44.180,    2.000, 1200,   2.425, 352.487,  97.913,   1.116, 269.353,  74.820, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.379,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:21:143, 628306082670666,   45.195,    1.000, 1200,   1.349, 353.856,  98.293,   0.274, 269.631,  74.897, 42,  0,   0.000,   0.000,   0.000,   0.006,   0.385,   0.107,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:22:149, 628308902648142,   46.201,    3.000, 1200,   3.039, 356.913,  99.142,   1.476, 271.116,  75.310, 42,  0,   0.000,   0.000,   0.000,   0.006,   0.391,   0.109,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:23:151, 628311710934271,   47.202,    1.000, 1200,   1.307, 358.222,  99.506,   0.302, 271.419,  75.394, 41,  0,   0.000,   0.000,   0.000,   0.004,   0.395,   0.110,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:24:167, 628314560256926,   48.219,    3.000, 1200,   2.953, 361.225, 100.340,   1.581, 273.026,  75.840, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.401,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:25:173, 628317378392732,   49.224,    1.000, 1200,   1.377, 362.609, 100.725,   0.318, 273.345,  75.929, 41,  0,   0.000,   0.000,   0.000,   0.004,   0.405,   0.113,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:26:175, 628320187510932,   50.226,    3.000, 1200,   2.538, 365.152, 101.431,   1.366, 274.714,  76.309, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.411,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:27:189, 628323030655469,   51.240,    1.000, 1100,   1.586, 366.760, 101.878,   0.332, 275.051,  76.403, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.417,   0.116,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:28:207, 628325885034993,   52.259,    3.000, 1100,   2.759, 369.569, 102.658,   1.581, 276.661,  76.850, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.423,   0.118,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:29:218, 628328720177919,   53.270,    1.000, 1200,   1.247, 370.830, 103.008,   0.252, 276.916,  76.921, 41,  0,   0.000,   0.000,   0.000,   0.005,   0.428,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:30:235, 628331569445066,   54.287,    3.000, 1100,   2.596, 373.469, 103.741,   1.344, 278.282,  77.301, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.437,   0.121,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:31:239, 628334384563716,   55.291,    1.000, 1300,   1.424, 374.899, 104.138,   0.348, 278.632,  77.398, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.443,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:32:244, 628337201301340,   56.296,    3.000, 1100,   2.576, 377.487, 104.858,   1.357, 279.996,  77.777, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.450,   0.125,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
03:54:33:251, 628340024427716,   57.303,    1.000, 1100,   1.370, 378.866, 105.241,   0.287, 280.284,  77.857, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.458,   0.127,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
