System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
05:02:54:269, 1366436042653154,    1.003,   21.000, 4300,  15.210,  15.257,   4.238,  12.532,  12.571,   3.492, 76,  0,   0.000,   0.000,   0.000,   0.051,   0.051,   0.014,  64.000,  64.000, 121.000,   0.000,   0.000,    6,  81.238
05:02:55:312, 1366438966052923,    2.046,   15.000, 4100,  12.497,  28.290,   7.858,  10.179,  23.186,   6.441, 67,  0,   0.000,   0.000,   0.000,   0.022,   0.074,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  90.133
05:02:56:358, 1366441897299287,    3.092,   14.000, 3400,  10.176,  38.931,  10.814,   7.911,  31.459,   8.739, 59,  0,   0.000,   0.000,   0.000,   0.015,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.568
05:02:57:419, 1366444871627807,    4.153,   17.000, 2800,   9.024,  48.506,  13.474,   6.763,  38.635,  10.732, 53,  0,   0.000,   0.000,   0.000,   0.012,   0.102,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.630
05:02:58:469, 1366447815954236,    5.203,   29.000, 2000,   8.008,  56.917,  15.810,   5.390,  44.296,  12.305, 46,  0,   0.000,   0.000,   0.000,   0.032,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  88.414
05:02:59:516, 1366450750428266,    6.250,   20.000, 2300,   7.047,  64.295,  17.860,   4.498,  49.005,  13.613, 49,  0,   0.000,   0.000,   0.000,   0.024,   0.161,   0.045,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  87.351
05:03:00:562, 1366453682026794,    7.296,   21.000, 2700,   7.309,  71.939,  19.983,   4.919,  54.149,  15.041, 51,  0,   0.000,   0.000,   0.000,   0.021,   0.183,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  83.252
05:03:01:593, 1366456573144496,    8.327,   17.000, 2800,   7.174,  79.338,  22.038,   4.732,  59.030,  16.397, 48,  0,   0.000,   0.000,   0.000,   0.024,   0.208,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  80.642
05:03:02:619, 1366459449560474,    9.353,   20.000, 3000,   8.461,  88.020,  24.450,   6.026,  65.213,  18.115, 52,  0,   0.000,   0.000,   0.000,   0.014,   0.223,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.499
05:03:03:667, 1366462386213543,   10.401,   25.000, 2700,   8.528,  96.954,  26.932,   5.929,  71.425,  19.840, 49,  0,   0.000,   0.000,   0.000,   0.040,   0.264,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  81.558
05:03:04:712, 1366465317683484,   11.447,   22.000, 2700,   7.741, 105.049,  29.180,   5.192,  76.854,  21.348, 48,  0,   0.000,   0.000,   0.000,   0.019,   0.284,   0.079,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.527
05:03:05:732, 1366468174900500,   12.466,   17.000, 2900,   7.181, 112.369,  31.214,   4.929,  81.878,  22.744, 50,  0,   0.000,   0.000,   0.000,   0.012,   0.297,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.480
05:03:06:808, 1366471192098601,   13.542,   21.000,  900,   7.756, 120.717,  33.533,   5.336,  87.621,  24.339, 53,  0,   0.000,   0.000,   0.000,   0.016,   0.313,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.528
05:03:07:843, 1366474093091250,   14.577,   17.000, 2900,   8.477, 129.490,  35.970,   6.083,  93.916,  26.088, 53,  0,   0.000,   0.000,   0.000,   0.012,   0.326,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.261
05:03:08:920, 1366477111577339,   15.654,   21.000, 2800,   8.117, 138.231,  38.397,   5.586,  99.932,  27.759, 50,  0,   0.000,   0.000,   0.000,   0.024,   0.352,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.784
05:03:09:935, 1366479957971123,   16.669,   17.000, 2900,   7.782, 146.133,  40.592,   5.496, 105.513,  29.309, 53,  0,   0.000,   0.000,   0.000,   0.017,   0.369,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.887
05:03:10:980, 1366482887742370,   17.714,   20.000, 2800,   7.472, 153.942,  42.762,   4.947, 110.682,  30.745, 49,  0,   0.000,   0.000,   0.000,   0.018,   0.387,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.622
05:03:12:073, 1366485952626480,   18.808,   17.000, 2900,   7.967, 162.653,  45.181,   5.580, 116.783,  32.440, 54,  0,   0.000,   0.000,   0.000,   0.010,   0.398,   0.110,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.715
05:03:13:102, 1366488834555023,   19.836,   20.000, 2800,   8.508, 171.400,  47.611,   5.939, 122.889,  34.136, 50,  0,   0.000,   0.000,   0.000,   0.012,   0.410,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.126
05:03:14:196, 1366491903556357,   20.931,   19.000, 2900,   7.466, 179.573,  49.881,   5.127, 128.503,  35.695, 49,  0,   0.000,   0.000,   0.000,   0.017,   0.429,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.936
05:03:15:227, 1366494792957735,   21.961,   20.000, 2900,   8.089, 187.911,  52.197,   5.678, 134.355,  37.321, 53,  0,   0.000,   0.000,   0.000,   0.013,   0.442,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  81.178
05:03:16:288, 1366497767611787,   23.023,   17.000, 3000,   7.844, 196.234,  54.509,   5.462, 140.152,  38.931, 48,  0,   0.000,   0.000,   0.000,   0.016,   0.460,   0.128,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.901
05:03:17:364, 1366500783187627,   24.098,   20.000, 2900,   8.193, 205.048,  56.958,   5.770, 146.359,  40.655, 48,  0,   0.000,   0.000,   0.000,   0.018,   0.479,   0.133,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.105
05:03:18:411, 1366503717282325,   25.145,   18.000, 2900,   7.925, 213.343,  59.262,   5.283, 151.889,  42.191, 52,  0,   0.000,   0.000,   0.000,   0.028,   0.508,   0.141,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.888
05:03:19:458, 1366506652575285,   26.192,   20.000, 2900,   7.960, 221.678,  61.577,   5.668, 157.824,  43.840, 52,  0,   0.000,   0.000,   0.000,   0.013,   0.522,   0.145,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.699
05:03:20:521, 1366509633306812,   27.255,   17.000, 2900,   7.965, 230.148,  63.930,   5.547, 163.723,  45.478, 49,  0,   0.000,   0.000,   0.000,   0.010,   0.532,   0.148,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.135
05:03:21:566, 1366512562056392,   28.300,   20.000, 2800,   7.957, 238.461,  66.239,   5.449, 169.416,  47.060, 53,  0,   0.000,   0.000,   0.000,   0.012,   0.544,   0.151,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.167
05:03:22:616, 1366515505366815,   29.350,   17.000, 2900,   7.812, 246.664,  68.518,   5.436, 175.123,  48.645, 48,  0,   0.000,   0.000,   0.000,   0.016,   0.561,   0.156,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.930
