System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:21:20:412, 1319078591622967,    1.006,   20.000, 4100,  20.681,  20.796,   5.777,  17.878,  17.977,   4.994, 91,  0,   0.000,   0.000,   0.000,   0.066,   0.067,   0.019,  64.000,  64.000, 121.000,   0.000,   0.000,    8,  77.678
00:21:21:451, 1319081506139281,    2.045,   19.000, 1500,  16.538,  37.991,  10.553,  13.759,  32.282,   8.967, 63,  0,   0.000,   0.000,   0.000,   0.056,   0.125,   0.035,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  79.933
00:21:22:469, 1319084360759254,    3.064,    2.000, 1200,   2.093,  40.123,  11.145,   0.615,  32.908,   9.141, 59,  0,   0.000,   0.000,   0.000,   0.022,   0.148,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  78.979
00:21:23:487, 1319087213345923,    4.081,    4.000, 4100,   3.037,  43.213,  12.004,   1.432,  34.366,   9.546, 74,  0,   0.000,   0.000,   0.000,   0.056,   0.205,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  87.628
00:21:24:503, 1319090062208081,    5.098,    3.000, 1200,   3.267,  46.533,  12.926,   1.728,  36.122,  10.034, 58,  0,   0.000,   0.000,   0.000,   0.027,   0.232,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  79.516
00:21:25:511, 1319092887703260,    6.105,    3.000, 1200,   2.103,  48.653,  13.515,   0.707,  36.835,  10.232, 57,  0,   0.000,   0.000,   0.000,   0.026,   0.258,   0.072,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  74.966
00:21:26:524, 1319095725312498,    7.118,   48.000, 3400,  28.534,  77.537,  21.538,  25.857,  63.009,  17.502, 91,  0,   0.000,   0.000,   0.000,   0.038,   0.297,   0.083,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  82.804
00:21:27:576, 1319098674386824,    8.170,   50.000, 3300,  30.338, 109.454,  30.404,  27.662,  92.110,  25.586, 91,  0,   0.000,   0.000,   0.000,   0.025,   0.324,   0.090,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  91.257
00:21:28:687, 1319101788724271,    9.281,   53.000, 3300,  28.259, 140.850,  39.125,  25.484, 120.423,  33.451, 91,  0,   0.000,   0.000,   0.000,   0.023,   0.350,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.964
00:21:29:736, 1319104730382855,   10.330,   50.000, 3200,  30.537, 172.894,  48.026,  27.895, 149.696,  41.582, 91,  0,   0.000,   0.000,   0.000,   0.016,   0.366,   0.102,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.251
