System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
06:59:56:657, 1386121460396918,    1.003,   21.000, 4100,  13.945,  13.986,   3.885,  11.213,  11.247,   3.124, 65,  0,   0.000,   0.000,   0.000,   0.057,   0.057,   0.016,  64.000,  64.000, 121.000,   0.000,   0.000,    8,  78.707
06:59:57:679, 1386124324938840,    2.025,   14.000, 4100,  11.892,  26.138,   7.261,   9.741,  21.201,   5.889, 60,  0,   0.000,   0.000,   0.000,   0.017,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  89.565
06:59:58:688, 1386127154777787,    3.034,   14.000, 1200,   5.408,  31.597,   8.777,   3.682,  24.917,   6.922, 40,  0,   0.000,   0.000,   0.000,   0.024,   0.099,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  76.764
06:59:59:706, 1386130009243938,    4.053,    4.000, 1200,   3.128,  34.782,   9.662,   1.802,  26.753,   7.431, 41,  0,   0.000,   0.000,   0.000,   0.023,   0.122,   0.034,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  91.019
07:00:00:719, 1386132846360162,    5.065,   11.000, 1200,   4.786,  39.626,  11.007,   2.985,  29.774,   8.271, 41,  0,   0.000,   0.000,   0.000,   0.061,   0.184,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  87.742
07:00:01:730, 1386135681783498,    6.076,   11.000, 4100,   7.440,  47.151,  13.098,   5.276,  35.111,   9.753, 50,  0,   0.000,   0.000,   0.000,   0.048,   0.233,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,    8,  88.611
07:00:02:734, 1386138495737111,    7.080,    4.000, 1200,   2.621,  49.782,  13.828,   1.168,  36.284,  10.079, 40,  0,   0.000,   0.000,   0.000,   0.031,   0.264,   0.073,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  77.572
07:00:03:752, 1386141348638782,    8.098,    4.000, 1100,   3.690,  53.538,  14.872,   2.222,  38.545,  10.707, 41,  0,   0.000,   0.000,   0.000,   0.022,   0.287,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.483
07:00:04:755, 1386144160636050,    9.101,    2.000, 1200,   1.914,  55.457,  15.405,   0.542,  39.089,  10.858, 39,  0,   0.000,   0.000,   0.000,   0.031,   0.318,   0.088,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.026
07:00:05:761, 1386146981548785,   10.107,   11.000, 2300,   4.952,  60.440,  16.789,   3.278,  42.388,  11.774, 42,  0,   0.000,   0.000,   0.000,   0.031,   0.349,   0.097,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  87.929
07:00:06:778, 1386149831821781,   11.124,    9.000, 1500,   4.184,  64.695,  17.971,   1.945,  44.365,  12.324, 40,  0,   0.000,   0.000,   0.000,   0.049,   0.399,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  79.603
07:00:07:785, 1386152655915753,   12.132,    5.000, 1600,   3.452,  68.172,  18.937,   1.894,  46.273,  12.854, 41,  0,   0.000,   0.000,   0.000,   0.046,   0.445,   0.124,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.601
07:00:08:790, 1386155473498269,   13.137,    2.000, 2700,   1.703,  69.884,  19.412,   0.488,  46.764,  12.990, 40,  0,   0.000,   0.000,   0.000,   0.025,   0.470,   0.131,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  89.333
07:00:09:798, 1386158298335699,   14.144,    4.000, 3800,   3.037,  72.945,  20.262,   1.708,  48.485,  13.468, 41,  0,   0.000,   0.000,   0.000,   0.016,   0.486,   0.135,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.455
07:00:10:815, 1386161150027077,   15.162,    2.000, 1200,   2.126,  75.107,  20.863,   0.437,  48.930,  13.592, 40,  0,   0.000,   0.000,   0.000,   0.027,   0.514,   0.143,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  88.147
07:00:11:822, 1386163971173727,   16.168,    3.000, 3100,   2.227,  77.349,  21.486,   0.816,  49.752,  13.820, 46,  0,   0.000,   0.000,   0.000,   0.037,   0.550,   0.153,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.673
07:00:12:830, 1386166795885702,   17.176,    3.000, 1200,   2.739,  80.109,  22.253,   1.354,  51.116,  14.199, 40,  0,   0.000,   0.000,   0.000,   0.037,   0.588,   0.163,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  80.902
07:00:13:835, 1386169614530264,   18.181,    2.000, 1200,   1.702,  81.820,  22.728,   0.469,  51.588,  14.330, 39,  0,   0.000,   0.000,   0.000,   0.041,   0.629,   0.175,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  85.282
07:00:14:842, 1386172436698045,   19.188,    4.000, 1200,   3.153,  84.995,  23.610,   1.718,  53.318,  14.810, 39,  0,   0.000,   0.000,   0.000,   0.044,   0.673,   0.187,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.176
07:00:15:859, 1386175289429480,   20.206,    2.000, 1200,   1.665,  86.689,  24.080,   0.500,  53.826,  14.952, 39,  0,   0.000,   0.000,   0.000,   0.024,   0.698,   0.194,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  89.111
07:00:16:867, 1386178114033705,   21.213,    4.000, 1200,   2.738,  89.448,  24.847,   1.261,  55.097,  15.305, 39,  0,   0.000,   0.000,   0.000,   0.019,   0.717,   0.199,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.753
07:00:17:885, 1386180967461561,   22.231,    2.000, 1200,   1.617,  91.093,  25.304,   0.446,  55.551,  15.431, 38,  0,   0.000,   0.000,   0.000,   0.039,   0.756,   0.210,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.231
07:00:18:891, 1386183788200797,   23.237,    4.000, 1200,   3.147,  94.260,  26.183,   1.734,  57.296,  15.916, 39,  0,   0.000,   0.000,   0.000,   0.028,   0.784,   0.218,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.437
07:00:19:896, 1386186604543601,   24.242,    2.000, 1200,   1.972,  96.241,  26.734,   0.601,  57.900,  16.083, 39,  0,   0.000,   0.000,   0.000,   0.025,   0.809,   0.225,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.679
07:00:20:899, 1386189417483383,   25.246,    4.000, 1200,   3.006,  99.258,  27.572,   1.699,  59.605,  16.557, 38,  0,   0.000,   0.000,   0.000,   0.014,   0.823,   0.229,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.819
07:00:21:903, 1386192231653707,   26.250,    2.000, 1200,   1.907, 101.172,  28.103,   0.524,  60.131,  16.703, 39,  0,   0.000,   0.000,   0.000,   0.043,   0.867,   0.241,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.675
07:00:22:908, 1386195049916060,   27.255,    4.000, 1200,   3.338, 104.528,  29.036,   1.914,  62.055,  17.237, 39,  0,   0.000,   0.000,   0.000,   0.032,   0.899,   0.250,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  88.713
07:00:23:914, 1386197867472072,   28.260,    2.000, 1200,   1.846, 106.384,  29.551,   0.475,  62.533,  17.370, 39,  0,   0.000,   0.000,   0.000,   0.024,   0.923,   0.256,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  74.130
07:00:24:917, 1386200681100195,   29.264,    4.000, 1200,   2.688, 109.081,  30.300,   1.172,  63.709,  17.697, 38,  0,   0.000,   0.000,   0.000,   0.025,   0.948,   0.263,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.837
07:00:25:926, 1386203509747200,   30.273,    3.000, 1200,   2.395, 111.499,  30.972,   0.905,  64.623,  17.951, 37,  0,   0.000,   0.000,   0.000,   0.021,   0.970,   0.269,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  89.825
07:00:26:933, 1386206332498538,   31.280,    4.000, 1200,   3.431, 114.954,  31.932,   1.760,  66.395,  18.443, 39,  0,   0.000,   0.000,   0.000,   0.035,   1.005,   0.279,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.632
07:00:27:950, 1386209181797446,   32.296,    3.000, 1300,   2.159, 117.148,  32.541,   0.694,  67.100,  18.639, 38,  0,   0.000,   0.000,   0.000,   0.023,   1.029,   0.286,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  85.224
07:00:28:954, 1386211997603323,   33.301,    4.000, 1900,   2.881, 120.042,  33.345,   1.326,  68.432,  19.009, 39,  0,   0.000,   0.000,   0.000,   0.027,   1.056,   0.293,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.802
07:00:29:958, 1386214812426151,   34.305,    2.000, 1200,   1.685, 121.734,  33.815,   0.436,  68.870,  19.130, 38,  0,   0.000,   0.000,   0.000,   0.036,   1.093,   0.304,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  83.194
07:00:30:962, 1386217625176558,   35.308,    3.000, 4100,   2.050, 123.791,  34.386,   0.773,  69.645,  19.346, 50,  0,   0.000,   0.000,   0.000,   0.041,   1.134,   0.315,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.605
07:00:31:980, 1386220478685642,   36.326,    3.000, 1100,   2.510, 126.346,  35.096,   1.209,  70.877,  19.688, 39,  0,   0.000,   0.000,   0.000,   0.015,   1.149,   0.319,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  82.542
07:00:32:983, 1386223291008690,   37.330,    2.000, 1200,   1.662, 128.013,  35.559,   0.400,  71.278,  19.799, 38,  0,   0.000,   0.000,   0.000,   0.021,   1.170,   0.325,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  81.199
07:00:33:989, 1386226110341601,   38.335,    4.000, 1200,   3.379, 131.412,  36.503,   1.703,  72.990,  20.275, 37,  0,   0.000,   0.000,   0.000,   0.039,   1.208,   0.336,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.458
07:00:34:993, 1386228925809553,   39.340,    1.000, 1200,   1.692, 133.111,  36.975,   0.395,  73.387,  20.385, 38,  0,   0.000,   0.000,   0.000,   0.019,   1.228,   0.341,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  86.912
07:00:36:011, 1386231778851422,   40.357,    4.000, 1100,   3.003, 136.167,  37.824,   1.679,  75.096,  20.860, 38,  0,   0.000,   0.000,   0.000,   0.015,   1.243,   0.345,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  86.427
07:00:37:020, 1386234607388792,   41.366,    2.000, 1600,   1.562, 137.743,  38.262,   0.377,  75.476,  20.966, 39,  0,   0.000,   0.000,   0.000,   0.026,   1.270,   0.353,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  87.007
