System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:13:59:525, 601333930424489,    1.004,   23.000, 1500,  15.376,  15.440,   4.289,  12.784,  12.837,   3.566, 60,  0,   0.000,   0.000,   0.000,   0.047,   0.048,   0.013,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:00:549, 601336800926644,    2.028,   18.000, 3800,  10.882,  26.584,   7.384,   8.801,  21.849,   6.069, 64,  0,   0.000,   0.000,   0.000,   0.035,   0.083,   0.023,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:01:581, 601339693168606,    3.060,   10.000, 1100,   5.537,  32.297,   8.971,   3.519,  25.480,   7.078, 42,  0,   0.000,   0.000,   0.000,   0.005,   0.089,   0.025,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:02:585, 601342508709387,    4.064,    3.000, 1200,   2.323,  34.630,   9.619,   0.901,  26.385,   7.329, 41,  0,   0.000,   0.000,   0.000,   0.014,   0.103,   0.029,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:03:588, 601345321132501,    5.068,    5.000, 1100,   4.372,  39.016,  10.838,   2.773,  29.167,   8.102, 43,  0,   0.000,   0.000,   0.000,   0.009,   0.112,   0.031,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:04:592, 601348132904304,    6.071,    2.000, 1200,   1.848,  40.870,  11.353,   0.515,  29.684,   8.246, 42,  0,   0.000,   0.000,   0.000,   0.007,   0.120,   0.033,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:05:605, 601350972798402,    7.084,   16.000, 1400,   6.121,  47.071,  13.075,   4.116,  33.854,   9.404, 45,  0,   0.000,   0.000,   0.000,   0.067,   0.187,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:06:623, 601353828457561,    8.103,    1.000, 1200,   1.340,  48.437,  13.455,   0.294,  34.153,   9.487, 42,  0,   0.000,   0.000,   0.000,   0.013,   0.200,   0.056,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:07:640, 601356679336506,    9.120,    2.000, 4100,   2.065,  50.537,  14.038,   0.843,  35.011,   9.725, 54,  0,   0.000,   0.000,   0.000,   0.010,   0.210,   0.058,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:08:647, 601359501093920,   10.126,    2.000, 1200,   2.579,  53.133,  14.759,   1.222,  36.241,  10.067, 42,  0,   0.000,   0.000,   0.000,   0.011,   0.221,   0.061,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:09:662, 601362346614289,   11.141,    2.000, 1100,   1.384,  54.538,  15.149,   0.318,  36.564,  10.157, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.228,   0.063,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:10:669, 601365168187605,   12.148,    4.000, 1200,   2.996,  57.553,  15.987,   1.718,  38.294,  10.637, 42,  0,   0.000,   0.000,   0.000,   0.006,   0.234,   0.065,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:11:674, 601367985853589,   13.153,    1.000, 1200,   1.348,  58.908,  16.363,   0.309,  38.605,  10.724, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.240,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:12:677, 601370798632499,   14.156,    3.000, 1200,   2.809,  61.727,  17.146,   1.443,  40.053,  11.126, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.248,   0.069,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:13:692, 601373643664374,   15.171,    1.000, 1200,   1.303,  63.050,  17.514,   0.259,  40.316,  11.199, 42,  0,   0.000,   0.000,   0.000,   0.008,   0.257,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:14:695, 601376454418770,   16.174,    3.000, 1200,   2.875,  65.933,  18.315,   1.547,  41.867,  11.630, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.265,   0.074,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:15:709, 601379295980930,   17.188,    1.000, 1100,   1.500,  67.453,  18.737,   0.307,  42.178,  11.716, 41,  0,   0.000,   0.000,   0.000,   0.006,   0.271,   0.075,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:16:726, 601382147889421,   18.205,    3.000, 1200,   2.676,  70.176,  19.493,   1.448,  43.651,  12.125, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.278,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:17:742, 601384995814729,   19.221,    1.000, 1100,   1.596,  71.798,  19.944,   0.280,  43.935,  12.204, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.290,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:18:748, 601387817169494,   20.227,    3.000, 1300,   2.663,  74.478,  20.688,   1.448,  45.392,  12.609, 42,  0,   0.000,   0.000,   0.000,   0.004,   0.294,   0.082,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:19:751, 601390627594795,   21.230,    2.000, 1200,   1.649,  76.131,  21.148,   0.387,  45.780,  12.717, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.305,   0.085,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:20:754, 601393439527849,   22.233,    3.000, 1200,   2.777,  78.917,  21.921,   1.424,  47.209,  13.114, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.314,   0.087,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:21:760, 601396258867184,   23.239,    1.000, 1200,   1.611,  80.538,  22.372,   0.328,  47.539,  13.205, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.321,   0.089,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:22:764, 601399073624144,   24.243,    3.000, 1200,   2.789,  83.338,  23.150,   1.467,  49.012,  13.614, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.328,   0.091,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:23:770, 601401893798094,   25.249,    1.000, 1200,   1.416,  84.763,  23.545,   0.318,  49.331,  13.703, 40,  0,   0.000,   0.000,   0.000,   0.003,   0.330,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:24:783, 601404735153782,   26.263,    3.000, 1300,   2.863,  87.665,  24.351,   1.514,  50.866,  14.129, 42,  0,   0.000,   0.000,   0.000,   0.007,   0.338,   0.094,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:25:797, 601407574512484,   27.276,    1.000, 1200,   1.486,  89.171,  24.770,   0.387,  51.257,  14.238, 41,  0,   0.000,   0.000,   0.000,   0.008,   0.345,   0.096,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:26:798, 601410382762870,   28.277,    2.000, 4100,   1.670,  90.843,  25.234,   0.565,  51.823,  14.395, 44,  0,   0.000,   0.000,   0.000,   0.007,   0.353,   0.098,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:27:804, 601413201295771,   29.283,    3.000, 1200,   2.450,  93.306,  25.918,   1.066,  52.895,  14.693, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.359,   0.100,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:28:808, 601416017480560,   30.288,    1.000, 1200,   1.336,  94.648,  26.291,   0.287,  53.183,  14.773, 41,  0,   0.000,   0.000,   0.000,   0.005,   0.364,   0.101,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:29:817, 601418844062259,   31.296,    3.000, 1200,   2.742,  97.413,  27.059,   1.521,  54.717,  15.199, 41,  0,   0.000,   0.000,   0.000,   0.007,   0.371,   0.103,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:30:819, 601421652660185,   32.298,    1.000, 1200,   1.375,  98.791,  27.442,   0.321,  55.038,  15.288, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.376,   0.105,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:31:825, 601424473375336,   33.304,    3.000, 1200,   2.804, 101.612,  28.226,   1.441,  56.488,  15.691, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.384,   0.107,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:32:832, 601427296042123,   34.311,    1.000, 1100,   1.208, 102.829,  28.564,   0.257,  56.747,  15.763, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.389,   0.108,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:33:838, 601430116113282,   35.317,    3.000, 1200,   2.688, 105.533,  29.315,   1.479,  58.235,  16.176, 40,  0,   0.000,   0.000,   0.000,   0.006,   0.395,   0.110,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:34:841, 601432927873425,   36.320,    1.000, 1200,   1.286, 106.823,  29.673,   0.281,  58.517,  16.255, 41,  0,   0.000,   0.000,   0.000,   0.004,   0.399,   0.111,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:35:844, 601435739120170,   37.323,    3.000, 1100,   2.582, 109.412,  30.392,   1.407,  59.928,  16.647, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.411,   0.114,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:36:850, 601438559990586,   38.329,    1.000, 1200,   1.450, 110.871,  30.798,   0.273,  60.203,  16.723, 41,  0,   0.000,   0.000,   0.000,   0.009,   0.421,   0.117,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:37:854, 601441374723277,   39.333,    3.000, 1200,   3.097, 113.982,  31.662,   1.782,  61.993,  17.220, 40,  0,   0.000,   0.000,   0.000,   0.003,   0.423,   0.118,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:38:868, 601444216445946,   40.347,    1.000, 1100,   1.303, 115.302,  32.028,   0.280,  62.277,  17.299, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.428,   0.119,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:39:883, 601447063126844,   41.363,    3.000, 1200,   2.874, 118.221,  32.839,   1.533,  63.834,  17.732, 39,  0,   0.000,   0.000,   0.000,   0.003,   0.432,   0.120,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:40:887, 601449875532555,   42.366,    1.000, 1200,   1.316, 119.541,  33.206,   0.295,  64.129,  17.814, 40,  0,   0.000,   0.000,   0.000,   0.012,   0.444,   0.123,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:41:902, 601452721227895,   43.381,    3.000, 1200,   2.626, 122.207,  33.946,   1.404,  65.554,  18.209, 40,  0,   0.000,   0.000,   0.000,   0.011,   0.455,   0.126,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:42:904, 601455531169741,   44.383,    1.000, 1100,   1.393, 123.604,  34.334,   0.310,  65.865,  18.296, 40,  0,   0.000,   0.000,   0.000,   0.007,   0.462,   0.128,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:43:909, 601458349149536,   45.389,    3.000, 1300,   3.021, 126.641,  35.178,   1.659,  67.532,  18.759, 41,  0,   0.000,   0.000,   0.000,   0.011,   0.473,   0.131,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:44:913, 601461161585392,   46.392,    1.000, 1200,   1.414, 128.059,  35.572,   0.277,  67.810,  18.836, 40,  0,   0.000,   0.000,   0.000,   0.005,   0.478,   0.133,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:45:918, 601463978612492,   47.397,    2.000, 4100,   1.488, 129.555,  35.987,   0.447,  68.259,  18.961, 44,  0,   0.000,   0.000,   0.000,   0.008,   0.486,   0.135,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:46:921, 601466790157194,   48.400,    2.000, 1100,   2.581, 132.143,  36.706,   1.430,  69.694,  19.359, 40,  0,   0.000,   0.000,   0.000,   0.004,   0.490,   0.136,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:47:938, 601469642737520,   49.418,    1.000, 1200,   1.255, 133.421,  37.061,   0.250,  69.948,  19.430, 39,  0,   0.000,   0.000,   0.000,   0.005,   0.495,   0.138,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:48:951, 601472481319418,   50.430,    3.000, 1200,   2.544, 135.997,  37.777,   1.374,  71.340,  19.817, 40,  0,   0.000,   0.000,   0.000,   0.013,   0.509,   0.141,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:14:49:954, 601475292947676,   51.433,    1.000, 1200,   1.511, 137.512,  38.198,   0.342,  71.683,  19.912, 40,  0,   0.000,   0.000,   0.000,   0.008,   0.517,   0.144,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
