System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
05:40:15:622, 1372719085591782,    1.006,   20.000, 4100,  15.693,  15.784,   4.385,  13.196,  13.273,   3.687, 64,  0,   0.000,   0.000,   0.000,   0.044,   0.044,   0.012,  64.000,  64.000, 121.000,   0.000,   0.000,    9,  87.970
05:40:16:707, 1372722127464819,    2.091,   25.000, 4100,  12.489,  29.337,   8.149,  10.234,  24.378,   6.772, 68,  0,   0.000,   0.000,   0.000,   0.029,   0.075,   0.021,  64.000,  64.000, 121.000,   0.000,   0.000,    5,  81.331
05:40:17:773, 1372725116896677,    3.157,   15.000, 4100,  14.366,  44.657,  12.405,  12.000,  37.175,  10.326, 73,  0,   0.000,   0.000,   0.000,   0.019,   0.096,   0.027,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  75.063
05:40:18:804, 1372728006691151,    4.188,   16.000, 4100,  14.704,  59.816,  16.615,  12.485,  50.045,  13.901, 71,  0,   0.000,   0.000,   0.000,   0.019,   0.115,   0.032,  64.000,  64.000, 121.000,   0.000,   0.000,    1,  75.090
05:40:19:868, 1372730989784831,    5.252,   16.000, 4100,  14.287,  75.019,  20.839,  11.891,  62.699,  17.416, 60,  0,   0.000,   0.000,   0.000,   0.020,   0.136,   0.038,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  79.435
05:40:20:898, 1372733875465617,    6.282,   18.000, 4100,  14.432,  89.876,  24.965,  11.944,  74.995,  20.832, 60,  0,   0.000,   0.000,   0.000,   0.044,   0.182,   0.050,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  82.035
05:40:21:926, 1372736758416071,    7.310,   21.000, 3500,  14.930, 105.230,  29.231,  12.539,  87.890,  24.414, 56,  0,   0.000,   0.000,   0.000,   0.023,   0.206,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  80.942
05:40:22:939, 1372739597597327,    8.323,   20.000, 4500,  15.373, 120.801,  33.556,  12.899, 100.955,  28.043, 69,  0,   0.000,   0.000,   0.000,   0.039,   0.246,   0.068,  64.000,  64.000, 121.000,   0.000,   0.000,    4,  86.081
05:40:25:051, 1372745517201530,   10.435,   19.000, 4400,  14.732, 136.448,  37.902,  12.432, 114.159,  31.711, 76,  0,   0.000,   0.000,   0.000,   0.010,   0.256,   0.071,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  84.491
05:40:26:116, 1372748503846202,   11.500,   18.000, 4100,  14.504, 151.901,  42.195,  11.945, 126.885,  35.246, 74,  0,   0.000,   0.000,   0.000,   0.020,   0.277,   0.077,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  82.401
05:40:27:174, 1372751468880367,   12.558,   25.000, 4100,  14.547, 167.288,  46.469,  12.061, 139.643,  38.790, 68,  0,   0.000,   0.000,   0.000,   0.011,   0.289,   0.080,  64.000,  64.000, 121.000,   0.000,   0.000,    2,  83.258
05:40:28:205, 1372754358557894,   13.589,   18.000, 4100,  15.347, 183.109,  50.864,  12.800, 152.838,  42.455, 77,  0,   0.000,   0.000,   0.000,   0.040,   0.330,   0.092,  64.000,  64.000, 121.000,   0.000,   0.000,    3,  79.440
