System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:07:14:780, 600199348063713,    1.023,   21.000, 4700,  18.620,  19.055,   5.293,  15.826,  16.197,   4.499, 86,  0,   0.000,   0.000,   0.000,   0.098,   0.101,   0.028,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:15:802, 600202215019202,    2.046,   22.000, 4100,  18.261,  37.731,  10.481,  15.764,  32.319,   8.978, 87,  0,   0.000,   0.000,   0.000,   0.042,   0.144,   0.040,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:16:819, 600205063992422,    3.062,   17.000, 4100,  17.986,  56.011,  15.559,  14.745,  47.305,  13.140, 81,  0,   0.000,   0.000,   0.000,   0.005,   0.149,   0.041,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:17:880, 600208039826811,    4.124,   17.000, 4100,  17.499,  74.588,  20.719,  14.351,  62.540,  17.372, 73,  0,   0.000,   0.000,   0.000,   0.016,   0.166,   0.046,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:18:911, 600210929275571,    5.155,   17.000, 4100,  18.819,  93.985,  26.107,  15.444,  78.459,  21.794, 75,  0,   0.000,   0.000,   0.000,   0.016,   0.183,   0.051,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:19:939, 600213809386708,    6.182,   19.000, 4100,  19.332, 113.848,  31.624,  16.097,  94.998,  26.388, 84,  0,   0.000,   0.000,   0.000,   0.005,   0.188,   0.052,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:20:953, 600216652585996,    7.197,   17.000, 4100,  20.337, 134.475,  37.354,  16.955, 112.195,  31.165, 77,  0,   0.000,   0.000,   0.000,   0.016,   0.204,   0.057,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:22:030, 600219671952140,    8.274,   18.000, 4100,  18.774, 154.697,  42.971,  15.490, 128.880,  35.800, 84,  0,   0.000,   0.000,   0.000,   0.016,   0.222,   0.062,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:23:048, 600222526287920,    9.292,   16.000, 4100,  18.551, 173.587,  48.219,  15.282, 144.441,  40.122, 75,  0,   0.000,   0.000,   0.000,   0.009,   0.231,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:24:059, 600225360906619,   10.303,   19.000, 4100,  18.632, 192.428,  53.452,  15.362, 159.975,  44.438, 75,  0,   0.000,   0.000,   0.000,   0.000,   0.231,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:25:077, 600228214237481,   11.321,   16.000, 4100,  18.103, 210.855,  58.571,  14.683, 174.921,  48.589, 80,  0,   0.000,   0.000,   0.000,   0.000,   0.231,   0.064,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:26:138, 600231187373570,   12.382,   18.000, 4100,  18.315, 230.280,  63.967,  14.959, 190.787,  52.996, 75,  0,   0.000,   0.000,   0.000,   0.005,   0.236,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:27:235, 600234263891867,   13.479,   17.000, 4100,  17.131, 249.081,  69.189,  13.840, 205.977,  57.216, 92,  0,   0.000,   0.000,   0.000,   0.003,   0.239,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:28:265, 600237151074995,   14.509,   17.000, 4200,  18.610, 268.249,  74.514,  15.912, 222.366,  61.768, 91,  0,   0.000,   0.000,   0.000,   0.000,   0.239,   0.066,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:29:316, 600240095112552,   15.559,   15.000, 4100,  18.840, 288.036,  80.010,  16.275, 239.458,  66.516, 87,  0,   0.000,   0.000,   0.000,   0.003,   0.242,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:30:409, 600243160309889,   16.653,   18.000, 4700,  18.140, 307.872,  85.520,  15.175, 256.051,  71.125, 75,  0,   0.000,   0.000,   0.000,   0.000,   0.243,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
01:07:31:441, 600246051798447,   17.684,   16.000, 4100,  17.289, 325.705,  90.474,  13.910, 270.399,  75.111, 89,  0,   0.000,   0.000,   0.000,   0.000,   0.243,   0.067,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
