Model,Noise_Level,Accuracy,F1_Score,Recall,Precision,CO2e_kg,Energy_kWh,Train_Time_sec,Inference_Time_ms,RAM_MB,Model_Size_MB,Accuracy_per_CO2,F1_Score_per_CO2,Accuracy_per_Time,Accuracy_per_RAM
LogisticRegression,0,0.9991397773954567,0.7167630057803468,0.6326530612244898,0.8266666666666667,5.3626871797264424e-08,7.652472222222223e-05,0.5071189403533936,6.330259805365034e-05,124.56644058227539,0.0010519027709960938,18631326.86860217,13365743.362582447,1.9702276880039047,0.008020938647079113
NaiveBayes,0,0.9922755521224677,0.22807017543859648,0.6632653061224489,0.13771186440677965,8.094834669519497e-09,7.422305555555556e-05,0.0910027027130127,0.0004932320455726137,104.1871280670166,0.0022192001342773438,122581324.09532811,28174778.70145735,10.90380310188941,0.009523974511363853
RandomForest,0,0.9995962220427653,0.8743169398907104,0.8163265306122449,0.9411764705882353,3.152846526362558e-05,0.0005313258333333334,161.85276126861572,0.004617017095902049,44.92399215698242,2.5231409072875977,31704.563279075956,27731.033926964108,0.006175960262944203,0.02225083244048694
GradientBoosting,0,0.9983146659176293,0.2727272727272727,0.1836734693877551,0.5294117647058824,4.971932589216287e-05,0.0005254988888888889,267.1079351902008,0.0005793125290142544,49.195921897888184,0.18418121337890625,20079.006462856953,5485.337297589186,0.0037374953507343565,0.020292630514979405
SVM,0,0.999420666409185,0.8047337278106509,0.6938775510204082,0.9577464788732394,0.00017712301952641012,0.0005204958333333334,976.8008995056152,0.31177282944467605,171.29624271392822,0.8203535079956055,5642.522745385816,4543.360484494565,0.0010231569881999681,0.0058344576073291856
KNN,0,0.9995435553526912,0.8586956521739131,0.8061224489795918,0.9186046511627907,1.1198991360887137e-08,0.0001875447222222222,0.11508035659790039,0.275228993828463,127.99302577972412,53.8886775970459,89252998.16228375,76676159.88819647,8.68561399097131,0.0078093595277050855
DecisionTree,0,0.9991397773954567,0.7487179487179487,0.7448979591836735,0.7525773195876289,6.068132020731644e-06,0.00015344361111111108,17.086145639419556,0.00012288422218044965,38.467369079589844,0.026574134826660156,164653.59916065057,123385.2437883635,0.05847660428987184,0.025973696701955734
LogisticRegression,10,0.9991397773954567,0.7167630057803468,0.6326530612244898,0.8266666666666667,3.808151661916429e-08,7.54425e-05,0.44047069549560547,3.505835501834007e-05,124.55651569366455,0.0010519027709960938,26236869.381736904,18821808.30528268,2.2683456302836498,0.008021577769987966
NaiveBayes,10,0.9929251079667146,0.24390243902439024,0.6632653061224489,0.14942528735632185,1.1273375769102822e-08,7.124944444444444e-05,0.09607577323913574,0.0007988834752782352,104.18741035461426,0.0022192001342773438,88076999.14412907,21635262.05636281,10.334812559824957,0.009530183201474878
RandomForest,10,0.9995435553526912,0.8571428571428571,0.7959183673469388,0.9285714285714286,2.7039755926417897e-05,0.00024996694444444443,254.66506910324097,0.004985694875878224,44.92690658569336,2.7605676651000977,36965.70183816397,31699.356291357155,0.003924933870484913,0.022248216743927535
GradientBoosting,10,0.9991748885221726,0.7151515151515152,0.6020408163265306,0.8805970149253731,4.0818240329768755e-05,0.00022489361111111114,421.79119539260864,0.0006320047008535433,49.26763439178467,0.18369293212890625,24478.637012518986,17520.390623746585,0.002368885124764465,0.020280553366466975
