System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:49:54:799, 1313792771595315,    0.109,    3.000, 2000,   4.325,   0.471,   0.131,   1.713,   0.187,   0.052, 39,  0,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:54:908, 1313793076983001,    0.218,    3.000, 1200,   2.536,   0.748,   0.208,   1.048,   0.301,   0.084, 38,  0,   0.000,   0.000,   0.000,   0.103,   0.011,   0.003,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:016, 1313793379831324,    0.326,    2.000, 1500,   1.773,   0.939,   0.261,   0.575,   0.363,   0.101, 38,  0,   0.000,   0.000,   0.000,   0.018,   0.013,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:125, 1313793684610291,    0.435,   33.000, 3200,  12.209,   2.267,   0.630,   9.738,   1.422,   0.395, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.013,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:234, 1313793992480915,    0.545,   41.000, 4100,  11.181,   3.495,   0.971,   8.769,   2.385,   0.662, 42,  0,   0.000,   0.000,   0.000,   0.002,   0.013,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:343, 1313794295483999,    0.653,    6.000, 4100,   2.999,   3.819,   1.061,   1.343,   2.530,   0.703, 51,  0,   0.000,   0.000,   0.000,   0.025,   0.016,   0.004,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:452, 1313794603715106,    0.763,   42.000, 1300,   9.837,   4.901,   1.361,   7.542,   3.359,   0.933, 40,  0,   0.000,   0.000,   0.000,   0.072,   0.024,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:561, 1313794907553444,    0.871,    2.000, 1200,   1.707,   5.086,   1.413,   0.557,   3.420,   0.950, 39,  0,   0.000,   0.000,   0.000,   0.012,   0.025,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:669, 1313795211679414,    0.979,    3.000, 1100,   1.576,   5.257,   1.460,   0.383,   3.461,   0.961, 39,  0,   0.000,   0.000,   0.000,   0.008,   0.026,   0.007,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:777, 1313795513765031,    1.087,    4.000, 1200,   3.920,   5.679,   1.578,   1.035,   3.573,   0.992, 39,  0,   0.000,   0.000,   0.000,   0.091,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000
23:49:55:778, 1313795517364059,    1.088,   18.000, 1200,  11.885,   5.694,   1.582,   3.233,   3.577,   0.994, 39,  0,   0.000,   0.000,   0.000,   0.000,   0.036,   0.010,  64.000,  64.000, 121.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.088496
Measured RDTSC Frequency (GHz) = 2.803

Cumulative Processor Energy_0 (Joules) = 5.694275
Cumulative Processor Energy_0 (mWh) = 1.581743
Average Processor Power_0 (Watt) = 5.231323

Cumulative IA Energy_0 (Joules) = 3.576904
Cumulative IA Energy_0 (mWh) = 0.993585
Average IA Power_0 (Watt) = 3.286097

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.036011
Cumulative GT Energy_0 (mWh) = 0.010003
Average GT Power_0 (Watt) = 0.033083
